x,y,z,phT,Q2,Asym,dAsym,hadron,1D_dependence,HERMESd
0.00303,0.67764706,0.343478261,0.446575342,1.122807018,0.00027933,0.011731844,pi+,x,cos2phi
0.01852,0.50352941,0.360869565,0.397260274,1.473684211,0.00027933,0.009217877,pi+,x,
0.12798,0.47058824,0.365217391,0.37260274,2.526315789,-0.005586592,0.008379888,pi+,x,
0.95971,0.45647059,0.356521739,0.356164384,4.596491228,-0.027374302,0.018435754,pi+,x,
0.104255319,0.38709,0.369565217,0.356164384,2,0.009497207,0.011731844,pi+,y,
0.085106383,0.50318,0.365217391,0.397260274,2.315789474,-0.004748603,0.007960894,pi+,y,
0.074468085,0.62707,0.356521739,0.421917808,2.526315789,-0.018994413,0.009636872,pi+,y,
0.065957447,0.77783,0.339130435,0.446575342,2.666666667,-0.029050279,0.011731844,pi+,y,
0.089361702,0.128571429,0.275,0.339726027,2.310344828,-0.006424581,0.010055866,pi+,z,
0.091489362,0.126190476,0.355,0.389041096,2.344827586,-0.00726257,0.009217877,pi+,z,
0.091489362,0.123809524,0.455,0.438356164,2.275862069,0.004469274,0.009636872,pi+,z,
0.089361702,0.122619048,0.5549,0.463013699,2.206896552,0.001955307,0.011731844,pi+,z,
0.091489362,0.119047619,0.6775,0.512328767,2.206896552,-0.022346369,0.012569832,pi+,z,
0.09574468,0.117857143,0.317391304,0.15275,2.310344828,-0.003910615,0.01047486,pi+,phT,
0.09361702,0.122619048,0.334782609,0.29448,2.310344828,0.001117318,0.007960894,pi+,phT,
0.09148936,0.125,0.360869565,0.43622,2.310344828,0.005307263,0.011312849,pi+,phT,
0.08510638,0.132142857,0.395652174,0.59685,2.275862069,-0.018156425,0.014664804,pi+,phT,
0.07446809,0.142857143,0.452173913,0.814173,2.172413793,-0.038268156,0.018435754,pi+,phT,
0.025928876,0.67764706,0.343478261,0.446575342,1.122807018,0.045224719,0.014325843,pi-,x,
0.073785207,0.50352941,0.360869565,0.397260274,1.473684211,0.040168539,0.010533708,pi-,x,
0.231422047,0.47058824,0.365217391,0.37260274,2.526315789,0.011516854,0.009691011,pi-,x,
