x,y,z,phT,Q2,Asym,dAsym,hadron,1D_dependence,HERMESp
0.00279,0.677647059,0.343478261,0.446575342,1.122807018,-0.024022346,0.573414682,pi+,x,cos2phi
0.01706,0.503529412,0.360869565,0.397260274,1.473684211,-0.006424581,0.740054396,pi+,x,
0.11312,0.470588235,0.365217391,0.37260274,2.526315789,-0.001396648,1.263856219,pi+,x,
0.88395,0.456470588,0.356521739,0.356164384,4.596491228,0.002793296,2.296848966,pi+,x,
0.104255319,0.38169,0.369565217,0.356164384,2,0.019553073,0.990223464,pi+,y,
0.085106383,0.49384,0.365217391,0.397260274,2.315789474,-0.01396648,1.164877977,pi+,y,
0.074468085,0.61544,0.356521739,0.421917808,2.526315789,-0.029888268,1.278102029,pi+,y,
0.065957447,0.76339,0.339130435,0.446575342,2.666666667,-0.028212291,1.347439479,pi+,y,
0.089361702,0.128571429,0.2675,0.339726027,2.310344828,0.008659218,1.150842805,pi+,z,
0.091489362,0.126190476,0.345,0.389041096,2.344827586,-0.019832402,1.182329994,pi+,z,
0.091489362,0.123809524,0.4475,0.438356164,2.275862069,-0.008938547,1.142400308,pi+,z,
0.089361702,0.122619048,0.5475,0.463013699,2.206896552,-0.017318436,1.112107494,pi+,z,
0.091489362,0.119047619,0.6675,0.512328767,2.206896552,-0.027374302,1.117135427,pi+,z,
0.095744681,0.117857143,0.317391304,0.13858,2.310344828,-0.004748603,1.157546715,pi+,phT,
0.093617021,0.122619048,0.334782609,0.27559,2.310344828,-0.009776536,1.160060682,pi+,phT,
0.091489362,0.125,0.360869565,0.41732,2.310344828,0.004469274,1.152937777,pi+,phT,
0.085106383,0.132142857,0.395652174,0.57795,2.275862069,-0.006424581,1.141143325,pi+,phT,
0.074468085,0.142857143,0.452173913,0.79527,2.172413793,-0.029888268,1.101151031,pi+,phT,
0.024697829,0.67764706,0.343478261,0.446575342,1.122807018,0.018258427,0.552274295,pi-,x,
0.070282045,0.50352941,0.360869565,0.397260274,1.473684211,0.035955056,0.718864577,pi-,x,
0.220434628,0.47058824,0.365217391,0.37260274,2.526315789,0.01741573,1.25445003,pi-,x,
0.725838772,0.45647059,0.356521739,0.356164384,4.596491228,-0.000280899,2.298386063,pi-,x,
0.104255319,0.372972973,0.369565217,0.356164384,2,0.038483146,0.980758427,pi-,y,
0.085106383,0.521621622,0.365217391,0.397260274,2.315789474,0.030898876,1.142445299,pi-,y,
