x,y,z,phT,Q2,Asym,dAsym,hadron,1D_dependence,HERMESp
0.00279,0.677647059,0.343478261,0.446575342,1.122807018,-0.10869,0.019565,pi+,x,cosphi
0.01706,0.503529412,0.360869565,0.397260274,1.473684211,-0.09751,0.01304,pi+,x,
0.11312,0.470588235,0.365217391,0.37260274,2.526315789,-0.08074,0.01304,pi+,x,
0.88395,0.456470588,0.356521739,0.356164384,4.596491228,-0.05465,0.021425,pi+,x,
0.104255319,0.38169,0.369565217,0.356164384,2,-0.089375,0.016875,pi+,y,
0.085106383,0.49384,0.365217391,0.397260274,2.315789474,-0.089375,0.01219,pi+,y,
0.074468085,0.61544,0.356521739,0.421917808,2.526315789,-0.09499,0.01219,pi+,y,
0.065957447,0.76339,0.339130435,0.446575342,2.666666667,-0.05937,0.0178125,pi+,y,
0.089361702,0.128571429,0.2675,0.339726027,2.310344828,-0.06024,0.013045,pi+,z,
0.091489362,0.126190476,0.345,0.389041096,2.344827586,-0.06211,0.012115,pi+,z,
0.091489362,0.123809524,0.4475,0.438356164,2.275862069,-0.11055,0.012115,pi+,z,
0.089361702,0.122619048,0.5475,0.463013699,2.206896552,-0.15714,0.01118,pi+,z,
0.091489362,0.119047619,0.6675,0.512328767,2.206896552,-0.22608,0.01118,pi+,z,
0.095744681,0.117857143,0.317391304,0.13858,2.310344828,-0.03125,0.016875,pi+,phT,
0.093617021,0.122619048,0.334782609,0.27559,2.310344828,-0.05375,0.01125,pi+,phT,
0.091489362,0.125,0.360869565,0.41732,2.310344828,-0.09312,0.01313,pi+,phT,
0.085106383,0.132142857,0.395652174,0.57795,2.275862069,-0.134375,0.013125,pi+,phT,
0.074468085,0.142857143,0.452173913,0.79527,2.172413793,-0.16625,0.015,pi+,phT,
0.024697829,0.67764706,0.343478261,0.446575342,1.122807018,-0.067924528,0.024528302,pi-,x,
0.070282045,0.50352941,0.360869565,0.397260274,1.473684211,-0.045283019,0.017924528,pi-,x,
0.220434628,0.47058824,0.365217391,0.37260274,2.526315789,-0.01509434,0.01509434,pi-,x,
0.725838772,0.45647059,0.356521739,0.356164384,4.596491228,0.1,0.050943396,pi-,x,
0.104255319,0.372972973,0.369565217,0.356164384,2,0.020754717,0.018867925,pi-,y,
0.085106383,0.521621622,0.365217391,0.397260274,2.315789474,-0.032075472,0.01509434,pi-,y,
0.074468085,0.648648649,0.356521739,0.421917808,2.526315789,-0.058490566,0.011320755,pi-,y,
0.065957447,0.772972973,0.339130435,0.446575342,2.666666667,-0.052830189,0.022641509,pi-,y,
0.089361702,0.128571429,0.265,0.339726027,2.310344828,-0.005660377,0.014150943,pi-,z,
0.091489362,0.126190476,0.345,0.389041096,2.344827586,0.020754717,0.01509434,pi-,z,
0.091489362,0.123809524,0.445,0.438356164,2.275862069,-0.018867925,0.013207547,pi-,z,
0.089361702,0.122619048,0.5475,0.463013699,2.206896552,-0.098113208,0.01509434,pi-,z,
0.091489362,0.119047619,0.6675,0.512328767,2.206896552,-0.2,0.014150943,pi-,z,
0.09574468,0.117857143,0.317391304,0.133858268,2.310344828,-0.041509434,0.021698113,pi-,phT,
0.09361702,0.122619048,0.334782609,0.275590551,2.310344828,-0.013207547,0.014150943,pi-,phT,
0.09148936,0.125,0.360869565,0.417322835,2.310344828,-0.013207547,0.020754717,pi-,phT,
0.08510638,0.132142857,0.395652174,0.577952756,2.275862069,-0.022641509,0.023584906,pi-,phT,
0.07446809,0.142857143,0.452173913,0.8,2.172413793,-0.016981132,0.032075472,pi-,phT,
0.018061622,0.461176471,0.404255319,0.41369863,1.379310345,-0.196774194,0.019354839,k+,x,
0.120526094,0.432941176,0.408510638,0.397260274,2.379310345,-0.15483871,0.014516129,k+,x,
0.91087642,0.437647059,0.408510638,0.347945205,4.413793103,-0.112903226,0.019354839,k+,x,
0.095744681,0.371621622,0.417021277,0.389041096,1.862068966,-0.138709677,0.020967742,k+,y,
0.091489362,0.517567568,0.408510638,0.405479452,2.482758621,-0.2,0.017741935,k+,y,
0.082978723,0.647297297,0.370212766,0.421917808,2.862068966,-0.190322581,0.043548387,k+,y,
0.091489362,0.456470588,0.348091603,0.380821918,2.206896552,-0.116129032,0.014516129,k+,z,
0.095744681,0.437647059,0.447328244,0.41369863,2.172413793,-0.183870968,0.020967742,k+,z,
0.093617021,0.414117647,0.548091603,0.421917808,2.034482759,-0.251612903,0.022580645,k+,z,
0.10212766,0.432941176,0.395744681,0.275294118,2.310344828,-0.093548387,0.017741935,k+,phT,
0.093617021,0.442352941,0.408510638,0.421176471,2.206896552,-0.174193548,0.016129032,k+,phT,
0.080851064,0.461176471,0.421276596,0.585882353,2,-0.264516129,0.020967742,k+,phT,
0.01750827,0.461176471,0.404255319,0.41369863,1.379310345,-0.738709677,0.025806452,k-,x,
0.116833549,0.432941176,0.408510638,0.397260274,2.379310345,-0.65483871,0.022580645,k-,x,
