,hadron,Q2,x,z,phT,Asym,dAsym,1D_dependence
0,pi+,1.122807018,0.00279,0.343478261,0.446575342,0.77010524,0.02182048,x
1,pi+,1.473684211,0.01706,0.360869565,0.397260274,0.78953654,0.017670617,x
2,pi+,2.526315789,0.11312,0.365217391,0.37260274,0.6247454,0.008003858,x
3,pi+,4.596491228,0.88395,0.356521739,0.356164384,-0.008930221,0.021899443,x
4,pi+,2.0,0.104255319,0.369565217,0.356164384,0.6892117,0.008981225,y
5,pi+,2.315789474,0.085106383,0.365217391,0.397260274,0.68201977,0.009266349,y
6,pi+,2.526315789,0.074468085,0.356521739,0.421917808,0.62894726,0.0088431025,y
7,pi+,2.666666667,0.065957447,0.339130435,0.446575342,0.5222908,0.0075218,y
8,pi+,2.310344828,0.089361702,0.2675,0.339726027,0.6779759,0.007954839,z
9,pi+,2.344827586,0.091489362,0.345,0.389041096,0.7515795,0.009729271,z
10,pi+,2.275862069,0.091489362,0.4475,0.438356164,0.8364223,0.011984051,z
11,pi+,2.206896552,0.089361702,0.5475,0.463013699,0.88450754,0.013475326,z
12,pi+,2.206896552,0.091489362,0.6675,0.512328767,0.96385896,0.016782945,z
13,pi+,2.310344828,0.095744681,0.317391304,0.13858,0.27454978,0.0033775172,phT
14,pi+,2.310344828,0.093617021,0.334782609,0.27559,0.5446758,0.006908157,phT
15,pi+,2.310344828,0.091489362,0.360869565,0.41732,0.8039241,0.010636488,phT
16,pi+,2.275862069,0.085106383,0.395652174,0.57795,1.062073,0.015005259,phT
17,pi+,2.172413793,0.074468085,0.452173913,0.79527,1.3310575,0.020794142,phT
18,pi-,1.122807018,0.024697829,0.343478261,0.446575342,0.7663883,0.014974446,x
19,pi-,1.473684211,0.070282045,0.360869565,0.397260274,0.8309145,0.010899565,x
20,pi-,2.526315789,0.220434628,0.365217391,0.37260274,0.63439554,0.019786954,x
21,pi-,4.596491228,0.725838772,0.356521739,0.356164384,0.021139303,0.06908299,x
22,pi-,2.0,0.104255319,0.369565217,0.356164384,0.7460695,0.01019611,y
23,pi-,2.315789474,0.085106383,0.365217391,0.397260274,0.70006716,0.008929558,y
24,pi-,2.526315789,0.074468085,0.356521739,0.421917808,0.62250125,0.007880195,y
25,pi-,2.666666667,0.065957447,0.339130435,0.446575342,0.520013,0.006627945,y
26,pi-,2.310344828,0.089361702,0.265,0.339726027,0.70304656,0.008111146,z
27,pi-,2.344827586,0.091489362,0.345,0.389041096,0.7922163,0.010002162,z
28,pi-,2.275862069,0.091489362,0.445,0.438356164,0.8943597,0.01241255,z
29,pi-,2.206896552,0.089361702,0.5475,0.463013699,0.94960725,0.0139032155,z
30,pi-,2.206896552,0.091489362,0.6675,0.512328767,1.067605,0.019085309,z
31,pi-,2.310344828,0.09574468,0.317391304,0.133858268,0.27927792,0.003453086,phT
32,pi-,2.310344828,0.09361702,0.334782609,0.275590551,0.57454914,0.007207382,phT
33,pi-,2.310344828,0.09148936,0.360869565,0.417322835,0.849928,0.010941984,phT
34,pi-,2.275862069,0.08510638,0.395652174,0.577952756,1.118096,0.014806521,phT
35,pi-,2.172413793,0.07446809,0.452173913,0.8,1.3861892,0.01947978,phT
36,k+,1.379310345,0.018061622,0.404255319,0.41369863,0.7362177,0.06682129,x
37,k+,2.379310345,0.120526094,0.408510638,0.397260274,0.62138045,0.009988797,x
38,k+,4.413793103,0.91087642,0.408510638,0.347945205,-0.011590436,0.024075495,x
39,k+,1.862068966,0.095744681,0.417021277,0.389041096,0.6898426,0.013538916,y
40,k+,2.482758621,0.091489362,0.408510638,0.405479452,0.5951652,0.012569466,y
41,k+,2.862068966,0.082978723,0.370212766,0.421917808,0.52151567,0.013601265,y
42,k+,2.206896552,0.091489362,0.348091603,0.380821918,0.6157259,0.014216605,z
43,k+,2.172413793,0.095744681,0.447328244,0.41369863,0.6654511,0.012907214,z
44,k+,2.034482759,0.093617021,0.548091603,0.421917808,0.6915142,0.014562059,z
45,k+,2.310344828,0.10212766,0.395744681,0.275294118,0.44103676,0.008189889,phT
46,k+,2.206896552,0.093617021,0.408510638,0.421176471,0.6752074,0.013791942,phT
47,k+,2.0,0.080851064,0.421276596,0.585882353,0.91669285,0.022852141,phT
48,k-,1.379310345,0.01750827,0.404255319,0.41369863,0.53991425,0.037291165,x
49,k-,2.379310345,0.116833549,0.408510638,0.397260274,0.6372182,0.01572554,x
50,k-,4.413793103,0.882969996,0.408510638,0.347945205,-0.012081572,0.02175702,x
51,k-,1.862068966,0.095744681,0.417021277,0.389041096,0.6548514,0.01899892,y
52,k-,2.482758621,0.091489362,0.408510638,0.405479452,0.57328486,0.01509873,y
53,k-,2.862068966,0.082978723,0.370212766,0.421917808,0.5075714,0.012710258,y
54,k-,2.206896552,0.091489362,0.346564885,0.380821918,0.61367893,0.0149131995,z
55,k-,2.172413793,0.095744681,0.445801527,0.41369863,0.6283117,0.018860614,z
56,k-,2.034482759,0.093617021,0.546564885,0.421917808,0.6030956,0.027177028,z
57,k-,2.310344828,0.10212766,0.395744681,0.277647059,0.4416182,0.0110681765,phT
58,k-,2.206896552,0.093617021,0.408510638,0.421176471,0.64946467,0.017513676,phT
59,k-,2.0,0.080851064,0.421276596,0.588235294,0.8406903,0.026380507,phT
