,hadron,1D_dependence,y,z,QQ,sbar,ubar,dbar,d,u,s
36,k+,x,0.461176471,0.404255319,1.379310345,0.39500582983422505,0.008597498562230282,0.0085959931808292,0.0085959931808292,0.08925009676127199,0.008608039522513376
37,k+,x,0.432941176,0.408510638,2.379310345,0.3638453109928312,0.012381871641932305,0.012389693637924517,0.012389693637924517,0.08780415272752747,0.012396040194742091
38,k+,x,0.437647059,0.408510638,4.413793103,0.3373637773811736,0.014393300715665821,0.01438785000138707,0.01438785000138707,0.08485980987673387,0.014378338130589698
39,k+,y,0.371621622,0.417021277,1.862068966,0.367516973836221,0.010095595415859603,0.010099364460020892,0.010099364460020892,0.08720806064714576,0.010102043651995657
40,k+,y,0.517567568,0.408510638,2.482758621,0.3618453082318036,0.012620859429257036,0.01262868115653181,0.01262868115653181,0.0876678116197436,0.012634891178776687
41,k+,y,0.647297297,0.370212766,2.862068966,0.39437393345276867,0.01710980474691765,0.01710514462985485,0.01710514462985485,0.09301553301845353,0.017107293615829626
42,k+,z,0.456470588,0.348091603,2.206896552,0.425368741950958,0.01797666335666753,0.01798025861790366,0.01798025861790366,0.09489703817615401,0.01797782071239723
43,k+,z,0.437647059,0.447328244,2.172413793,0.3313802115254176,0.008761633048730443,0.008765397042762309,0.008765397042762309,0.08144094719641229,0.008788528355575644
44,k+,z,0.414117647,0.548091603,2.034482759,0.26086613594406394,0.0027602267217545643,0.00276202325065361,0.00276202325065361,0.0627361295536002,0.0027735344339331783
45,k+,phT,0.432941176,0.395744681,2.310344828,0.3780827881893377,0.013338116781801343,0.013353153422031833,0.013353153422031833,0.08982344020822887,0.01337605032111857
46,k+,phT,0.442352941,0.408510638,2.206896552,0.3674642040021723,0.011909153595288461,0.011916414008281894,0.011916414008281894,0.08801104030966825,0.01192205977051754
47,k+,phT,0.461176471,0.421276596,2.0,0.35973360954459305,0.010225054724958233,0.010227822883738682,0.010227822883738682,0.08628410636147914,0.010229102706573836
