,hadron,1D_dependence,x,z,phT,QQ,sbar,ubar,dbar,d,u,s
0,pi+,x,0.0065,0.349,0.5,5.738888888888889,0.18094419992408872,0.28534074749090355,0.29673781426907186,0.37282323101467313,0.41498063879990127,0.18094419992408872
1,pi+,x,0.0093444444444444,0.349,0.5,5.738888888888889,0.16504168350446197,0.26491142581735727,0.27959150511846276,0.37291129122673705,0.4230632232287458,0.16504168350446197
2,pi+,x,0.0121888888888888,0.349,0.5,5.738888888888889,0.15353566326427334,0.25032619656095545,0.2678636041836735,0.3760054292014833,0.4332767022765872,0.15353566326427334
3,pi+,x,0.0150333333333333,0.349,0.5,5.738888888888889,0.14442469430850924,0.23874676635500733,0.2587764598669746,0.38006349787440424,0.44399039247294236,0.14442469430850924
4,pi+,x,0.0178777777777777,0.349,0.5,5.738888888888889,0.1368742532762261,0.2290290546832247,0.2512347943738677,0.38441283401487597,0.45473207173638003,0.1368742532762261
5,pi+,x,0.0207222222222222,0.349,0.5,5.738888888888889,0.13036693289947282,0.22052569782425066,0.24463307705435594,0.38868462881810983,0.46521187021565086,0.13036693289947282
6,pi+,x,0.0235666666666666,0.349,0.5,5.738888888888889,0.12468370179462822,0.21293594946562508,0.23870064577816558,0.39281419062441764,0.4754646944088385,0.12468370179462822
7,pi+,x,0.0264111111111111,0.349,0.5,5.738888888888889,0.11961084380139235,0.20601623073308714,0.23322958938756574,0.3966969918108072,0.4853922100808419,0.11961084380139235
8,pi+,x,0.0292555555555555,0.349,0.5,5.738888888888889,0.11500144948566775,0.1996041398192311,0.22808580073555987,0.40029362156638953,0.49495927756803515,0.11500144948566775
9,pi+,x,0.0321,0.349,0.5,5.738888888888889,0.11079539041873583,0.19361329295475943,0.22321081413744537,0.40361556618785244,0.5042022141960201,0.11079539041873583
10,pi+,x,0.0349444444444444,0.349,0.5,5.738888888888889,0.10693619887925526,0.18798801903107332,0.2185722762104325,0.40671333251867803,0.513167390967361,0.10693619887925526
11,pi+,x,0.0377888888888888,0.349,0.5,5.738888888888889,0.10335323166344089,0.182645845557824,0.21411259779622638,0.409546370539633,0.521802433992531,0.10335323166344089
12,pi+,x,0.0406333333333333,0.349,0.5,5.738888888888889,0.09999612465143466,0.17753402632794488,0.2097921777297102,0.4121135270983807,0.5301056751846042,0.09999612465143466
13,pi+,x,0.0434777777777777,0.349,0.5,5.738888888888889,0.09684226234366465,0.17263201280707793,0.20560872600583094,0.4144594220515009,0.5381126106491939,0.09684226234366465
14,pi+,x,0.0463222222222222,0.349,0.5,5.738888888888889,0.09387431038992551,0.16790853694529284,0.20155269060462494,0.4165812341608567,0.5458158986796855,0.09387431038992551
15,pi+,x,0.0491666666666666,0.349,0.5,5.738888888888889,0.09107292385806773,0.16335246350827554,0.19761452139277802,0.41852675448902155,0.5532724782302864,0.09107292385806773
16,pi+,x,0.0520111111111111,0.349,0.5,5.738888888888889,0.08841291664616521,0.15893717075449657,0.1937816458963408,0.42028214644212597,0.5604496243093674,0.08841291664616521
17,pi+,x,0.0548555555555555,0.349,0.5,5.738888888888889,0.0858731971009102,0.1546378541101214,0.19004249587763988,0.42183159597850317,0.5673162447985478,0.0858731971009102
18,pi+,x,0.0577,0.349,0.5,5.738888888888889,0.08344115931995016,0.1504468092208792,0.18638726896544505,0.42321530025782195,0.5739285395882594,0.08344115931995016
19,pi+,x,0.0605444444444444,0.349,0.5,5.738888888888889,0.08111210353283456,0.14636059171306928,0.1828181939922355,0.42443775142000256,0.5802849662644615,0.08111210353283456
20,pi+,x,0.0633888888888889,0.349,0.5,5.738888888888889,0.07888167320744811,0.14237470382004674,0.17933750857690986,0.42549604139542135,0.5863738734635335,0.07888167320744811
21,pi+,x,0.0662333333333333,0.349,0.5,5.738888888888889,0.0767427575263441,0.1384794124594905,0.1759391089892994,0.4264227100430886,0.5922418566174162,0.0767427575263441
22,pi+,x,0.0690777777777778,0.349,0.5,5.738888888888889,0.07468536793557795,0.13467039729547922,0.17261529291741504,0.42721985467016776,0.5978922542648012,0.07468536793557795
23,pi+,x,0.0719222222222222,0.349,0.5,5.738888888888889,0.07270095003309866,0.13094696658744084,0.1693615249285321,0.4278699123452892,0.6032980825684837,0.07270095003309866
24,pi+,x,0.0747666666666666,0.349,0.5,5.738888888888889,0.07078190634038774,0.1273045636111396,0.1661734087762485,0.4283692905916025,0.6084520999261801,0.07078190634038774
25,pi+,x,0.0776111111111111,0.349,0.5,5.738888888888889,0.06892275140108073,0.12373000664947033,0.16304614801909462,0.4287510770665034,0.6134004507306696,0.06892275140108073
26,pi+,x,0.0804555555555555,0.349,0.5,5.738888888888889,0.06712258915076566,0.12023074964178963,0.15997728759315213,0.4290107251340013,0.6181429835575735,0.06712258915076566
27,pi+,x,0.0833,0.349,0.5,5.738888888888889,0.06538061392662185,0.1168146175089888,0.15696472377674162,0.4291405192653253,0.6226745184297092,0.06538061392662185
28,pi+,x,0.0861444444444444,0.349,0.5,5.738888888888889,0.0636949157839375,0.11348097552363157,0.1540065923941708,0.42914484404787,0.6270034243351369,0.0636949157839375
29,pi+,x,0.0889888888888889,0.349,0.5,5.738888888888889,0.0620601228577205,0.11021233886862279,0.1511001177613414,0.42905173643876693,0.631164809747231,0.0620601228577205
30,pi+,x,0.0918333333333333,0.349,0.5,5.738888888888889,0.06047309817913485,0.10701658388283543,0.14824056293680218,0.4288500129290653,0.6351480724950579,0.06047309817913485
31,pi+,x,0.0946777777777777,0.349,0.5,5.738888888888889,0.058931238786312366,0.10390216430481143,0.1454236680984477,0.42852762519443244,0.6389414207437025,0.058931238786312366
32,pi+,x,0.0975222222222222,0.349,0.5,5.738888888888889,0.057431836470899306,0.10087316311407954,0.14264589629299967,0.42807842116467165,0.6425396199029391,0.057431836470899306
33,pi+,x,0.1003666666666666,0.349,0.5,5.738888888888889,0.055970300940061495,0.09790971585148016,0.1399062034107612,0.42752813530534123,0.6459739272644175,0.055970300940061495
34,pi+,x,0.1032111111111111,0.349,0.5,5.738888888888889,0.054546482946971446,0.09501517315804535,0.1372028391142715,0.4268777803566254,0.6492488215443889,0.054546482946971446
35,pi+,x,0.1060555555555555,0.349,0.5,5.738888888888889,0.05316107969328665,0.09219890830763805,0.13453377387718635,0.4261207191043486,0.6523599284585072,0.05316107969328665
36,pi+,x,0.1089,0.349,0.5,5.738888888888889,0.051814520752980604,0.08946853615841693,0.1318971713779339,0.4252518636475451,0.6553042825922208,0.051814520752980604
37,pi+,x,0.1117444444444444,0.349,0.5,5.738888888888889,0.05050525691287401,0.08681864699472287,0.1292916174901675,0.42428006672162094,0.6580957935978953,0.05050525691287401
38,pi+,x,0.1145888888888889,0.349,0.5,5.738888888888889,0.049229635063217696,0.08423520341709383,0.12671609416649993,0.4232219491506176,0.6607548639934643,0.049229635063217696
39,pi+,x,0.1174333333333333,0.349,0.5,5.738888888888889,0.047986535182303704,0.08172373645270858,0.12416931236517226,0.4220716205781425,0.6632720059315104,0.047986535182303704
40,pi+,x,0.1202777777777777,0.349,0.5,5.738888888888889,0.04677492454321755,0.07928908540049033,0.12165007607827653,0.4208240251610016,0.6656391048394918,0.04677492454321755
41,pi+,x,0.1231222222222222,0.349,0.5,5.738888888888889,0.04559380521711354,0.07693516911752737,0.11915727837488234,0.41947518349850516,0.6678496943999856,0.04559380521711354
42,pi+,x,0.1259666666666666,0.349,0.5,5.738888888888889,0.04444041677964652,0.07465332339323018,0.1166878116044824,0.41803392674444445,0.6699210604713051,0.04444041677964652
43,pi+,x,0.1288111111111111,0.349,0.5,5.738888888888889,0.04331335266473664,0.07243615813800398,0.11424089221474298,0.4165098528514575,0.6718671335334365,0.04331335266473664
44,pi+,x,0.1316555555555555,0.349,0.5,5.738888888888889,0.042213303077454106,0.07028704862106278,0.1118184268822526,0.41490242324797005,0.6736810969452334,0.042213303077454106
45,pi+,x,0.1345,0.349,0.5,5.738888888888889,0.04114079735598958,0.06820875539915902,0.10942203191662901,0.41321144868034226,0.6753573839924005,0.04114079735598958
46,pi+,x,0.1373444444444444,0.349,0.5,5.738888888888889,0.04009622627461135,0.06620350610264769,0.10705306989222986,0.41143703471019777,0.6768915107281241,0.04009622627461135
47,pi+,x,0.1401888888888889,0.349,0.5,5.738888888888889,0.03907812892274558,0.06426686025061316,0.10470830764985943,0.409583980219531,0.6782978335457253,0.03907812892274558
48,pi+,x,0.1430333333333333,0.349,0.5,5.738888888888889,0.03808421573720913,0.06239180415871921,0.10238461443408997,0.4076587707736068,0.6795913532478108,0.03808421573720913
49,pi+,x,0.1458777777777778,0.349,0.5,5.738888888888889,0.03711413262200737,0.060578420841156604,0.1000847663408345,0.4056626985559262,0.6807633773008875,0.03711413262200737
50,pi+,x,0.1487222222222222,0.349,0.5,5.738888888888889,0.03616751579304027,0.058826656331187575,0.09781119736815388,0.40359709574143654,0.6818064372466068,0.03616751579304027
51,pi+,x,0.1515666666666666,0.349,0.5,5.738888888888889,0.0352439893881962,0.057136320262927164,0.09556602265206457,0.40146333630561953,0.6827142058359091,0.0352439893881962
52,pi+,x,0.1544111111111111,0.349,0.5,5.738888888888889,0.034342620227409144,0.055505995270981295,0.0933484493861133,0.39926293291709053,0.6834889919739895,0.034342620227409144
53,pi+,x,0.1572555555555555,0.349,0.5,5.738888888888889,0.03346131115553728,0.05393080800709464,0.09115137072233905,0.3969988461516507,0.6841537965303063,0.03346131115553728
54,pi+,x,0.1601,0.349,0.5,5.738888888888889,0.03260024208300727,0.052409321359545,0.08897780885642344,0.39467489449045634,0.6847046815748195,0.03260024208300727
55,pi+,x,0.1629444444444444,0.349,0.5,5.738888888888889,0.031759734370623176,0.05094048933369577,0.08683136217762054,0.39229466822099135,0.6851357786922051,0.031759734370623176
56,pi+,x,0.1657888888888889,0.349,0.5,5.738888888888889,0.030940038291187494,0.04952326928908733,0.08471521975301578,0.3898615249973025,0.6854420615896842,0.030940038291187494
57,pi+,x,0.1686333333333333,0.349,0.5,5.738888888888889,0.03014133517708871,0.04815662613242752,0.08263216110947165,0.38737859273359315,0.6856193573704275,0.03014133517708871
58,pi+,x,0.1714777777777777,0.349,0.5,5.738888888888889,0.029362468353618124,0.04683942566199077,0.08057671363944385,0.38484598792275554,0.6856833263863582,0.029362468353618124
59,pi+,x,0.1743222222222222,0.349,0.5,5.738888888888889,0.028602204544084135,0.04556943459767109,0.0785457839148165,0.3822648096056045,0.6856426925641128,0.028602204544084135
60,pi+,x,0.1771666666666667,0.349,0.5,5.738888888888889,0.02786012927057907,0.04434417682173954,0.07654217975656355,0.37963824190475504,0.6854914746812859,0.02786012927057907
61,pi+,x,0.1800111111111111,0.349,0.5,5.738888888888889,0.02713583752789311,0.043161332926871,0.07456840687095365,0.3769692632967719,0.6852244462905747,0.02713583752789311
62,pi+,x,0.1828555555555555,0.349,0.5,5.738888888888889,0.026428933807520084,0.04201872833593721,0.07262669730579352,0.37426066208490794,0.6848370611583399,0.026428933807520084
63,pi+,x,0.1857,0.349,0.5,5.738888888888889,0.025738963816916115,0.0409144935440415,0.07071835439119793,0.37151455708124,0.6843267954930697,0.025738963816916115
64,pi+,x,0.1885444444444444,0.349,0.5,5.738888888888889,0.0250647231535889,0.039849022215465185,0.06883603141911239,0.3687272847452236,0.6837100559102172,0.0250647231535889
65,pi+,x,0.1913888888888889,0.349,0.5,5.738888888888889,0.024405950697999,0.03882096444733704,0.06697974886785178,0.36590151835219376,0.6829899877390136,0.024405950697999
66,pi+,x,0.1942333333333333,0.349,0.5,5.738888888888889,0.023762706931363547,0.0378282908860785,0.06515246913324123,0.36304205073179263,0.6821636991234213,0.023762706931363547
67,pi+,x,0.1970777777777778,0.349,0.5,5.738888888888889,0.02313502624208588,0.03686909616342718,0.06335686469785434,0.360153324532641,0.6812287045740045,0.02313502624208588
68,pi+,x,0.1999222222222222,0.349,0.5,5.738888888888889,0.022522919663790983,0.03594159002761159,0.06159534310728144,0.35723945932521295,0.6801828866391413,0.022522919663790983
69,pi+,x,0.2027666666666666,0.349,0.5,5.738888888888889,0.021926302425913154,0.03504438215630451,0.0598692826262091,0.3543034205451747,0.6790257151305784,0.021926302425913154
70,pi+,x,0.2056111111111111,0.349,0.5,5.738888888888889,0.021344251617561965,0.03417886985693907,0.05817204452679417,0.3513394988817018,0.6777691737687415,0.021344251617561965
71,pi+,x,0.2084555555555555,0.349,0.5,5.738888888888889,0.02077629921143628,0.03334372623427001,0.05650327435147852,0.3483489303621764,0.6764147936181422,0.02077629921143628
72,pi+,x,0.2113,0.349,0.5,5.738888888888889,0.02022219394454516,0.03253681849241932,0.05486484393326292,0.34533533587259474,0.6749605161896528,0.02022219394454516
73,pi+,x,0.2141444444444444,0.349,0.5,5.738888888888889,0.0196816883454897,0.031756148185963125,0.05325844399024227,0.3423020877556847,0.6734045733151771,0.0196816883454897
74,pi+,x,0.2169888888888889,0.349,0.5,5.738888888888889,0.01915453885484792,0.03099984184494554,0.05168559878764327,0.33925232767658464,0.6717454615017755,0.01915453885484792
75,pi+,x,0.2198333333333333,0.349,0.5,5.738888888888889,0.01864047896470255,0.0302663261799632,0.05014730481723772,0.33618851781491915,0.6699825433293747,0.01864047896470255
76,pi+,x,0.2226777777777778,0.349,0.5,5.738888888888889,0.018138842516443474,0.0295570333533361,0.048638483912620815,0.3331058100078234,0.668125543201872,0.018138842516443474
77,pi+,x,0.2255222222222222,0.349,0.5,5.738888888888889,0.017649326809312724,0.028871360535485578,0.047158219630771485,0.33000506025097853,0.6661777773234012,0.017649326809312724
