,hadron,1D_dependence,x,z,phT,QQ,sbar,ubar,dbar,d,u,s
0,pi+,x,0.006469,0.3566666666666666,0.4833333333333333,6.297777777777778,0.18833708383317277,0.29256943406654673,0.3040565490623928,0.38068231661964536,0.4232103402198363,0.18833708383317277
1,pi+,x,0.0092127474747474,0.3566666666666666,0.4833333333333333,6.297777777777778,0.17169457566057522,0.27149399692640924,0.28616881475292855,0.37957608006602916,0.42994126845009795,0.17169457566057522
2,pi+,x,0.0119564949494949,0.3566666666666666,0.4833333333333333,6.297777777777778,0.1595888976332662,0.2563442570481315,0.27379923346167706,0.38167627782506863,0.4390319450317906,0.1595888976332662
3,pi+,x,0.0147002424242424,0.3566666666666666,0.4833333333333333,6.297777777777778,0.14997638749710054,0.2442891259216322,0.26417516866279,0.38489570955529584,0.44877851514070743,0.14997638749710054
4,pi+,x,0.0174439898989899,0.3566666666666666,0.4833333333333333,6.297777777777778,0.14201951944949484,0.23419161790946447,0.2562082008355801,0.3885630602775744,0.45870457686686905,0.14201951944949484
5,pi+,x,0.0201877373737373,0.3566666666666666,0.4833333333333333,6.297777777777778,0.13516264698439362,0.22536609079047368,0.24924939463767948,0.39224750573624717,0.46845922022189157,0.13516264698439362
6,pi+,x,0.0229314848484848,0.3566666666666666,0.4833333333333333,6.297777777777778,0.1291734912473935,0.21749931103591122,0.24301367119917172,0.3958588489281261,0.4780519012029001,0.1291734912473935
7,pi+,x,0.0256752323232323,0.3566666666666666,0.4833333333333333,6.297777777777778,0.12384685073528046,0.21036225977619866,0.23731187445480786,0.39932612921366295,0.4874086868775278,0.12384685073528046
8,pi+,x,0.0284189797979797,0.3566666666666666,0.4833333333333333,6.297777777777778,0.1190143079174618,0.20375883797926228,0.23196387368457175,0.4025413664949281,0.4964482032281844,0.1190143079174618
9,pi+,x,0.0311627272727272,0.3566666666666666,0.4833333333333333,6.297777777777778,0.11460352291773072,0.19760623808645109,0.2269209661618622,0.405538119875726,0.5052017099455502,0.11460352291773072
10,pi+,x,0.0339064747474747,0.3566666666666666,0.4833333333333333,6.297777777777778,0.1105628711363993,0.19183674937979828,0.22213274604510988,0.40832941740361306,0.5137049045254094,0.1105628711363993
11,pi+,x,0.0366502222222222,0.3566666666666666,0.4833333333333333,6.297777777777778,0.10682520938835963,0.18638610579369344,0.21755953143925572,0.41092249181579177,0.5219432502356712,0.10682520938835963
12,pi+,x,0.0393939696969697,0.3566666666666666,0.4833333333333333,6.297777777777778,0.10333187990648487,0.1811809527257787,0.21314418898278598,0.4132667374903622,0.5298680697262119,0.10333187990648487
13,pi+,x,0.0421377171717171,0.3566666666666666,0.4833333333333333,6.297777777777778,0.10005156209022814,0.17619989865353217,0.2088759701713166,0.41541407003834896,0.5375261678641524,0.10005156209022814
14,pi+,x,0.0448814646464646,0.3566666666666666,0.4833333333333333,6.297777777777778,0.0969660223314137,0.1714126251489517,0.20474630169148886,0.4173638388673685,0.5449089309939515,0.0969660223314137
15,pi+,x,0.0476252121212121,0.3566666666666666,0.4833333333333333,6.297777777777778,0.09405837046750493,0.1667991967725528,0.20074534537561817,0.4191365933646672,0.552040656253644,0.09405837046750493
16,pi+,x,0.0503689595959596,0.3566666666666666,0.4833333333333333,6.297777777777778,0.09130599549807757,0.1623442858762073,0.19686106671974832,0.42075783481129136,0.5589465283583858,0.09130599549807757
17,pi+,x,0.053112707070707,0.3566666666666666,0.4833333333333333,6.297777777777778,0.08868595696803969,0.158020543397182,0.19308107316036827,0.4222010649007991,0.565579895066541,0.08868595696803969
18,pi+,x,0.0558564545454545,0.3566666666666666,0.4833333333333333,6.297777777777778,0.08618042544471509,0.15380961895820203,0.1893934847717661,0.4234703943304952,0.5719428832394817,0.08618042544471509
19,pi+,x,0.058600202020202,0.3566666666666666,0.4833333333333333,6.297777777777778,0.08378094826863712,0.1497074776272038,0.1857925727848661,0.4245996912469852,0.5780822135603343,0.08378094826863712
20,pi+,x,0.0613439494949495,0.3566666666666666,0.4833333333333333,6.297777777777778,0.08148297400907958,0.14570985491546629,0.1822805019230085,0.42558403998179295,0.5839831274128081,0.08148297400907958
21,pi+,x,0.0640876969696969,0.3566666666666666,0.4833333333333333,6.297777777777778,0.07928174696434129,0.14181158443308203,0.17885745276747345,0.426425199380812,0.5896428427865041,0.07928174696434129
22,pi+,x,0.0668314444444444,0.3566666666666666,0.4833333333333333,6.297777777777778,0.07716917565842364,0.13800241790109333,0.1755151230370909,0.42715643417260213,0.5951112709543575,0.07716917565842364
23,pi+,x,0.0695751919191919,0.3566666666666666,0.4833333333333333,6.297777777777778,0.07513583534185496,0.13427976751955945,0.1722470641044877,0.4277681700481667,0.6003743571204457,0.07513583534185496
