,Dependence,x1,x2,xF,QT,QM,Siv,tot_err
0,x2,0.1,0.5,-0.4,2.5,4.0,0,0
1,x2,0.1076923076923077,0.5,-0.3923076923076923,2.5,4.0,0,0
2,x2,0.11538461538461539,0.5,-0.3846153846153846,2.5,4.0,0,0
3,x2,0.12307692307692308,0.5,-0.3769230769230769,2.5,4.0,0,0
4,x2,0.13076923076923078,0.5,-0.36923076923076925,2.5,4.0,0,0
5,x2,0.13846153846153847,0.5,-0.36153846153846153,2.5,4.0,0,0
6,x2,0.14615384615384616,0.5,-0.3538461538461538,2.5,4.0,0,0
7,x2,0.15384615384615385,0.5,-0.34615384615384615,2.5,4.0,0,0
8,x2,0.16153846153846155,0.5,-0.3384615384615385,2.5,4.0,0,0
9,x2,0.16923076923076924,0.5,-0.33076923076923076,2.5,4.0,0,0
10,x2,0.17692307692307696,0.5,-0.32307692307692304,2.5,4.0,0,0
11,x2,0.18461538461538463,0.5,-0.3153846153846154,2.5,4.0,0,0
12,x2,0.19230769230769235,0.5,-0.30769230769230765,2.5,4.0,0,0
13,x2,0.2,0.5,-0.3,2.5,4.0,0,0
14,x2,0.20769230769230773,0.5,-0.29230769230769227,2.5,4.0,0,0
15,x2,0.2153846153846154,0.5,-0.2846153846153846,2.5,4.0,0,0
16,x2,0.22307692307692312,0.5,-0.2769230769230769,2.5,4.0,0,0
17,x2,0.2307692307692308,0.5,-0.26923076923076916,2.5,4.0,0,0
18,x2,0.2384615384615385,0.5,-0.2615384615384615,2.5,4.0,0,0
19,x2,0.2461538461538462,0.5,-0.25384615384615383,2.5,4.0,0,0
20,x2,0.2538461538461539,0.5,-0.2461538461538461,2.5,4.0,0,0
21,x2,0.2615384615384616,0.5,-0.2384615384615384,2.5,4.0,0,0
22,x2,0.2692307692307693,0.5,-0.23076923076923073,2.5,4.0,0,0
23,x2,0.27692307692307694,0.5,-0.22307692307692306,2.5,4.0,0,0
24,x2,0.28461538461538466,0.5,-0.21538461538461534,2.5,4.0,0,0
25,x2,0.2923076923076924,0.5,-0.20769230769230762,2.5,4.0,0,0
26,x2,0.30000000000000004,0.5,-0.19999999999999996,2.5,4.0,0,0
27,x2,0.3076923076923077,0.5,-0.1923076923076923,2.5,4.0,0,0
28,x2,0.31538461538461543,0.5,-0.18461538461538457,2.5,4.0,0,0
29,x2,0.32307692307692315,0.5,-0.17692307692307685,2.5,4.0,0,0
30,x2,0.3307692307692308,0.5,-0.16923076923076918,2.5,4.0,0,0
31,x2,0.3384615384615385,0.5,-0.16153846153846152,2.5,4.0,0,0
32,x2,0.3461538461538462,0.5,-0.1538461538461538,2.5,4.0,0,0
33,x2,0.3538461538461539,0.5,-0.14615384615384608,2.5,4.0,0,0
34,x2,0.3615384615384616,0.5,-0.1384615384615384,2.5,4.0,0,0
35,x2,0.36923076923076925,0.5,-0.13076923076923075,2.5,4.0,0,0
36,x2,0.376923076923077,0.5,-0.12307692307692297,2.5,4.0,0,0
37,x2,0.3846153846153847,0.5,-0.11538461538461531,2.5,4.0,0,0
38,x2,0.39230769230769236,0.5,-0.10769230769230764,2.5,4.0,0,0
39,x2,0.4,0.5,-0.09999999999999998,2.5,4.0,0,0
