,hadron,Q2,x,z,phT,Siv,tot_err,1D_dependence
0,pi+,6.297777777777778,0.006469,0.3566666666666666,0.4833333333333333,-0.0063601704,0.0023563325,x
1,pi+,6.297777777777778,0.0092127474747474,0.3566666666666666,0.4833333333333333,-0.0060352846,0.0023368124,x
2,pi+,6.297777777777778,0.0119564949494949,0.3566666666666666,0.4833333333333333,-0.005761926,0.0023319866,x
3,pi+,6.297777777777778,0.0147002424242424,0.3566666666666666,0.4833333333333333,-0.005523766,0.002337425,x
4,pi+,6.297777777777778,0.0174439898989899,0.3566666666666666,0.4833333333333333,-0.0053117736,0.0023505422,x
5,pi+,6.297777777777778,0.0201877373737373,0.3566666666666666,0.4833333333333333,-0.005120021,0.0023696732,x
6,pi+,6.297777777777778,0.0229314848484848,0.3566666666666666,0.4833333333333333,-0.0049445084,0.0023937216,x
7,pi+,6.297777777777778,0.0256752323232323,0.3566666666666666,0.4833333333333333,-0.004782727,0.0024217765,x
8,pi+,6.297777777777778,0.0284189797979797,0.3566666666666666,0.4833333333333333,-0.00463234,0.0024532683,x
9,pi+,6.297777777777778,0.0311627272727272,0.3566666666666666,0.4833333333333333,-0.0044919928,0.0024876404,x
10,pi+,6.297777777777778,0.0339064747474747,0.3566666666666666,0.4833333333333333,-0.004360506,0.0025245394,x
11,pi+,6.297777777777778,0.0366502222222222,0.3566666666666666,0.4833333333333333,-0.0042372467,0.0025638002,x
12,pi+,6.297777777777778,0.0393939696969697,0.3566666666666666,0.4833333333333333,-0.0041214675,0.0026051854,x
13,pi+,6.297777777777778,0.0421377171717171,0.3566666666666666,0.4833333333333333,-0.0040128655,0.0026485021,x
14,pi+,6.297777777777778,0.0448814646464646,0.3566666666666666,0.4833333333333333,-0.003911735,0.002693639,x
15,pi+,6.297777777777778,0.0476252121212121,0.3566666666666666,0.4833333333333333,-0.0038179096,0.0027403582,x
16,pi+,6.297777777777778,0.0503689595959596,0.3566666666666666,0.4833333333333333,-0.0037313513,0.0027884548,x
17,pi+,6.297777777777778,0.053112707070707,0.3566666666666666,0.4833333333333333,-0.003651726,0.0028379443,x
18,pi+,6.297777777777778,0.0558564545454545,0.3566666666666666,0.4833333333333333,-0.0035777318,0.0028891244,x
