,hadron,Q2,x,z,phT,Siv,tot_err,1D_dependence
0,pi+,2.7325,0.036,0.367375,0.37725,-0.0037131894,0.0039496506,x
1,pi+,2.7325,0.0382020202020202,0.367375,0.37725,-0.003803714,0.0031880992,x
2,pi+,2.7325,0.0404040404040404,0.367375,0.37725,-0.0038561374,0.0028782636,x
3,pi+,2.7325,0.0426060606060606,0.367375,0.37725,-0.0036597606,0.0031019172,x
4,pi+,2.7325,0.0448080808080808,0.367375,0.37725,-0.0031678176,0.0037234218,x
5,pi+,2.7325,0.047010101010101,0.367375,0.37725,-0.0026228372,0.0044547413,x
6,pi+,2.7325,0.0492121212121212,0.367375,0.37725,-0.0022060187,0.0053369515,x
7,pi+,2.7325,0.0514141414141414,0.367375,0.37725,-0.0018516147,0.006269554,x
8,pi+,2.7325,0.0536161616161616,0.367375,0.37725,-0.001713254,0.006572215,x
9,pi+,2.7325,0.0558181818181818,0.367375,0.37725,-0.0016915952,0.0068161055,x
10,pi+,2.7325,0.058020202020202,0.367375,0.37725,-0.001729395,0.007128292,x
11,pi+,2.7325,0.0602222222222222,0.367375,0.37725,-0.0018181598,0.0075095454,x
12,pi+,2.7325,0.0624242424242424,0.367375,0.37725,-0.001960928,0.007936668,x
13,pi+,2.7325,0.0646262626262626,0.367375,0.37725,-0.002270134,0.008239804,x
14,pi+,2.7325,0.0668282828282828,0.367375,0.37725,-0.0027362278,0.008407858,x
15,pi+,2.7325,0.069030303030303,0.367375,0.37725,-0.0032750925,0.0085585145,x
16,pi+,2.7325,0.0712323232323232,0.367375,0.37725,-0.0038672732,0.00870674,x
17,pi+,2.7325,0.0734343434343434,0.367375,0.37725,-0.004498988,0.008850571,x
18,pi+,2.7325,0.0756363636363636,0.367375,0.37725,-0.0051686214,0.009000643,x
19,pi+,2.7325,0.0778383838383838,0.367375,0.37725,-0.005871629,0.00915693,x
20,pi+,2.7325,0.080040404040404,0.367375,0.37725,-0.006597439,0.009323927,x
21,pi+,2.7325,0.0822424242424242,0.367375,0.37725,-0.0073465537,0.009516887,x
22,pi+,2.7325,0.0844444444444444,0.367375,0.37725,-0.008106367,0.00973467,x
23,pi+,2.7325,0.0866464646464646,0.367375,0.37725,-0.008867993,0.009965796,x
24,pi+,2.7325,0.0888484848484848,0.367375,0.37725,-0.009630193,0.010221616,x
25,pi+,2.7325,0.091050505050505,0.367375,0.37725,-0.010385669,0.010513999,x
26,pi+,2.7325,0.0932525252525252,0.367375,0.37725,-0.011128394,0.010845018,x
27,pi+,2.7325,0.0954545454545454,0.367375,0.37725,-0.011852818,0.011203838,x
28,pi+,2.7325,0.0976565656565656,0.367375,0.37725,-0.01254386,0.011573922,x
29,pi+,2.7325,0.0998585858585858,0.367375,0.37725,-0.01319275,0.011926002,x
30,pi+,2.7325,0.102060606060606,0.367375,0.37725,-0.013665153,0.0121412845,x
31,pi+,2.7325,0.1042626262626262,0.367375,0.37725,-0.013876712,0.012180207,x
32,pi+,2.7325,0.1064646464646464,0.367375,0.37725,-0.0140109295,0.012175424,x
33,pi+,2.7325,0.1086666666666666,0.367375,0.37725,-0.014102827,0.012158758,x
34,pi+,2.7325,0.1108686868686868,0.367375,0.37725,-0.014157335,0.012143751,x
35,pi+,2.7325,0.113070707070707,0.367375,0.37725,-0.014188158,0.01213914,x
36,pi+,2.7325,0.1152727272727272,0.367375,0.37725,-0.014196661,0.012151291,x
37,pi+,2.7325,0.1174747474747474,0.367375,0.37725,-0.014186741,0.012194815,x
38,pi+,2.7325,0.1196767676767676,0.367375,0.37725,-0.014162448,0.012276238,x
39,pi+,2.7325,0.1218787878787878,0.367375,0.37725,-0.014128944,0.012398743,x
40,pi+,2.7325,0.124080808080808,0.367375,0.37725,-0.014081752,0.012561534,x
41,pi+,2.7325,0.1262828282828282,0.367375,0.37725,-0.014022896,0.012766238,x
42,pi+,2.7325,0.1284848484848484,0.367375,0.37725,-0.0139507335,0.0130060855,x
43,pi+,2.7325,0.1306868686868686,0.367375,0.37725,-0.013867018,0.013282123,x
44,pi+,2.7325,0.1328888888888889,0.367375,0.37725,-0.013775895,0.013597336,x
45,pi+,2.7325,0.1350909090909091,0.367375,0.37725,-0.013677482,0.013945429,x
46,pi+,2.7325,0.1372929292929293,0.367375,0.37725,-0.013574562,0.014311663,x
47,pi+,2.7325,0.1394949494949495,0.367375,0.37725,-0.013464411,0.014696404,x
48,pi+,2.7325,0.1416969696969697,0.367375,0.37725,-0.013351835,0.01510023,x
49,pi+,2.7325,0.1438989898989899,0.367375,0.37725,-0.013236483,0.015513586,x
50,pi+,2.7325,0.1461010101010101,0.367375,0.37725,-0.013116881,0.015936285,x
51,pi+,2.7325,0.1483030303030303,0.367375,0.37725,-0.013000895,0.016368592,x
52,pi+,2.7325,0.1505050505050505,0.367375,0.37725,-0.01289015,0.016801262,x
53,pi+,2.7325,0.1527070707070707,0.367375,0.37725,-0.01278916,0.01722646,x
54,pi+,2.7325,0.1549090909090909,0.367375,0.37725,-0.012689683,0.017643636,x
55,pi+,2.7325,0.1571111111111111,0.367375,0.37725,-0.0126004275,0.018037511,x
56,pi+,2.7325,0.1593131313131313,0.367375,0.37725,-0.0125430655,0.018373549,x
57,pi+,2.7325,0.1615151515151515,0.367375,0.37725,-0.012674976,0.018503087,x
58,pi+,2.7325,0.1637171717171717,0.367375,0.37725,-0.012886458,0.018642519,x
59,pi+,2.7325,0.1659191919191919,0.367375,0.37725,-0.0131019205,0.018853344,x
60,pi+,2.7325,0.1681212121212121,0.367375,0.37725,-0.013319127,0.019133726,x
61,pi+,2.7325,0.1703232323232323,0.367375,0.37725,-0.013533406,0.019472234,x
62,pi+,2.7325,0.1725252525252525,0.367375,0.37725,-0.013741051,0.019865539,x
63,pi+,2.7325,0.1747272727272727,0.367375,0.37725,-0.013941385,0.02030965,x
64,pi+,2.7325,0.1769292929292929,0.367375,0.37725,-0.014129417,0.020796984,x
65,pi+,2.7325,0.1791313131313131,0.367375,0.37725,-0.01430612,0.02133078,x
66,pi+,2.7325,0.1813333333333333,0.367375,0.37725,-0.0144712245,0.021900933,x
67,pi+,2.7325,0.1835353535353535,0.367375,0.37725,-0.01462637,0.022502102,x
68,pi+,2.7325,0.1857373737373737,0.367375,0.37725,-0.014772795,0.023135021,x
69,pi+,2.7325,0.1879393939393939,0.367375,0.37725,-0.01490975,0.023792798,x
