,parameter,value,error,chi2,N_data
0,m1,35.04882739363866,16.633004018343073,216.29859195262853,462
1,Nu,3.8634107624053295,1.8230845451940894,216.29859195262853,462
2,alphau,2.3892693591680088,0.18369763472507103,216.29859195262853,462
3,betau,12.674361513226078,1.4575402893868004,216.29859195262853,462
4,Nubar,-0.24585708188316588,0.09508068275286341,216.29859195262853,462
5,Nd,-9.100930503133904,4.264343308765906,216.29859195262853,462
6,alphad,1.2951913387432978,0.26251421944320347,216.29859195262853,462
7,betad,3.598314746327376,1.2611263647428896,216.29859195262853,462
8,Ndbar,0.5295760125173478,0.7394719406789106,216.29859195262853,462
9,Ns,22.21704940718835,7.355748632213137,216.29859195262853,462
10,alphas,1.3140291221470364,0.27497867904295137,216.29859195262853,462
11,betas,5.0683466523888505,2.539271487094268,216.29859195262853,462
12,Nsbar,0.1765302931887504,1.6577945032835222,216.29859195262853,462
