,parameter,value,error,chi2,N_data
0,m1,5.246631660682145,0.7631491062591789,698.3139019289308,357
1,Nu,0.5579417228154446,0.07803666438864196,698.3139019289308,357
2,alphau,2.778133056385139,0.12719393665669104,698.3139019289308,357
3,betau,16.205403629443467,0.7513785991090929,698.3139019289308,357
4,Nubar,-0.08173087828434523,0.019055283617619604,698.3139019289308,357
5,Nd,-0.9023631786733449,0.16509546482994736,698.3139019289308,357
6,alphad,1.4472323478797366,0.45548856435431206,698.3139019289308,357
7,betad,6.977474386520241,3.855894402759245,698.3139019289308,357
8,Ndbar,0.0018146631044369949,0.1330678282645612,698.3139019289308,357
9,Ns,10.522157186265934,0.887371560245477,698.3139019289308,357
10,alphas,0.8998266530997466,0.06693354734621947,698.3139019289308,357
11,betas,0.4351066747539847,0.09465637315365714,698.3139019289308,357
12,Nsbar,0.19629522293439366,0.3256889468204533,698.3139019289308,357
