,hadron,Q2,x,y,z,phT,Siv,tot_err,1D_dependence
0,pi+,2.423,0.086,0.592,0.234,0.346,0.007265078048140506,0.006046487,z
1,pi+,2.428,0.094,0.551,0.303,0.377,0.01706465133852864,0.007715569,z
2,pi+,2.425,0.097,0.528,0.373,0.403,0.02760865698141755,0.009689685,z
3,pi+,2.418,0.099,0.514,0.447,0.429,0.03857117375483196,0.011715375,z
4,pi+,2.411,0.1,0.504,0.523,0.453,0.04927187216376995,0.0146,z
5,pi+,2.4,0.101,0.494,0.593,0.465,0.04867033011064942,0.01707425,z
6,pi+,2.385,0.103,0.478,0.663,0.465,0.025534573534667076,0.01968248,z
7,pi+,1.281,0.036,0.707,0.336,0.489,0.022811346125297175,0.008856636,x
8,pi+,1.631,0.056,0.569,0.356,0.409,0.03402048100430427,0.007300685,x
9,pi+,2.017,0.076,0.513,0.367,0.372,0.042960196661359716,0.008160882,x
10,pi+,2.467,0.098,0.484,0.376,0.356,0.05116151042241732,0.007738863,x
11,pi+,3.203,0.133,0.464,0.379,0.344,0.0567124740530949,0.008044874,x
12,pi+,4.321,0.186,0.449,0.379,0.339,0.05880838968052036,0.010720075,x
13,pi+,6.179,0.275,0.434,0.375,0.344,0.05861442224248657,0.015024314,x
14,pi+,2.533,0.109,0.46,0.341,0.11,0.012660644691519795,0.008761849,phT
15,pi+,2.53,0.106,0.49,0.35,0.211,0.023967827117283253,0.007783315,phT
16,pi+,2.486,0.1,0.519,0.355,0.29,0.03113381656274135,0.007333485,phT
17,pi+,2.415,0.093,0.549,0.355,0.37,0.03633684821637548,0.007495332,phT
18,pi+,2.342,0.086,0.58,0.36,0.488,0.04350633268077824,0.007516648,phT
19,pi+,2.303,0.08,0.616,0.388,0.669,0.056292682669234664,0.012140016,phT
20,pi+,2.262,0.073,0.658,0.453,0.954,0.07613793509716138,0.020529978,phT
21,pi0,2.361,0.072,0.671,0.236,0.39,0.0027023585376292664,0.02556345,z
22,pi0,2.414,0.081,0.623,0.304,0.42,0.010439890311837587,0.019649936,z
23,pi0,2.447,0.087,0.587,0.374,0.446,0.020125440543344794,0.019405412,z
24,pi0,2.486,0.093,0.558,0.448,0.464,0.028926012167330383,0.019577794,z
25,pi0,2.531,0.098,0.531,0.523,0.472,0.03837616887020858,0.023482973,z
26,pi0,2.552,0.102,0.511,0.593,0.488,0.038611081327227875,0.026705243,z
27,pi0,2.583,0.106,0.495,0.663,0.495,0.019233207148534614,0.0314,z
28,pi0,1.293,0.035,0.717,0.351,0.54,0.014673131481089442,0.037302145,x
29,pi0,1.712,0.055,0.599,0.386,0.451,0.021741747024911186,0.030805844,x
30,pi0,2.184,0.076,0.557,0.406,0.416,0.027196749451586004,0.029516944,x
31,pi0,2.705,0.098,0.531,0.414,0.392,0.03141780982519537,0.023913594,x
32,pi0,3.549,0.133,0.514,0.421,0.372,0.03374347647113907,0.020248457,x
33,pi0,4.716,0.185,0.491,0.428,0.364,0.03581429951754648,0.028715327,x
34,pi0,6.631,0.273,0.47,0.432,0.378,0.03694794510413075,0.049445323,x
35,pi0,2.731,0.111,0.475,0.391,0.113,0.009768200658378686,0.031852943,phT
36,pi0,2.649,0.103,0.517,0.384,0.212,0.016682967158496088,0.031795912,phT
37,pi0,2.553,0.095,0.553,0.381,0.29,0.020338955274101605,0.030509834,phT
38,pi0,2.456,0.087,0.587,0.381,0.369,0.022488441893020322,0.029224989,phT
39,pi0,2.367,0.08,0.623,0.382,0.49,0.025775003653512304,0.022333159,phT
40,pi0,2.28,0.073,0.655,0.404,0.673,0.030346597784975556,0.02268149,phT
41,pi0,2.263,0.07,0.677,0.463,0.959,0.03920143166711477,0.027060118,phT
42,pi-,2.373,0.084,0.596,0.233,0.352,-0.002765479832754961,0.006441273,z
43,pi-,2.356,0.091,0.553,0.303,0.385,-3.58199172888966e-05,0.00820061,z
44,pi-,2.338,0.094,0.53,0.373,0.411,0.0035454078376461994,0.010555094,z
45,pi-,2.332,0.096,0.515,0.447,0.43,0.007133966922956556,0.012798828,z
46,pi-,2.315,0.097,0.504,0.523,0.444,0.011556545078803292,0.016268989,z
47,pi-,2.263,0.096,0.494,0.593,0.447,0.011444431867953998,0.019246298,z
48,pi-,2.247,0.098,0.475,0.663,0.435,8.383795230441152e-05,0.02251444,z
49,pi-,1.278,0.035,0.708,0.33,0.484,0.011477106895586136,0.01034698,x
50,pi-,1.629,0.055,0.57,0.35,0.403,0.011940274223197581,0.008856636,x
51,pi-,2.011,0.076,0.512,0.36,0.367,0.00667243041255933,0.009527329,x
52,pi-,2.451,0.098,0.481,0.367,0.352,-0.005791457210130977,0.008766413,x
53,pi-,3.192,0.133,0.462,0.369,0.344,-0.01983676305402996,0.008286133,x
54,pi-,4.291,0.186,0.447,0.367,0.34,-0.028514759539366028,0.010917875,x
55,pi-,6.125,0.275,0.43,0.363,0.354,-0.03134379919952963,0.015411684,x
56,pi-,2.454,0.106,0.462,0.337,0.11,0.0036566839619317183,0.009709789,phT
57,pi-,2.445,0.102,0.493,0.346,0.211,0.006039063565228169,0.009708244,phT
58,pi-,2.393,0.096,0.525,0.35,0.29,0.006989064206735748,0.009176056,phT
59,pi-,2.314,0.089,0.556,0.348,0.369,0.007522814109724505,0.008998889,phT
60,pi-,2.269,0.083,0.586,0.349,0.488,0.008028807888987856,0.006760178,phT
61,pi-,2.265,0.079,0.619,0.371,0.67,0.0058348811301135,0.008683317,phT
62,pi-,2.224,0.072,0.658,0.433,0.951,-0.012396354350461406,0.014616429,phT
63,k+,2.429,0.083,0.606,0.236,0.354,0.017181082072140814,0.017661823,z
64,k+,2.474,0.092,0.568,0.305,0.385,0.02953992600778931,0.017803651,z
65,k+,2.528,0.097,0.545,0.374,0.415,0.041957223509715834,0.018788294,z
66,k+,2.521,0.099,0.531,0.448,0.443,0.0536561931812176,0.020465825,z
67,k+,2.511,0.102,0.515,0.524,0.47,0.06394801224893595,0.024382371,z
68,k+,2.552,0.103,0.515,0.593,0.497,0.059985770430120385,0.028487541,z
69,k+,2.562,0.106,0.495,0.663,0.512,0.031217806742012095,0.032743854,z
70,k+,1.285,0.036,0.709,0.364,0.53,0.03857969190728623,0.028715501,x
71,k+,1.646,0.056,0.574,0.386,0.439,0.05100647403947715,0.024443609,x
72,k+,2.061,0.076,0.524,0.398,0.399,0.05909099639750767,0.025741018,x
73,k+,2.523,0.099,0.495,0.406,0.375,0.06110516835151267,0.023620542,x
74,k+,3.3,0.134,0.477,0.412,0.363,0.059197963677867865,0.022129844,x
75,k+,4.461,0.186,0.464,0.413,0.355,0.05250852041374528,0.025210315,x
76,k+,6.374,0.274,0.45,0.416,0.355,0.04241226368834837,0.029977492,x
77,k+,2.655,0.111,0.47,0.367,0.111,0.017835057234565414,0.037161808,phT
78,k+,2.619,0.107,0.496,0.376,0.211,0.03285574404478083,0.033420054,phT
79,k+,2.597,0.103,0.525,0.38,0.29,0.04361079068650306,0.030143988,phT
80,k+,2.52,0.096,0.55,0.387,0.369,0.05165679664457532,0.027170756,phT
81,k+,2.44,0.089,0.576,0.393,0.489,0.06287928810232295,0.018999474,phT
82,k+,2.339,0.081,0.611,0.418,0.673,0.07594295403920025,0.018133395,phT
83,k+,2.253,0.072,0.661,0.471,0.972,0.08789538185111163,0.030081556,phT
84,k-,2.393,0.081,0.617,0.234,0.366,0.016809980608184297,0.022734335,z
85,k-,2.38,0.086,0.58,0.303,0.401,0.02299961293030045,0.024957764,z
86,k-,2.385,0.091,0.553,0.373,0.429,0.022198551729700672,0.02862953,z
87,k-,2.32,0.091,0.536,0.448,0.45,0.0235433192869291,0.032163644,z
88,k-,2.294,0.091,0.534,0.523,0.463,-0.006847361115289515,0.041671093,z
89,k-,2.325,0.092,0.53,0.591,0.479,-0.014590918272716736,0.050789369,z
90,k-,2.329,0.094,0.513,0.662,0.493,-0.047408241306290365,0.068919228,z
91,k-,1.289,0.035,0.715,0.339,0.507,0.01772701026703844,0.0352881,x
92,k-,1.666,0.055,0.582,0.358,0.421,0.025700271213947242,0.029841247,x
93,k-,2.088,0.076,0.532,0.363,0.381,0.02608986416402952,0.032048869,x
94,k-,2.585,0.098,0.508,0.37,0.366,0.03237034689662116,0.029274562,x
