,hadron,Q2,x,y,z,phT,Siv,tot_err,1D_dependence
0,pi+,3.43,0.037,0.36,0.2237,0.43,-0.004561115680644786,0.0068,z
1,pi+,3.37,0.039,0.34,0.2737,0.45,-0.003969150331901518,0.008,z
2,pi+,3.33,0.041,0.32,0.3237,0.48,-0.002329500782008814,0.0094,z
3,pi+,3.28,0.042,0.3,0.3737,0.49,0.001448248107609724,0.011,z
4,pi+,3.19,0.044,0.28,0.4448,0.52,0.010089155405882996,0.01,z
5,pi+,3.03,0.046,0.25,0.5646,0.54,0.027749285702487723,0.0117,z
6,pi+,2.74,0.046,0.22,0.7164,0.54,0.05311282727488783,0.0171,z
7,pi+,2.4,0.045,0.19,0.8787,0.47,0.0656757453806264,0.0234,z
8,pi+,1.24,0.006469,0.65,0.29,0.53,0.030050001698476794,0.0156,x
9,pi+,1.45,0.01059,0.46,0.33,0.52,0.004299161250824585,0.0101,x
10,pi+,1.67,0.01643,0.34,0.35,0.49,0.00676919214649094,0.0084,x
11,pi+,1.99,0.02556,0.26,0.37,0.46,0.009892458895901568,0.0074,x
12,pi+,2.79,0.03967,0.23,0.39,0.45,0.01230981189276316,0.0083,x
13,pi+,4.54,0.06255,0.24,0.38,0.46,0.016878804558238553,0.0104,x
14,pi+,7.4,0.1005,0.25,0.37,0.46,0.02108609770399288,0.0137,x
15,pi+,11.8,0.1609,0.24,0.37,0.47,0.0201197350891699,0.0203,x
16,pi+,23.8,0.2781,0.28,0.36,0.51,0.014085108300103894,0.0343,x
17,pi+,3.18,0.043,0.29,0.35,0.1547,0.0038908789205477695,0.0104,phT
18,pi+,3.14,0.042,0.29,0.35,0.2519,0.005954998926538011,0.0087,phT
19,pi+,3.14,0.041,0.3,0.35,0.3496,0.007745702682569149,0.0084,phT
20,pi+,3.23,0.041,0.31,0.35,0.4482,0.009937587977293173,0.0089,phT
21,pi+,3.29,0.041,0.32,0.36,0.5475,0.012468038210764237,0.0102,phT
22,pi+,3.36,0.04,0.33,0.37,0.6681,0.014610548571756176,0.0102,phT
23,pi+,3.46,0.04,0.34,0.39,0.817,0.018824205751280413,0.0138,phT
24,pi+,3.61,0.039,0.36,0.41,1.042,0.023548417243998993,0.0151,phT
25,pi+,4.08,0.038,0.43,0.43,1.549,0.034185614904380324,0.0327,phT
26,pi-,3.31,0.036,0.37,0.2236,0.44,-0.005144098678255525,0.0071,z
27,pi-,3.25,0.038,0.35,0.2736,0.46,-0.005392282043601044,0.0084,z
28,pi-,3.19,0.039,0.33,0.3236,0.48,-0.005576025068990103,0.01,z
29,pi-,3.13,0.04,0.31,0.3736,0.5,-0.005462168241119815,0.0118,z
30,pi-,3.02,0.041,0.28,0.4446,0.52,-0.0043597444227063435,0.0109,z
31,pi-,2.81,0.042,0.25,0.5643,0.54,0.0001240509939006685,0.013,z
32,pi-,2.51,0.042,0.22,0.7171,0.52,0.011839521401948914,0.019,z
