,hadron,1D_dependence,z,QQ,sbar,ubar,dbar,d,u,s
26,pi-,z,0.2236,3.31,0.40792028287780385,0.4983789329465285,0.33294438008456784,0.5005077857827858,0.33292494573059755,0.40792028287780385
27,pi-,z,0.2736,3.25,0.3173760490326392,0.426416133503576,0.26527710544457156,0.42826993736690927,0.26527864375630833,0.3173760490326392
28,pi-,z,0.3236,3.19,0.23745519856465835,0.36508862500558015,0.20279488046014457,0.3666479874236576,0.2027963580082832,0.23745519856465835
29,pi-,z,0.3736,3.13,0.17706243579385583,0.3095730673635053,0.15391261776907836,0.31088789343356116,0.15391442543749348,0.17706243579385583
30,pi-,z,0.4446,3.02,0.12016377981908433,0.23940775612196277,0.10659929936436804,0.2404407768322102,0.10660210822295758,0.12016377981908433
31,pi-,z,0.5643,2.81,0.06726351869478565,0.159727941478425,0.06151378586890112,0.16042220024272894,0.06150825742281013,0.06726351869478565
32,pi-,z,0.7171,2.51,0.024269105817214663,0.11051918216961135,0.02309854208398795,0.11095482242687243,0.02310003998569637,0.024269105817214663
33,pi-,z,0.8794,2.21,0.002097335334519644,0.05842004564616996,0.002074140672788323,0.0586217893888164,0.0020742096968712005,0.002097335334519644
34,pi-,x,0.29,1.24,0.2954554653400364,0.4098023743012573,0.2382924634307805,0.41185096625308704,0.23829216702094075,0.2954554653400364
35,pi-,x,0.32,1.46,0.25175010928390273,0.3819155544885081,0.20870613917349215,0.3836611513916477,0.20870604575552887,0.25175010928390273
36,pi-,x,0.35,1.68,0.2117255503380837,0.3501403272610833,0.17918524344217107,0.35171154589279635,0.17918431379207186,0.2117255503380837
37,pi-,x,0.37,2.02,0.187387854660575,0.3256461703310661,0.16089450147324724,0.32706839535264903,0.16089657772910895,0.187387854660575
38,pi-,x,0.38,2.82,0.17241266438680858,0.30581597559767554,0.14991278018202925,0.30714602215065684,0.1499113843607177,0.17241266438680858
39,pi-,x,0.38,4.59,0.16411255849553588,0.29145942051008317,0.14385338766225816,0.29264907034921345,0.14385089823333488,0.16411255849553588
40,pi-,x,0.36,7.42,0.17615918624842847,0.3000032670433344,0.1544823649721359,0.3012663214269723,0.15446582283397614,0.17615918624842847
41,pi-,x,0.36,11.9,0.1678953485232543,0.2875128117537056,0.1478925651366104,0.2887022874752304,0.14789640482121597,0.1678953485232543
42,pi-,x,0.35,23.9,0.16709267190478946,0.28194961658292944,0.1475767793715841,0.28310232577123257,0.14753933268830832,0.16709267190478946
43,pi-,phT,0.35,3.05,0.20342683079659035,0.33575594544428417,0.17529381699281107,0.3372103854306156,0.17529427713188778,0.20342683079659035
44,pi-,phT,0.35,3.0,0.20370620126045594,0.33619732964309135,0.17547156280378615,0.337655657086388,0.1754720519830594,0.20370620126045594
45,pi-,phT,0.35,3.01,0.20364991156931955,0.3361084282300954,0.17543571424553037,0.33756597249832987,0.1754361975646839,0.20364991156931955
46,pi-,phT,0.35,3.08,0.20326143186829326,0.3354946039658053,0.1751886100791117,0.3369467421635563,0.1751890529493565,0.20326143186829326
47,pi-,phT,0.35,3.15,0.20288168282195795,0.3348945749856522,0.1749470595581913,0.33634142795886424,0.17494746256216964,0.20288168282195795
48,pi-,phT,0.36,3.23,0.19092361301555988,0.323210576538535,0.16529715828387884,0.32459293676662254,0.16529718183244485,0.19092361301555988
49,pi-,phT,0.38,3.29,0.16980959894505337,0.30124282371824695,0.14805022665092174,0.30251158985454996,0.14804784176214236,0.16980959894505337
50,pi-,phT,0.4,3.42,0.15039098407859144,0.2783011360428826,0.13202556384951747,0.2795179333557754,0.1320089160281341,0.15039098407859144
51,pi-,phT,0.42,3.83,0.1328237822435299,0.25489113050975654,0.117497710780585,0.2560198656659812,0.11749648394857701,0.1328237822435299
