,parameter,value,error,chi2,N_data
0,m1,24.867449957777705,15.879944984510905,823.535900961654,462
1,Nu,2.8088389191620013,1.7821682414775177,823.535900961654,462
2,alphau,2.395639958799982,0.23624573332877033,823.535900961654,462
3,betau,14.223335558672659,2.006755899404645,823.535900961654,462
4,Nubar,-0.15073180353429247,0.08414886369234977,823.535900961654,462
5,Nd,-4.742975973789719,3.2370513770934077,823.535900961654,462
6,alphad,1.2625152185621866,0.43733732126116664,823.535900961654,462
7,betad,4.951349656595098,3.3388537877944935,823.535900961654,462
8,Ndbar,-0.905898052313621,0.8478411417659375,823.535900961654,462
9,Ns,14.552243541938017,8.905533486866991,823.535900961654,462
10,alphas,3.1605172439583327,0.5791731166281835,823.535900961654,462
11,betas,21.33574255622997,4.991373913907396,823.535900961654,462
12,Nsbar,-1.8245764327832814,2.155910812704828,823.535900961654,462
