,Dependence,x1,x2,xF,QT,QM,Siv,tot_err
0,x1,0.1,0.61,0.5,1.22,4.8,0.020505675172428402,0.126
1,x1,0.16,0.47,0.31,1.25,5.26,0.04879126335146779,0.12
2,x1,0.25,0.4,0.15,1.23,5.98,0.10659879798011512,0.117
3,x2,0.21,0.31,0.1,1.36,4.99,0.08634100724887625,0.118
4,x2,0.16,0.48,0.31,1.23,5.35,0.048010603137844325,0.12
5,x2,0.13,0.69,0.56,1.12,5.68,0.030136591881104922,0.124
6,xF,0.23,0.32,0.09,1.33,5.26,0.09933182149367828,0.12
7,xF,0.16,0.47,0.31,1.26,5.33,0.049181593458279535,0.12
8,xF,0.12,0.68,0.56,1.13,5.43,0.02634091987765648,0.123
9,QT,0.17,0.52,0.35,0.66,5.32,0.028714946799006387,0.12
10,QT,0.17,0.5,0.33,1.13,5.33,0.04916346951951092,0.124
11,QT,0.17,0.46,0.29,1.97,5.37,0.08570976544551905,0.118
12,QM,0.13,0.44,0.31,1.23,4.51,0.03309643572657059,0.122
13,QM,0.16,0.48,0.32,1.23,5.08,0.04801060313784432,0.125
14,QM,0.22,0.56,0.34,1.25,6.43,0.08623383211097489,0.116
