,hadron,1D_dependence,z,QQ,sbar,ubar,dbar,d,u,s
54,pi-,x,0.33,1.29,0.3502276024481283,0.8041270541915264,0.35022744449591026,0.8041270541915264,0.35022744449591026,0.3502276024481283
55,pi-,x,0.35,1.64,0.2876187211349661,0.7283276929390117,0.28761852969569424,0.7283276929390117,0.28761852969569424,0.2876187211349661
56,pi-,x,0.359,1.98,0.2578355014456547,0.6877280232243472,0.2578353063029039,0.6877280232243472,0.2578353063029039,0.2578355014456547
57,pi-,x,0.366,2.33,0.23520267785786983,0.655596937313551,0.23520247781978595,0.655596937313551,0.23520247781978595,0.23520267785786983
58,pi-,x,0.366,2.33,0.23520267785786983,0.655596937313551,0.23520247781978595,0.655596937313551,0.23520247781978595,0.23520267785786983
59,pi-,x,0.369,2.86,0.22019506285572088,0.6306841585971977,0.22019486138991445,0.6306841585971977,0.22019486138991445,0.22019506285572088
60,pi-,x,0.369,3.66,0.21035365390656616,0.6107562219521273,0.21035343808420756,0.6107562219521273,0.21035343808420756,0.21035365390656616
61,pi-,x,0.364,5.66,0.20423537356242227,0.5905454260024764,0.20423511932150648,0.5905454260024764,0.20423511932150648,0.20423537356242227
62,pi-,z,0.229,2.39,0.6213827400736945,1.0324226412348658,0.6213807521972746,1.0324226412348658,0.6213807521972746,0.6213827400736945
63,pi-,z,0.289,2.38,0.42336739301426246,0.8525308897854472,0.4233666640221238,0.8525308897854472,0.4233666640221238,0.42336739301426246
64,pi-,z,0.348,2.36,0.2730304796701872,0.6985279135750393,0.2730302154955248,0.6985279135750393,0.2730302154955248,0.2730304796701872
65,pi-,z,0.413,2.37,0.14913084081511088,0.5503706172425169,0.14913075632662467,0.5503706172425169,0.14913075632662467,0.14913084081511088
66,pi-,z,0.483,2.35,0.06869719749646312,0.42323581598032384,0.06869717392213037,0.42323581598032384,0.06869717392213037,0.06869719749646312
67,pi-,z,0.483,2.35,0.06869719749646312,0.42323581598032384,0.06869717392213037,0.42323581598032384,0.06869717392213037,0.06869719749646312
68,pi-,z,0.558,2.31,0.031626712649644576,0.31125242131314923,0.031626706746900664,0.31125242131314923,0.031626706746900664,0.031626712649644576
69,pi-,z,0.646,2.27,0.013834123702781188,0.2018524888764427,0.01383412357363473,0.2018524888764427,0.01383412357363473,0.013834123702781188
70,pi-,z,0.729,2.19,0.008528711679652926,0.12820130249389153,0.008528711580811055,0.12820130249389153,0.008528711580811055,0.008528711679652926
71,pi-,z,0.798,2.15,0.008656842089907779,0.0817061323617695,0.008656842089907779,0.0817061323617695,0.008656842089907779,0.008656842089907779
72,pi-,z,0.906,2.08,0.005169806118462917,0.0284171732078619,0.005169806118462917,0.0284171732078619,0.005169806118462917,0.005169806118462917
73,pi-,phT,0.337,2.48,0.29564211035647225,0.7220662619211123,0.2956417836176752,0.7220662619211123,0.2956417836176752,0.29564211035647225
74,pi-,phT,0.345,2.47,0.2774926116469827,0.7020122736415673,0.27749232721303263,0.7020122736415673,0.27749232721303263,0.2774926116469827
75,pi-,phT,0.35,2.43,0.26726032890183454,0.6910044749042189,0.26726006847886014,0.6910044749042189,0.26726006847886014,0.26726032890183454
76,pi-,phT,0.349,2.36,0.27083394003418343,0.6960480597210525,0.2708336795894295,0.6960480597210525,0.2708336795894295,0.27083394003418343
77,pi-,phT,0.349,2.36,0.27083394003418343,0.6960480597210525,0.2708336795894295,0.6960480597210525,0.2708336795894295,0.27083394003418343
78,pi-,phT,0.347,2.3,0.27647264084698264,0.7032736273112489,0.27647237682774484,0.7032736273112489,0.27647237682774484,0.27647264084698264
79,pi-,phT,0.359,2.28,0.2508907624517268,0.6745154231812531,0.250890539038797,0.6745154231812531,0.250890539038797,0.2508907624517268
80,pi-,phT,0.409,2.26,0.1568307942117251,0.5623957855100274,0.15683070447349517,0.5623957855100274,0.15683070447349517,0.1568307942117251
