,hadron,1D_dependence,z,QQ,sbar,ubar,dbar,d,u,s
26,pi-,x,0.285,1.24,0.303091222394008,0.41436070675521663,0.2436765114279933,0.41642885271638247,0.24367641866139192,0.303091222394008
27,pi-,x,0.32,1.48,0.251689504783119,0.3818129716023132,0.20880348294839482,0.3835523858898762,0.20880340797045993,0.251689504783119
28,pi-,x,0.344,1.73,0.21861447903581957,0.3555448976915494,0.1846927204818191,0.35714311702546075,0.18469249526409015,0.21861447903581957
29,pi-,x,0.358,2.05,0.2000171722706197,0.3373578765197908,0.17098923404632968,0.3388523791831014,0.17098926690947605,0.2000171722706197
30,pi-,x,0.365,2.72,0.18839232063434216,0.32270475532169574,0.16284655268818168,0.3241202902390736,0.16284768957743084,0.18839232063434216
31,pi-,x,0.359,4.22,0.1874690833048637,0.3168608299872402,0.16311731042991257,0.3181792845770152,0.16311445686355205,0.1874690833048637
32,pi-,x,0.353,6.66,0.18595683510811856,0.3109753780773768,0.16258143721708143,0.3122955065822256,0.1625478426373054,0.18595683510811856
33,pi-,x,0.349,10.54,0.1822873339792267,0.3035007685665076,0.15992689149402564,0.30474643810421165,0.1599623482935512,0.1822873339792267
34,pi-,x,0.345,20.85,0.17509526501655823,0.29126469062426485,0.154303591286455,0.29246102337856367,0.15427106123820034,0.17509526501655823
35,pi-,z,0.223,3.61,0.4090675227472579,0.49989968494227754,0.3348964560284967,0.5020204012951868,0.33488629541510967,0.4090675227472579
36,pi-,z,0.273,3.58,0.3172063331054093,0.42617705559133673,0.2658620026406889,0.42801092386934736,0.2658636232181529,0.3172063331054093
37,pi-,z,0.323,3.52,0.23665935135728114,0.3635536507609954,0.2025546482957996,0.36509477826104264,0.20255715607830171,0.23665935135728114
38,pi-,z,0.373,3.45,0.1760362063783122,0.3073819718813088,0.15327197680505858,0.30865757436155206,0.15327341694760324,0.1760362063783122
39,pi-,z,0.444,3.34,0.11891446133279983,0.23684823593301754,0.10562215265550036,0.2378637374704149,0.10560714049314437,0.11891446133279983
40,pi-,z,0.564,3.11,0.06588800478488029,0.1572812517180497,0.06028865601611969,0.15796820262516337,0.06028301341327261,0.06588800478488029
41,pi-,z,0.716,2.77,0.0236453924478689,0.10822422110215665,0.022508151267210934,0.10865255770467475,0.02250720011590718,0.0236453924478689
42,pi-,z,0.879,2.43,0.001988259058043835,0.05589702222917041,0.0019663368012724394,0.05609021086682443,0.0019662790178199482,0.001988259058043835
43,pi-,phT,0.346,3.38,0.20656870405540664,0.3375565863505471,0.17815112675423064,0.33900904246279223,0.1781515010104405,0.20656870405540664
44,pi-,phT,0.344,3.32,0.20938114286857007,0.34033561270353274,0.1803728694019588,0.3418014458204744,0.1803732561579741,0.20938114286857007
45,pi-,phT,0.342,3.29,0.21210383097630772,0.34292103689386894,0.18254598657592624,0.34439709280914216,0.18254625582578754,0.21210383097630772
46,pi-,phT,0.34,3.36,0.21436945764819346,0.3447690030231624,0.18444718051121425,0.34624812489258383,0.1844472141293747,0.21436945764819346
47,pi-,phT,0.342,3.46,0.21125400302337397,0.3416301433685712,0.18202394293334398,0.3430956930948378,0.18202411105581282,0.21125400302337397
48,pi-,phT,0.351,3.53,0.19976581678596414,0.330726888548515,0.17275382128383795,0.3321404955133034,0.1727541215734229,0.19976581678596414
49,pi-,phT,0.366,3.65,0.18235753549783612,0.3132693904581858,0.1586001391424407,0.3145671085358237,0.15860114531658567,0.18235753549783612
50,pi-,phT,0.386,3.83,0.16144251920279495,0.29019511414027566,0.1414168463389204,0.29140642439910913,0.14140660539811287,0.16144251920279495
51,pi-,phT,0.4,4.34,0.14642985433617228,0.27110669647041197,0.12901324043296764,0.27229009511504604,0.12901408695163916,0.14642985433617228
