,hadron,1D_dependence,z,QQ,sbar,ubar,dbar,d,u,s
0,pi+,x,0.285,1.24,0.303091222394008,0.24367641866139192,0.41642885271638247,0.2436765114279933,0.41436070675521663,0.303091222394008
1,pi+,x,0.321,1.47,0.2503624437813593,0.20773685474308073,0.38268515181421203,0.20773688848774788,0.3809477048390397,0.2503624437813593
2,pi+,x,0.347,1.72,0.2150043474016895,0.18185547724722798,0.35418832412950885,0.18185586238035076,0.3526040697438835,0.2150043474016895
3,pi+,x,0.363,2.05,0.1945263485341287,0.16663367668644324,0.33373780197914954,0.1666332545162879,0.3322715583812324,0.1945263485341287
4,pi+,x,0.37,2.71,0.18319749311785202,0.1586342472780079,0.3189559787271203,0.1586316267675818,0.3175597628030981,0.18319749311785202
5,pi+,x,0.367,4.22,0.1787984147269117,0.15595595600737336,0.309300405414564,0.1559568626482724,0.30804715480162076,0.1787984147269117
6,pi+,x,0.365,6.68,0.1726530849247273,0.15143974569346288,0.29845617263661856,0.15145901848126428,0.2972025743201651,0.1726530849247273
7,pi+,x,0.362,10.54,0.16782426986874482,0.1477684408384578,0.28952520659626974,0.14777041117283665,0.2883290510390686,0.16782426986874482
8,pi+,x,0.361,21.02,0.1574214391439469,0.13925168478847014,0.27336512631562837,0.13926960065004723,0.27225829356139775,0.1574214391439469
9,pi+,z,0.223,3.75,0.4091446870000045,0.3354524616653617,0.502265404292254,0.335458224535474,0.5001495791086487,0.4091446870000045
10,pi+,z,0.274,3.75,0.31486417457675264,0.2644177249529394,0.4261939655505809,0.2644147175872158,0.4243764723882132,0.31486417457675264
11,pi+,z,0.324,3.72,0.2343781946549133,0.20096532798265113,0.36271328236910494,0.20096272731654963,0.3611895304536478,0.2343781946549133
12,pi+,z,0.374,3.68,0.17394110342720023,0.15169185894823592,0.3056636177241795,0.15169091316575362,0.3044246745493923,0.17394110342720023
13,pi+,z,0.445,3.58,0.11714720679361319,0.10415394636434751,0.23475193407419392,0.10418213302274429,0.23375634885349025,0.11714720679361319
14,pi+,z,0.565,3.4,0.06421286794352922,0.05879719599187659,0.15508796160152058,0.058805465335268065,0.15440695704411705,0.06421286794352922
15,pi+,z,0.716,3.1,0.022763678363117008,0.021674396913110103,0.10591901141126478,0.02167794624854446,0.10550006138294069,0.022763678363117008
16,pi+,z,0.878,2.71,0.0019116185482185811,0.0018898622677862604,0.05377260517007404,0.0018904981468386844,0.05358757269353733,0.0019116185482185811
17,pi+,phT,0.346,3.57,0.20564972932486975,0.17758269192558385,0.3375686993584994,0.1775821639618364,0.336128299997086,0.20564972932486975
18,pi+,phT,0.344,3.52,0.2083955566780529,0.1797647194286079,0.3402752473882289,0.17976435729011866,0.33882179141472446,0.2083955566780529
19,pi+,phT,0.344,3.48,0.20858694001292605,0.17988152690616466,0.3405726389718927,0.17988122274728674,0.33911670644283193,0.20858694001292605
20,pi+,phT,0.344,3.55,0.2082540300570511,0.17967902656148102,0.34005480861879983,0.17967858993230096,0.33860322101398677,0.2082540300570511
21,pi+,phT,0.35,3.62,0.2005394072584316,0.17346657147802313,0.3325992587219681,0.17346595027193934,0.3311858043854136,0.2005394072584316
22,pi+,phT,0.363,3.71,0.1853005926669559,0.16106096343306103,0.31737419192523864,0.16106029698037624,0.31605908259511045,0.1853005926669559
23,pi+,phT,0.382,3.84,0.16526112067006796,0.1445885067063171,0.2956826746535776,0.14459427659725047,0.294476570953901,0.16526112067006796
24,pi+,phT,0.404,4.06,0.14423611449614596,0.1271325268371404,0.27015054619848067,0.12712967412061807,0.2689653202873145,0.14423611449614596
25,pi+,phT,0.415,4.77,0.13305981922335278,0.11781707730939105,0.2545823008971518,0.11781510261625251,0.25347724454145815,0.13305981922335278
