,hadron,Q2,x,y,z,phT,Siv,tot_err,1D_dependence
0,pi+,3.43,0.037,0.36,0.2237,0.43,-0.00450561159924138,0.0068,z
1,pi+,3.37,0.039,0.34,0.2737,0.45,-0.003981275797768601,0.008,z
2,pi+,3.33,0.041,0.32,0.3237,0.48,-0.0025381798282684714,0.0094,z
3,pi+,3.28,0.042,0.3,0.3737,0.49,0.000786745273204184,0.011,z
4,pi+,3.19,0.044,0.28,0.4448,0.52,0.008741827583554507,0.01,z
5,pi+,3.03,0.046,0.25,0.5646,0.54,0.026211094303867095,0.0117,z
6,pi+,2.74,0.046,0.22,0.7164,0.54,0.05031217082261294,0.0171,z
7,pi+,2.4,0.045,0.19,0.8787,0.47,0.05412841857501187,0.0234,z
8,pi+,1.24,0.006469,0.65,0.29,0.53,0.014233846598268965,0.0156,x
9,pi+,1.45,0.01059,0.46,0.33,0.52,0.0036816181404712906,0.0101,x
10,pi+,1.67,0.01643,0.34,0.35,0.49,0.005765044102568046,0.0084,x
11,pi+,1.99,0.02556,0.26,0.37,0.46,0.008711441213319324,0.0074,x
12,pi+,2.79,0.03967,0.23,0.39,0.45,0.010887130612180758,0.0083,x
13,pi+,4.54,0.06255,0.24,0.38,0.46,0.014492519481257285,0.0104,x
14,pi+,7.4,0.1005,0.25,0.37,0.46,0.01798644453472712,0.0137,x
15,pi+,11.8,0.1609,0.24,0.37,0.47,0.020788101779163667,0.0203,x
16,pi+,23.8,0.2781,0.28,0.36,0.51,0.019088795055452832,0.0343,x
17,pi+,3.18,0.043,0.29,0.35,0.1547,0.0034700810802041336,0.0104,phT
18,pi+,3.14,0.042,0.29,0.35,0.2519,0.005286904888905511,0.0087,phT
19,pi+,3.14,0.041,0.3,0.35,0.3496,0.006840899641973028,0.0084,phT
20,pi+,3.23,0.041,0.31,0.35,0.4482,0.008778991942439657,0.0089,phT
21,pi+,3.29,0.041,0.32,0.36,0.5475,0.01101289987731486,0.0102,phT
22,pi+,3.36,0.04,0.33,0.37,0.6681,0.012793802110553646,0.0102,phT
23,pi+,3.46,0.04,0.34,0.39,0.817,0.016360238959178645,0.0138,phT
24,pi+,3.61,0.039,0.36,0.41,1.042,0.0201163110220088,0.0151,phT
25,pi+,4.08,0.038,0.43,0.43,1.549,0.02912224728662691,0.0327,phT
26,pi-,3.31,0.036,0.37,0.2236,0.44,-0.005007995838963524,0.0071,z
27,pi-,3.25,0.038,0.35,0.2736,0.46,-0.004852925173748675,0.0084,z
28,pi-,3.19,0.039,0.33,0.3236,0.48,-0.004645788123715291,0.01,z
29,pi-,3.13,0.04,0.31,0.3736,0.5,-0.004371606036238263,0.0118,z
30,pi-,3.02,0.041,0.28,0.4446,0.52,-0.0037122731649259096,0.0109,z
31,pi-,2.81,0.042,0.25,0.5643,0.54,-0.0008167520958845396,0.013,z
