,hadron,Q2,x,y,z,phT,Siv,tot_err,1D_dependence
0,pi+,1.29,0.036,0.702,0.336,0.486,0.006284878377732457,0.00875557,x
1,pi+,1.64,0.056,0.567,0.356,0.408,0.01790380627744161,0.007397973,x
2,pi+,1.98,0.074,0.516,0.366,0.375,0.027628788657809274,0.008782369,x
3,pi+,2.34,0.093,0.489,0.374,0.358,0.035597790855168884,0.007749194,x
4,pi+,2.34,0.093,0.489,0.374,0.358,0.035597790855168884,0.007749194,x
5,pi+,2.87,0.118,0.469,0.379,0.348,0.040879553298189056,0.007595393,x
6,pi+,3.69,0.157,0.456,0.379,0.342,0.037835029823343976,0.007640026,x
7,pi+,5.71,0.254,0.437,0.375,0.343,0.012129436897102108,0.009352005,x
8,pi+,2.44,0.087,0.594,0.229,0.344,0.02179425075410742,0.005491812,z
9,pi+,2.46,0.094,0.556,0.289,0.371,0.030860515052649123,0.006020797,z
10,pi+,2.45,0.098,0.533,0.349,0.394,0.0394297509001758,0.007340981,z
11,pi+,2.45,0.1,0.52,0.413,0.418,0.04653921983789693,0.00813941,z
12,pi+,2.44,0.101,0.508,0.483,0.441,0.051429613394969445,0.011552056,z
13,pi+,2.44,0.101,0.508,0.483,0.441,0.051429613394969445,0.011552056,z
14,pi+,2.43,0.102,0.499,0.558,0.46,0.05499327681954796,0.012384668,z
15,pi+,2.41,0.104,0.481,0.647,0.466,0.05871906322649486,0.015425304,z
16,pi+,2.41,0.107,0.457,0.729,0.453,0.06112692374782626,0.021260292,z
17,pi+,2.35,0.108,0.434,0.798,0.433,0.06050860871503141,0.023052115,z
18,pi+,2.31,0.116,0.394,0.916,0.376,0.05403807241004184,0.021890866,z
19,pi+,2.56,0.11,0.46,0.341,0.11,0.011718908012430128,0.006911584,phT
20,pi+,2.56,0.108,0.489,0.35,0.211,0.0226591592496822,0.00741485,phT
21,pi+,2.52,0.103,0.514,0.354,0.28,0.029378861088009765,0.008372574,phT
22,pi+,2.46,0.097,0.54,0.355,0.345,0.03457344875412291,0.009291394,phT
23,pi+,2.46,0.097,0.54,0.355,0.345,0.03457344875412291,0.009291394,phT
24,pi+,2.39,0.09,0.57,0.356,0.446,0.04166046393743536,0.009700515,phT
25,pi+,2.34,0.084,0.601,0.373,0.594,0.05288417020806639,0.012816006,phT
26,pi+,2.3,0.076,0.642,0.429,0.849,0.07103255226020058,0.010870603,phT
27,pi0,1.3,0.036,0.712,0.325,0.492,0.0018273075918378051,0.036200829,x
28,pi0,1.72,0.056,0.597,0.352,0.406,0.00930690541121787,0.031942761,x
29,pi0,2.14,0.074,0.558,0.366,0.374,0.015916007374320265,0.035141144,x
30,pi0,2.58,0.093,0.538,0.372,0.353,0.021189510602548523,0.030734996,x
31,pi0,2.58,0.093,0.538,0.372,0.353,0.021189510602548523,0.030734996,x
32,pi0,3.19,0.118,0.522,0.378,0.338,0.024690354952370007,0.031110288,x
33,pi0,4.1,0.156,0.507,0.38,0.323,0.022603717435744464,0.02973096,x
34,pi0,6.14,0.249,0.479,0.386,0.326,0.006898547602115179,0.033160217,x
35,pi0,2.45,0.078,0.648,0.229,0.337,0.012607578657017988,0.034340646,z
36,pi0,2.49,0.085,0.609,0.289,0.372,0.018079053780952502,0.031331294,z
37,pi0,2.52,0.09,0.581,0.348,0.401,0.022698708298691684,0.030972569,z
38,pi0,2.53,0.095,0.558,0.413,0.427,0.026848282146051578,0.030304125,z
39,pi0,2.55,0.099,0.537,0.483,0.45,0.02987242327703097,0.031590505,z
40,pi0,2.55,0.099,0.537,0.483,0.45,0.02987242327703097,0.031590505,z
41,pi0,2.57,0.102,0.517,0.557,0.469,0.031677148699891605,0.032557641,z
42,pi0,2.59,0.106,0.496,0.645,0.483,0.03283824519297343,0.03246244,z
43,pi0,2.61,0.112,0.472,0.728,0.494,0.03393249610268809,0.043488504,z
44,pi0,2.66,0.116,0.457,0.796,0.488,0.03331121419543058,0.043887698,z
45,pi0,2.56,0.121,0.418,0.908,0.478,0.03148975955891629,0.049152213,z
46,pi0,2.82,0.114,0.481,0.338,0.111,0.0076691062322056585,0.032318725,phT
47,pi0,2.69,0.103,0.529,0.34,0.211,0.01363353638466509,0.03242607,phT
48,pi0,2.59,0.095,0.563,0.343,0.28,0.016780398745135035,0.03375574,phT
49,pi0,2.49,0.088,0.591,0.347,0.345,0.018935713295785028,0.033147096,phT
50,pi0,2.49,0.088,0.591,0.347,0.345,0.018935713295785028,0.033147096,phT
51,pi0,2.39,0.081,0.624,0.353,0.446,0.021894905591291546,0.027658814,phT
52,pi0,2.3,0.074,0.652,0.371,0.595,0.025574424108723758,0.027647966,phT
53,pi0,2.27,0.071,0.675,0.428,0.849,0.035032736684213986,0.026956446,phT
54,pi-,1.29,0.036,0.704,0.33,0.481,-0.003465300832912714,0.009343447,x
55,pi-,1.64,0.056,0.568,0.35,0.402,-0.0014366206986020248,0.008102469,x
56,pi-,1.98,0.074,0.515,0.359,0.369,0.00043339275734947166,0.009908078,x
57,pi-,2.33,0.093,0.487,0.366,0.354,0.0020024085365976775,0.008736704,x
58,pi-,2.33,0.093,0.487,0.366,0.354,0.0020024085365976775,0.008736704,x
59,pi-,2.86,0.118,0.468,0.369,0.348,0.0032058818938366556,0.009027181,x
60,pi-,3.66,0.156,0.454,0.369,0.342,0.002630911709271021,0.009166242,x
61,pi-,5.66,0.253,0.434,0.364,0.349,-0.002675136845637127,0.011081967,x
62,pi-,2.39,0.084,0.598,0.229,0.35,0.006676998577908532,0.00659242,z
63,pi-,2.38,0.091,0.559,0.289,0.379,0.006802337154556275,0.008381527,z
64,pi-,2.36,0.094,0.536,0.348,0.403,0.0036546697376880263,0.009091755,z
