,Dependence,x1,x2,xF,QT,QM,Siv,tot_err
0,x2,0.234,0.086,0.14800000000000002,0.346,1.5565988564816564,-0.023215574621454307,0.011594609698840101
1,x2,0.303,0.094,0.209,0.377,1.5582040944625963,-0.01352429420353198,0.011781335957092014
2,x2,0.373,0.097,0.276,0.403,1.5572411502397436,0.010114851130309023,0.024501831030928862
3,x2,0.447,0.099,0.348,0.429,1.554991961394013,0.025797522615319014,0.030484127539914276
4,x2,0.523,0.1,0.42300000000000004,0.453,1.5527395145355192,0.035593225340342205,0.034674547417671384
5,x2,0.593,0.101,0.492,0.465,1.5491933384829668,0.046378863790840864,0.044588032346963465
6,x2,0.663,0.103,0.56,0.465,1.54434452114805,0.05844023331410325,0.0586029831855117
7,x2,0.229,0.087,0.14200000000000002,0.344,1.5620499351813308,-0.02223116110630382,0.011207973474215266
8,x2,0.289,0.094,0.19499999999999998,0.371,1.5684387141358123,-0.015981254687859672,0.010316413934340771
9,x2,0.349,0.098,0.251,0.394,1.5652475842498528,0.0058570591006117485,0.026803370698557986
10,x2,0.413,0.1,0.31299999999999994,0.418,1.5652475842498528,0.018084374202753724,0.028079003402064213
11,x2,0.483,0.101,0.382,0.441,1.5620499351813308,0.030631859302281655,0.03231612364556036
12,x2,0.483,0.101,0.382,0.441,1.5620499351813308,0.030631859302281655,0.03231612364556036
13,x2,0.558,0.102,0.45600000000000007,0.46,1.5588457268119895,0.04073743278140097,0.03890938996271621
14,x2,0.647,0.104,0.543,0.466,1.5524174696260025,0.05549297671477974,0.05509374748595574
15,x2,0.729,0.107,0.622,0.453,1.5524174696260025,0.0706030747769485,0.07209098360707775
16,x2,0.798,0.108,0.6900000000000001,0.433,1.5329709716755893,0.08313302212641563,0.08591355790904903
17,x2,0.916,0.116,0.8,0.376,1.5198684153570663,0.09904326765677161,0.10070034337670931
18,x2,0.2237,0.037,0.1867,0.43,1.8520259177452134,-0.026578902780300208,0.013582428930153444
19,x2,0.2737,0.039,0.2347,0.45,1.835755975068582,-0.030831878142706402,0.01264229594480395
