,hadron,Q2,x,y,z,phT,Siv,tot_err,1D_dependence
0,pi+,3.43,0.037,0.36,0.2237,0.43,0.009573193216522264,0.0068,z
1,pi+,3.37,0.039,0.34,0.2737,0.45,0.012923518305196266,0.008,z
2,pi+,3.33,0.041,0.32,0.3237,0.48,0.01714076801843293,0.0094,z
3,pi+,3.28,0.042,0.3,0.3737,0.49,0.020232886986619764,0.011,z
4,pi+,3.19,0.044,0.28,0.4448,0.52,0.025789688434898823,0.01,z
5,pi+,3.03,0.046,0.25,0.5646,0.54,0.031133777187112608,0.0117,z
6,pi+,2.74,0.046,0.22,0.7164,0.54,0.031186159670318982,0.0171,z
7,pi+,2.4,0.045,0.19,0.8787,0.47,0.023744400226029215,0.0234,z
8,pi+,1.24,0.006469,0.65,0.29,0.53,0.0029050299901352285,0.0156,x
9,pi+,1.45,0.01059,0.46,0.33,0.52,0.005188147119443909,0.0101,x
10,pi+,1.67,0.01643,0.34,0.35,0.49,0.00772894026259286,0.0084,x
11,pi+,1.99,0.02556,0.26,0.37,0.46,0.011394514562892791,0.0074,x
12,pi+,2.79,0.03967,0.23,0.39,0.45,0.017552658599857263,0.0083,x
13,pi+,4.54,0.06255,0.24,0.38,0.46,0.02734266138184412,0.0104,x
14,pi+,7.4,0.1005,0.25,0.37,0.46,0.04135681685287802,0.0137,x
15,pi+,11.8,0.1609,0.24,0.37,0.47,0.06360547379060673,0.0203,x
16,pi+,23.8,0.2781,0.28,0.36,0.51,0.10387117026508344,0.0343,x
17,pi+,3.18,0.043,0.29,0.35,0.1547,0.005213442618148593,0.0104,phT
18,pi+,3.14,0.042,0.29,0.35,0.2519,0.008571035706989664,0.0087,phT
19,pi+,3.14,0.041,0.3,0.35,0.3496,0.012192339119170389,0.0084,phT
20,pi+,3.23,0.041,0.31,0.35,0.4482,0.016661970842305866,0.0089,phT
21,pi+,3.29,0.041,0.32,0.36,0.5475,0.022568126678044417,0.0102,phT
22,pi+,3.36,0.04,0.33,0.37,0.6681,0.031098676535072735,0.0102,phT
23,pi+,3.46,0.04,0.34,0.39,0.817,0.04811766224562206,0.0138,phT
24,pi+,3.61,0.039,0.36,0.41,1.042,0.0906717596538379,0.0151,phT
25,pi+,4.08,0.038,0.43,0.43,1.549,0.4519333060605601,0.0327,phT
26,pi-,3.31,0.036,0.37,0.2236,0.44,0.009578708479518987,0.0071,z
27,pi-,3.25,0.038,0.35,0.2736,0.46,0.012957052601382248,0.0084,z
28,pi-,3.19,0.039,0.33,0.3236,0.48,0.016334335276660835,0.01,z
29,pi-,3.13,0.04,0.31,0.3736,0.5,0.019865942368201852,0.0118,z
30,pi-,3.02,0.041,0.28,0.4446,0.52,0.0241008433023034,0.0109,z
31,pi-,2.81,0.042,0.25,0.5643,0.54,0.02854278761744197,0.013,z
32,pi-,2.51,0.042,0.22,0.7171,0.52,0.027044216972071815,0.019,z
33,pi-,2.21,0.041,0.19,0.8794,0.43,0.01936659111315702,0.0247,z
34,pi-,1.24,0.006453,0.65,0.29,0.54,0.0029743986565280893,0.0159,x
35,pi-,1.46,0.01057,0.47,0.32,0.52,0.005040876901896149,0.0104,x
36,pi-,1.68,0.01641,0.35,0.35,0.49,0.007719688905690777,0.0088,x
37,pi-,2.02,0.02552,0.27,0.37,0.46,0.01137714977564591,0.0079,x
38,pi-,2.82,0.03964,0.24,0.38,0.45,0.01723067152974343,0.0089,x
39,pi-,4.59,0.06247,0.25,0.38,0.45,0.026508867494112524,0.0113,x
40,pi-,7.42,0.1004,0.25,0.36,0.46,0.040489751167384576,0.0153,x
41,pi-,11.9,0.1607,0.25,0.36,0.47,0.06225579125746537,0.0232,x
42,pi-,23.9,0.2781,0.28,0.35,0.51,0.10157382952778943,0.0411,x
43,pi-,3.05,0.041,0.29,0.35,0.1545,0.004974655741086109,0.0112,phT
