,hadron,1D_dependence,z,QQ,sbar,ubar,dbar,d,u,s
52,k-,z,0.2248,3.65,0.041061601017503106,0.09717224908044934,0.04106760004954988,0.04106760004954988,0.04108212822361443,0.4240544841772226
53,k-,z,0.2743,3.51,0.03219963298694099,0.09882545401607068,0.03219653558777715,0.03219653558777715,0.032178434341612584,0.44806598566670175
54,k-,z,0.3242,3.49,0.024003004688576107,0.09742189763923037,0.024007236447768185,0.024007236447768185,0.02401425715140343,0.42671221766889644
55,k-,z,0.3742,3.35,0.017324317031523283,0.09211126552427426,0.017318231222270435,0.017318231222270435,0.01731415082702038,0.3839574179371171
56,k-,z,0.4454,3.13,0.010118820195796937,0.07953214445678732,0.010110885850995815,0.010110885850995815,0.010107955022701925,0.3167290456597941
57,k-,z,0.5641,2.85,0.002389638188256085,0.0565112807695519,0.002403130912046222,0.002403130912046222,0.0024040651934193556,0.23416422487983266
58,k-,z,0.7111,2.68,2.3314277970216666e-05,0.03508721355827979,4.335873965488089e-05,4.335873965488089e-05,4.3308653953474616e-05,0.1314385885098716
59,k-,z,0.8679,2.45,-1.6307337531424676e-09,0.0211483522188656,-1.2866167675821501e-06,-1.2866167675821501e-06,-3.1206645658212135e-07,0.023982207186671246
60,k-,x,0.3,1.25,0.01864031864796268,0.09071767055998593,0.01866783888002116,0.01866783888002116,0.018649507734761758,0.47286302269178354
61,k-,x,0.34,1.51,0.015563590720847538,0.09384299646211286,0.015572402025435287,0.015572402025435287,0.01557198140591908,0.44851396671440885
62,k-,x,0.37,1.87,0.014197658182707174,0.09303481017407235,0.01419852315291546,0.01419852315291546,0.014195492978716183,0.413997941060298
63,k-,x,0.41,2.53,0.012595821680421629,0.08737457868047649,0.012591169988063014,0.012591169988063014,0.01258434935113736,0.3595845707204556
64,k-,x,0.42,3.87,0.013013070352999265,0.08334766192866902,0.013012220080361714,0.013012220080361714,0.013008959427254713,0.3312309649315443
65,k-,x,0.41,6.13,0.014602713388538198,0.08259053141349329,0.0145920347532957,0.0145920347532957,0.01460239781720366,0.32338292773541105
66,k-,x,0.41,9.68,0.014617717458118044,0.07969525050740735,0.014639022319354721,0.014639022319354721,0.014640471696090665,0.3076489949052894
67,k-,x,0.4,15.8,0.015621704217998585,0.07891455147744593,0.01566311149236131,0.01566311149236131,0.015663117833265423,0.30192429541065413
68,k-,x,0.37,31.4,0.019291490924689004,0.08226520224502082,0.019293550895110347,0.019293550895110347,0.019291792715195676,0.31395295554050223
69,k-,phT,0.38,3.27,0.01656526548229024,0.09132546469718877,0.016564070272084216,0.016564070272084216,0.01656270625232717,0.37927617526304935
70,k-,phT,0.37,3.27,0.017706995971951786,0.09273122323185302,0.017700460585886583,0.017700460585886583,0.017696730588145002,0.38896517245686174
71,k-,phT,0.37,3.29,0.017733906383959535,0.09271759109050347,0.01772717831228875,0.01772717831228875,0.017723087693718186,0.38870786219112324
72,k-,phT,0.37,3.34,0.017800473172659072,0.09268387002562714,0.017793268462412824,0.017793268462412824,0.01778828578080646,0.38807136818673704
73,k-,phT,0.38,3.35,0.016663384934889672,0.09125338703498723,0.016662856282607125,0.016662856282607125,0.01666077432950907,0.3782424345023488
74,k-,phT,0.38,3.3,0.016602338747665736,0.09129823100859616,0.01660139538960477,0.01660139538960477,0.01659976011446495,0.3788855886137327
75,k-,phT,0.39,3.3,0.015510712667240701,0.0896695908938323,0.015520928367381281,0.015520928367381281,0.015521559623618446,0.36862490252155566
76,k-,phT,0.4,3.34,0.01453686948920891,0.08776296062835588,0.014547623751306292,0.014547623751306292,0.014548005063744207,0.3570728661258644
77,k-,phT,0.41,3.5,0.013679112849697425,0.08582399075470032,0.013686150800535342,0.013686150800535342,0.013685831703472762,0.345500480154636
