,hadron,Q2,x,y,z,phT,Siv,tot_err,1D_dependence
0,pi+,1.24,0.0065,0.65,0.285,0.54,-0.004521942763981004,0.0117,x
1,pi+,1.47,0.0106,0.47,0.321,0.52,-0.0039011638460160814,0.0074,x
2,pi+,1.72,0.0164,0.36,0.347,0.51,-0.0025543169455325056,0.0061,x
3,pi+,2.05,0.0257,0.27,0.363,0.49,0.0010780980104981555,0.0053,x
4,pi+,2.71,0.0399,0.23,0.37,0.48,0.009634587929238613,0.0055,x
5,pi+,4.22,0.0628,0.23,0.367,0.48,0.027929711077285722,0.0063,x
6,pi+,6.68,0.1009,0.22,0.365,0.48,0.053469861153930855,0.0075,x
7,pi+,10.54,0.1621,0.22,0.362,0.48,0.05512593931429797,0.0096,x
8,pi+,21.02,0.2881,0.24,0.361,0.52,0.012669397648659835,0.0126,x
9,pi+,3.75,0.0467,0.33,0.223,0.45,0.008882838893922856,0.0044,z
10,pi+,3.75,0.0483,0.32,0.274,0.47,0.012120252562339114,0.0053,z
11,pi+,3.72,0.0498,0.31,0.324,0.5,0.016215650081356447,0.0063,z
12,pi+,3.68,0.0511,0.29,0.374,0.52,0.01998279401504201,0.0074,z
13,pi+,3.58,0.0527,0.27,0.445,0.54,0.02413090542672597,0.0067,z
14,pi+,3.4,0.0545,0.24,0.565,0.57,0.028805148910327205,0.0077,z
15,pi+,3.1,0.0548,0.21,0.716,0.56,0.03182988163229822,0.0113,z
16,pi+,2.71,0.0527,0.19,0.878,0.47,0.026490707688675983,0.0152,z
17,pi+,3.57,0.052,0.28,0.346,0.15,0.0056501518369292065,0.0072,phT
18,pi+,3.52,0.051,0.28,0.344,0.25,0.008975017219318699,0.006,phT
19,pi+,3.48,0.0497,0.29,0.344,0.35,0.0118418526377872,0.0056,phT
20,pi+,3.55,0.0495,0.3,0.344,0.45,0.015103885486565185,0.0059,phT
21,pi+,3.62,0.0493,0.3,0.35,0.55,0.018567343881500963,0.0066,phT
22,pi+,3.71,0.0489,0.31,0.363,0.67,0.022854456584836477,0.0066,phT
23,pi+,3.84,0.0487,0.32,0.382,0.82,0.02879117550088553,0.0087,phT
24,pi+,4.06,0.0486,0.34,0.404,1.04,0.03785974589300837,0.0091,phT
25,pi+,4.77,0.0492,0.39,0.415,1.56,0.061186889416092585,0.0186,phT
26,pi-,1.24,0.0064,0.65,0.285,0.54,-0.004952933863491426,0.0115,x
27,pi-,1.48,0.0106,0.48,0.32,0.52,-0.0048307611390560334,0.0075,x
28,pi-,1.73,0.0164,0.36,0.344,0.5,-0.004673382895924721,0.0063,x
29,pi-,2.05,0.0257,0.27,0.358,0.49,-0.0044777417828203644,0.0054,x
30,pi-,2.72,0.0398,0.23,0.365,0.48,-0.0035431191284323307,0.0057,x
31,pi-,4.22,0.0627,0.23,0.359,0.48,0.00036776002330896496,0.0068,x
32,pi-,6.66,0.1007,0.22,0.353,0.48,0.008491968605024686,0.0083,x
33,pi-,10.54,0.1619,0.22,0.349,0.48,0.01210332621111648,0.0109,x
34,pi-,20.85,0.2873,0.24,0.345,0.51,0.0014768902081613905,0.0147,x
35,pi-,3.61,0.0447,0.34,0.223,0.45,0.0006771704163966534,0.0045,z
36,pi-,3.58,0.0458,0.33,0.273,0.48,0.0001892701448679112,0.0054,z
37,pi-,3.52,0.0468,0.31,0.323,0.5,-0.0012285223257061683,0.0065,z
38,pi-,3.45,0.0475,0.3,0.373,0.52,-0.0030633926213829094,0.0078,z
39,pi-,3.34,0.0488,0.27,0.444,0.54,-0.005199836256350025,0.0071,z
40,pi-,3.11,0.0499,0.24,0.564,0.55,-0.008144454039199465,0.0086,z
41,pi-,2.77,0.0491,0.21,0.716,0.53,-0.017251772925848858,0.0127,z
42,pi-,2.43,0.0473,0.19,0.879,0.43,-0.023567002970142296,0.0168,z
43,pi-,3.38,0.0487,0.28,0.346,0.15,-0.0005334308807193591,0.0075,phT
44,pi-,3.32,0.0477,0.29,0.344,0.25,-0.0009398374010369641,0.0062,phT
45,pi-,3.29,0.0464,0.29,0.342,0.35,-0.0014186288762096629,0.0058,phT
46,pi-,3.36,0.0464,0.3,0.34,0.45,-0.001752728273429439,0.0062,phT
47,pi-,3.46,0.0464,0.31,0.342,0.55,-0.002213838542175078,0.0069,phT
48,pi-,3.53,0.0461,0.32,0.351,0.67,-0.0031925368005747807,0.0069,phT
49,pi-,3.65,0.0458,0.33,0.366,0.82,-0.0048177483795650445,0.0092,phT
50,pi-,3.83,0.0452,0.34,0.386,1.04,-0.007608376141049357,0.0096,phT
51,pi-,4.34,0.0442,0.4,0.4,1.56,-0.013282509964160364,0.0197,phT
52,k-,1.24,0.0065,0.65,0.296,0.64,-0.00741338546402349,0.0295,x
53,k-,1.49,0.0105,0.48,0.341,0.59,-0.007181851840967789,0.0183,x
54,k-,1.88,0.0163,0.39,0.375,0.57,-0.00679754983448313,0.0168,x
55,k-,2.57,0.0253,0.34,0.405,0.56,-0.0057116076433966914,0.0169,x
56,k-,3.83,0.0398,0.33,0.42,0.56,-0.0024055146561976033,0.0202,x
57,k-,5.91,0.0626,0.32,0.418,0.56,0.006770008426925307,0.0245,x
58,k-,9.32,0.1002,0.31,0.418,0.56,0.024363646379764976,0.0315,x
59,k-,15.09,0.1613,0.31,0.411,0.56,0.03440144648807027,0.0439,x
60,k-,29.47,0.2984,0.33,0.4,0.61,0.006563331066787909,0.0571,x
61,k-,4.12,0.0292,0.51,0.225,0.55,-0.0018851961776876454,0.0175,z
62,k-,3.97,0.0323,0.46,0.274,0.56,-0.0018762401496980597,0.0184,z
63,k-,3.85,0.035,0.41,0.324,0.57,-0.0020393886451824,0.02,z
64,k-,3.69,0.0372,0.37,0.374,0.58,-0.0024112488069472538,0.0222,z
65,k-,3.45,0.0397,0.33,0.446,0.58,-0.0032147930200134085,0.0185,z
66,k-,3.14,0.0428,0.28,0.564,0.58,-0.005945647257913415,0.0205,z
67,k-,3.04,0.0462,0.24,0.712,0.62,-0.008605160603335466,0.0347,z
68,k-,2.92,0.0459,0.24,0.869,0.56,-0.007125734362319109,0.0596,z
69,k-,3.55,0.0364,0.36,0.394,0.15,-0.0007838739600286403,0.0249,phT
70,k-,3.68,0.0371,0.38,0.381,0.25,-0.0011038341848820376,0.0217,phT
71,k-,3.67,0.0367,0.39,0.376,0.35,-0.0015653060294408576,0.0206,phT
72,k-,3.66,0.0364,0.39,0.375,0.45,-0.002073002768482198,0.0207,phT
73,k-,3.68,0.0363,0.39,0.376,0.55,-0.0025810228469706534,0.0218,phT
74,k-,3.67,0.0361,0.4,0.382,0.67,-0.0033526325564370786,0.0201,phT
75,k-,3.69,0.0359,0.4,0.39,0.82,-0.004400258557386794,0.0247,phT
76,k-,3.75,0.0356,0.41,0.398,1.06,-0.006131623619283176,0.0231,phT
77,k-,4.03,0.0349,0.45,0.402,1.59,-0.010108511817725365,0.0409,phT
