,hadron,Q2,x,z,phT,Siv,tot_err,1D_dependence
0,pi+,2.7325,0.036,0.367375,0.37725,-0.0004905866,0.0025265233,x
1,pi+,2.7325,0.0382020202020202,0.367375,0.37725,0.0006723617,0.0024701406,x
2,pi+,2.7325,0.0404040404040404,0.367375,0.37725,0.0019442386,0.0023265143,x
3,pi+,2.7325,0.0426060606060606,0.367375,0.37725,0.0033119712,0.002185972,x
4,pi+,2.7325,0.0448080808080808,0.367375,0.37725,0.0047214665,0.002087598,x
5,pi+,2.7325,0.047010101010101,0.367375,0.37725,0.006290668,0.0020068567,x
6,pi+,2.7325,0.0492121212121212,0.367375,0.37725,0.007977248,0.0019260591,x
7,pi+,2.7325,0.0514141414141414,0.367375,0.37725,0.0096660955,0.0018740093,x
8,pi+,2.7325,0.0536161616161616,0.367375,0.37725,0.011353299,0.0018469859,x
9,pi+,2.7325,0.0558181818181818,0.367375,0.37725,0.0130155375,0.0018414562,x
10,pi+,2.7325,0.058020202020202,0.367375,0.37725,0.014656447,0.0018416643,x
11,pi+,2.7325,0.0602222222222222,0.367375,0.37725,0.016289722,0.0018505675,x
12,pi+,2.7325,0.0624242424242424,0.367375,0.37725,0.017917719,0.0018683876,x
13,pi+,2.7325,0.0646262626262626,0.367375,0.37725,0.019537874,0.0018925959,x
14,pi+,2.7325,0.0668282828282828,0.367375,0.37725,0.021156762,0.001927363,x
15,pi+,2.7325,0.069030303030303,0.367375,0.37725,0.022774978,0.0019735396,x
16,pi+,2.7325,0.0712323232323232,0.367375,0.37725,0.024392879,0.002033102,x
17,pi+,2.7325,0.0734343434343434,0.367375,0.37725,0.026010882,0.0021040526,x
18,pi+,2.7325,0.0756363636363636,0.367375,0.37725,0.027624238,0.0021882164,x
19,pi+,2.7325,0.0778383838383838,0.367375,0.37725,0.029236402,0.0022852493,x
20,pi+,2.7325,0.080040404040404,0.367375,0.37725,0.030854076,0.0023886955,x
21,pi+,2.7325,0.0822424242424242,0.367375,0.37725,0.032481723,0.0024992214,x
22,pi+,2.7325,0.0844444444444444,0.367375,0.37725,0.03411758,0.0026242547,x
23,pi+,2.7325,0.0866464646464646,0.367375,0.37725,0.0357611,0.0027603076,x
24,pi+,2.7325,0.0888484848484848,0.367375,0.37725,0.037411444,0.0029125828,x
25,pi+,2.7325,0.091050505050505,0.367375,0.37725,0.039064966,0.0030779992,x
26,pi+,2.7325,0.0932525252525252,0.367375,0.37725,0.040702827,0.0032581866,x
27,pi+,2.7325,0.0954545454545454,0.367375,0.37725,0.04225361,0.0034576291,x
28,pi+,2.7325,0.0976565656565656,0.367375,0.37725,0.043744724,0.00367176,x
29,pi+,2.7325,0.0998585858585858,0.367375,0.37725,0.045228913,0.0039001156,x
30,pi+,2.7325,0.102060606060606,0.367375,0.37725,0.04675051,0.004133452,x
31,pi+,2.7325,0.1042626262626262,0.367375,0.37725,0.04829366,0.0043717176,x
32,pi+,2.7325,0.1064646464646464,0.367375,0.37725,0.049845755,0.0046105655,x
33,pi+,2.7325,0.1086666666666666,0.367375,0.37725,0.05132738,0.0048210486,x
34,pi+,2.7325,0.1108686868686868,0.367375,0.37725,0.05276469,0.0050786366,x
35,pi+,2.7325,0.113070707070707,0.367375,0.37725,0.054068327,0.005373196,x
36,pi+,2.7325,0.1152727272727272,0.367375,0.37725,0.055242885,0.005769763,x
37,pi+,2.7325,0.1174747474747474,0.367375,0.37725,0.055747595,0.006109942,x
38,pi+,2.7325,0.1196767676767676,0.367375,0.37725,0.05558619,0.006309096,x
39,pi+,2.7325,0.1218787878787878,0.367375,0.37725,0.055049397,0.0063408865,x
40,pi+,2.7325,0.124080808080808,0.367375,0.37725,0.054394726,0.006078012,x
41,pi+,2.7325,0.1262828282828282,0.367375,0.37725,0.05371798,0.005770177,x
42,pi+,2.7325,0.1284848484848484,0.367375,0.37725,0.05303689,0.005487507,x
43,pi+,2.7325,0.1306868686868686,0.367375,0.37725,0.052354947,0.005249257,x
44,pi+,2.7325,0.1328888888888889,0.367375,0.37725,0.05167316,0.0050660553,x
45,pi+,2.7325,0.1350909090909091,0.367375,0.37725,0.05099171,0.004945719,x
46,pi+,2.7325,0.1372929292929293,0.367375,0.37725,0.050310764,0.0048944894,x
47,pi+,2.7325,0.1394949494949495,0.367375,0.37725,0.0496311,0.004915866,x
48,pi+,2.7325,0.1416969696969697,0.367375,0.37725,0.048952747,0.0050099883,x
49,pi+,2.7325,0.1438989898989899,0.367375,0.37725,0.048275314,0.005173404,x
50,pi+,2.7325,0.1461010101010101,0.367375,0.37725,0.0475986,0.0054007103,x
51,pi+,2.7325,0.1483030303030303,0.367375,0.37725,0.046922192,0.005685257,x
52,pi+,2.7325,0.1505050505050505,0.367375,0.37725,0.0462458,0.0060194456,x
53,pi+,2.7325,0.1527070707070707,0.367375,0.37725,0.045569133,0.0063959495,x
54,pi+,2.7325,0.1549090909090909,0.367375,0.37725,0.044892665,0.0068083857,x
55,pi+,2.7325,0.1571111111111111,0.367375,0.37725,0.044216532,0.007251249,x
56,pi+,2.7325,0.1593131313131313,0.367375,0.37725,0.043540996,0.007719516,x
57,pi+,2.7325,0.1615151515151515,0.367375,0.37725,0.042939138,0.008033456,x
58,pi+,2.7325,0.1637171717171717,0.367375,0.37725,0.042560115,0.007997599,x
59,pi+,2.7325,0.1659191919191919,0.367375,0.37725,0.042198785,0.007967922,x
60,pi+,2.7325,0.1681212121212121,0.367375,0.37725,0.041840725,0.007938242,x
61,pi+,2.7325,0.1703232323232323,0.367375,0.37725,0.04148504,0.007908955,x
62,pi+,2.7325,0.1725252525252525,0.367375,0.37725,0.041131496,0.007879363,x
63,pi+,2.7325,0.1747272727272727,0.367375,0.37725,0.04078005,0.007849103,x
64,pi+,2.7325,0.1769292929292929,0.367375,0.37725,0.04043027,0.007819982,x
65,pi+,2.7325,0.1791313131313131,0.367375,0.37725,0.040082213,0.007792276,x
66,pi+,2.7325,0.1813333333333333,0.367375,0.37725,0.039735634,0.0077650975,x
67,pi+,2.7325,0.1835353535353535,0.367375,0.37725,0.039390285,0.0077386326,x
68,pi+,2.7325,0.1857373737373737,0.367375,0.37725,0.03904578,0.007713529,x
69,pi+,2.7325,0.1879393939393939,0.367375,0.37725,0.038702786,0.0076899,x
70,pi+,2.7325,0.1901414141414141,0.367375,0.37725,0.03836129,0.007666802,x
71,pi+,2.7325,0.1923434343434343,0.367375,0.37725,0.038020357,0.0076460824,x
72,pi+,2.7325,0.1945454545454545,0.367375,0.37725,0.037679855,0.00762747,x
73,pi+,2.7325,0.1967474747474747,0.367375,0.37725,0.037340127,0.007611026,x
74,pi+,2.7325,0.1989494949494949,0.367375,0.37725,0.03700012,0.007597725,x
75,pi+,2.7325,0.2011515151515151,0.367375,0.37725,0.036659464,0.007587537,x
76,pi+,2.7325,0.2033535353535353,0.367375,0.37725,0.03631913,0.007580015,x
