,Dependence,x1,x2,xF,QT,QM,Siv,tot_err
0,x1,0.1,0.61,0.5,1.22,4.8,0.004157054682519422,0.126
1,x1,0.16,0.47,0.31,1.25,5.26,0.006360520825712777,0.12
2,x1,0.25,0.4,0.15,1.23,5.98,0.008731518544226246,0.117
3,x2,0.21,0.31,0.1,1.36,4.99,0.008542179468932262,0.118
4,x2,0.16,0.48,0.31,1.23,5.35,0.006258752492501374,0.12
5,x2,0.13,0.69,0.56,1.12,5.68,0.004795832702587434,0.124
6,xF,0.23,0.32,0.09,1.33,5.26,0.008917715219350388,0.12
7,xF,0.16,0.47,0.31,1.26,5.33,0.00641140499231848,0.12
8,xF,0.12,0.68,0.56,1.13,5.43,0.004517787077920562,0.123
9,QT,0.17,0.52,0.35,0.66,5.32,0.0035257729905674305,0.12
10,QT,0.17,0.5,0.33,1.13,5.33,0.006036550726274539,0.124
11,QT,0.17,0.46,0.29,1.97,5.37,0.010523898168814903,0.118
12,QM,0.13,0.44,0.31,1.23,4.51,0.0052668519858772725,0.122
13,QM,0.16,0.48,0.32,1.23,5.08,0.006258752492501373,0.125
14,QM,0.22,0.56,0.34,1.25,6.43,0.00812102212568685,0.116
