,hadron,Q2,x,y,z,phT,Siv,tot_err,1D_dependence
0,pi+,3.43,0.037,0.36,0.2237,0.43,0.0028719579649566806,0.0068,z
1,pi+,3.37,0.039,0.34,0.2737,0.45,0.0038770554915588808,0.008,z
2,pi+,3.33,0.041,0.32,0.3237,0.48,0.005142230405529879,0.0094,z
3,pi+,3.28,0.042,0.3,0.3737,0.49,0.0060698660959859286,0.011,z
4,pi+,3.19,0.044,0.28,0.4448,0.52,0.007736906530469645,0.01,z
5,pi+,3.03,0.046,0.25,0.5646,0.54,0.009340133156133783,0.0117,z
6,pi+,2.74,0.046,0.22,0.7164,0.54,0.009355847901095695,0.0171,z
7,pi+,2.4,0.045,0.19,0.8787,0.47,0.0071233200678087645,0.0234,z
8,pi+,1.24,0.006469,0.65,0.29,0.53,0.0008715089970405686,0.0156,x
9,pi+,1.45,0.01059,0.46,0.33,0.52,0.0015564441358331725,0.0101,x
10,pi+,1.67,0.01643,0.34,0.35,0.49,0.0023186820787778582,0.0084,x
11,pi+,1.99,0.02556,0.26,0.37,0.46,0.003418354368867837,0.0074,x
12,pi+,2.79,0.03967,0.23,0.39,0.45,0.005265797579957177,0.0083,x
13,pi+,4.54,0.06255,0.24,0.38,0.46,0.008202798414553236,0.0104,x
14,pi+,7.4,0.1005,0.25,0.37,0.46,0.012407045055863406,0.0137,x
15,pi+,11.8,0.1609,0.24,0.37,0.47,0.019081642137182015,0.0203,x
16,pi+,23.8,0.2781,0.28,0.36,0.51,0.03116135107952503,0.0343,x
17,pi+,3.18,0.043,0.29,0.35,0.1547,0.0015640327854445776,0.0104,phT
18,pi+,3.14,0.042,0.29,0.35,0.2519,0.002571310712096899,0.0087,phT
19,pi+,3.14,0.041,0.3,0.35,0.3496,0.003657701735751116,0.0084,phT
20,pi+,3.23,0.041,0.31,0.35,0.4482,0.004998591252691759,0.0089,phT
21,pi+,3.29,0.041,0.32,0.36,0.5475,0.006770438003413323,0.0102,phT
22,pi+,3.36,0.04,0.33,0.37,0.6681,0.00932960296052182,0.0102,phT
23,pi+,3.46,0.04,0.34,0.39,0.817,0.014435298673686621,0.0138,phT
24,pi+,3.61,0.039,0.36,0.41,1.042,0.027201527896151375,0.0151,phT
25,pi+,4.08,0.038,0.43,0.43,1.549,0.13557999181816802,0.0327,phT
26,pi-,3.31,0.036,0.37,0.2236,0.44,0.0028736125438556955,0.0071,z
27,pi-,3.25,0.038,0.35,0.2736,0.46,0.003887115780414675,0.0084,z
28,pi-,3.19,0.039,0.33,0.3236,0.48,0.004900300582998251,0.01,z
29,pi-,3.13,0.04,0.31,0.3736,0.5,0.005959782710460555,0.0118,z
30,pi-,3.02,0.041,0.28,0.4446,0.52,0.007230252990691019,0.0109,z
31,pi-,2.81,0.042,0.25,0.5643,0.54,0.00856283628523259,0.013,z
32,pi-,2.51,0.042,0.22,0.7171,0.52,0.008113265091621543,0.019,z
33,pi-,2.21,0.041,0.19,0.8794,0.43,0.005809977333947106,0.0247,z
34,pi-,1.24,0.006453,0.65,0.29,0.54,0.0008923195969584266,0.0159,x
35,pi-,1.46,0.01057,0.47,0.32,0.52,0.0015122630705688446,0.0104,x
36,pi-,1.68,0.01641,0.35,0.35,0.49,0.0023159066717072336,0.0088,x
37,pi-,2.02,0.02552,0.27,0.37,0.46,0.003413144932693773,0.0079,x
38,pi-,2.82,0.03964,0.24,0.38,0.45,0.005169201458923028,0.0089,x
39,pi-,4.59,0.06247,0.25,0.38,0.45,0.007952660248233757,0.0113,x
40,pi-,7.42,0.1004,0.25,0.36,0.46,0.012146925350215373,0.0153,x
41,pi-,11.9,0.1607,0.25,0.36,0.47,0.018676737377239613,0.0232,x
42,pi-,23.9,0.2781,0.28,0.35,0.51,0.03047214885833683,0.0411,x
43,pi-,3.05,0.041,0.29,0.35,0.1545,0.0014923967223258326,0.0112,phT
44,pi-,3.0,0.04,0.3,0.35,0.252,0.0024550544364192782,0.0092,phT
45,pi-,3.01,0.039,0.31,0.35,0.3497,0.0034877286342894216,0.0089,phT
46,pi-,3.08,0.039,0.32,0.35,0.4483,0.0047660835965117184,0.0095,phT
47,pi-,3.15,0.038,0.33,0.35,0.5475,0.006151508422662229,0.0109,phT
48,pi-,3.23,0.038,0.34,0.36,0.668,0.008670446406701797,0.0109,phT
49,pi-,3.29,0.037,0.35,0.38,0.8168,0.013075517732167986,0.0149,phT
50,pi-,3.42,0.036,0.38,0.4,1.042,0.02457781738546333,0.0159,phT
51,pi-,3.83,0.035,0.43,0.42,1.554,0.12356285518796899,0.0349,phT
52,k-,3.65,0.51,0.026,0.2248,0.51,0.02494045118030813,0.023,z
53,k-,3.51,0.46,0.028,0.2743,0.53,0.0319085522400112,0.0242,z
54,k-,3.49,0.43,0.03,0.3242,0.54,0.037838394380095855,0.0256,z
55,k-,3.35,0.4,0.032,0.3742,0.56,0.04408490151452318,0.0297,z
56,k-,3.13,0.35,0.034,0.4454,0.56,0.046918968229059894,0.0251,z
57,k-,2.85,0.29,0.037,0.5641,0.57,0.0477009679516472,0.0291,z
58,k-,2.68,0.25,0.04,0.7111,0.6,0.04711406770150366,0.0487,z
59,k-,2.45,0.23,0.039,0.8679,0.55,0.036603605118563844,0.0868,z
60,k-,1.25,0.006431,0.66,0.3,0.57,0.00099286446072511,0.0319,x
61,k-,1.51,0.01051,0.48,0.34,0.56,0.001766034794518888,0.0226,x
62,k-,1.87,0.01621,0.39,0.37,0.54,0.002748598446741633,0.0222,x
63,k-,2.53,0.0252,0.34,0.41,0.54,0.0045556457138744184,0.0231,x
64,k-,3.87,0.03966,0.33,0.42,0.53,0.0069725494446385115,0.0282,x
65,k-,6.13,0.06254,0.33,0.41,0.53,0.010570341082242219,0.0357,x
66,k-,9.68,0.09993,0.32,0.41,0.53,0.016216254524487217,0.0464,x
67,k-,15.8,0.1599,0.33,0.4,0.54,0.02450458482832956,0.0719,x
68,k-,31.4,0.2852,0.36,0.37,0.54,0.035136616873351595,0.1281,x
69,k-,3.27,0.032,0.39,0.38,0.154,0.0012350225459314276,0.0331,phT
70,k-,3.27,0.032,0.4,0.37,0.2516,0.002052041112830287,0.0276,phT
71,k-,3.29,0.031,0.4,0.37,0.3501,0.0029108919689746888,0.0272,phT
72,k-,3.34,0.032,0.4,0.37,0.4491,0.004116080244397114,0.0275,phT
73,k-,3.35,0.032,0.4,0.38,0.5485,0.005577453498238431,0.0294,phT
74,k-,3.3,0.031,0.41,0.38,0.6699,0.0074982333050531026,0.0269,phT
75,k-,3.3,0.031,0.41,0.39,0.8183,0.011331121658710324,0.0333,phT
76,k-,3.34,0.03,0.42,0.4,1.052,0.021193881100959582,0.0322,phT
77,k-,3.5,0.028,0.47,0.41,1.57,0.10161631259154101,0.0577,phT
78,k+,3.97,0.028,0.5,0.2249,0.52,0.0027852814285354533,0.0203,z
79,k+,4.0,0.032,0.46,0.2747,0.52,0.003883008087255787,0.021,z
80,k+,3.92,0.035,0.42,0.3245,0.54,0.005218460369191204,0.022,z
81,k+,3.87,0.038,0.38,0.3742,0.55,0.006533107176825762,0.0241,z
82,k+,3.74,0.042,0.33,0.4463,0.56,0.008307361822192242,0.0196,z
83,k+,3.44,0.046,0.27,0.5659,0.58,0.010461993330689437,0.0216,z
84,k+,3.25,0.051,0.23,0.7142,0.62,0.012816617373148046,0.032,z
85,k+,2.93,0.052,0.2,0.8732,0.61,0.011847390658247534,0.05,z
