,hadron,Q2,x,y,z,phT,Siv,tot_err,1D_dependence
0,pi+,1.24,0.0065,0.65,0.285,0.54,0.00015994149472234602,0.0117,x
1,pi+,1.47,0.0106,0.47,0.321,0.52,0.0004461769678838959,0.0074,x
2,pi+,1.72,0.0164,0.36,0.347,0.51,0.0011000565365220174,0.0061,x
3,pi+,2.05,0.0257,0.27,0.363,0.49,0.0026198938924362146,0.0053,x
4,pi+,2.71,0.0399,0.23,0.37,0.48,0.006161069467751161,0.0055,x
5,pi+,4.22,0.0628,0.23,0.367,0.48,0.014994731500422208,0.0063,x
6,pi+,6.68,0.1009,0.22,0.365,0.48,0.038003256802643326,0.0075,x
7,pi+,10.54,0.1621,0.22,0.362,0.48,0.09573857076404964,0.0096,x
8,pi+,21.02,0.2881,0.24,0.361,0.52,0.3273523895384747,0.0126,x
9,pi+,3.75,0.0467,0.33,0.223,0.45,0.0049080408631895465,0.0044,z
10,pi+,3.75,0.0483,0.32,0.274,0.47,0.006764420516170687,0.0053,z
11,pi+,3.72,0.0498,0.31,0.324,0.5,0.009081214996058632,0.0063,z
12,pi+,3.68,0.0511,0.29,0.374,0.52,0.011342469144332828,0.0074,z
13,pi+,3.58,0.0527,0.27,0.445,0.54,0.014278727990105296,0.0067,z
14,pi+,3.4,0.0545,0.24,0.565,0.57,0.01813606032445981,0.0077,z
15,pi+,3.1,0.0548,0.21,0.716,0.56,0.017812144747348796,0.0113,z
16,pi+,2.71,0.0527,0.19,0.878,0.47,0.012140239063672495,0.0152,z
17,pi+,3.57,0.052,0.28,0.346,0.15,0.002612090326696465,0.0072,phT
18,pi+,3.52,0.051,0.28,0.344,0.25,0.00430875311054044,0.006,phT
19,pi+,3.48,0.0497,0.29,0.344,0.35,0.00601358542528974,0.0056,phT
20,pi+,3.55,0.0495,0.3,0.344,0.45,0.008176060691102894,0.0059,phT
21,pi+,3.62,0.0493,0.3,0.35,0.55,0.010893377439638374,0.0066,phT
22,pi+,3.71,0.0489,0.31,0.363,0.67,0.015185706172048015,0.0066,phT
