,parameter,value
0,m1,1.0031667330761633
1,Nu,1.4944627043873757
2,alphau,1.981037712301805
3,betau,0.12791644056315638
4,Nubar,2.376030801104875
5,alphaub,1.751687106894332
6,betaub,0.062408936933260786
7,Nd,2.7387230469617005
8,alphad,1.9096676822751362
9,betad,0.03462850477588344
10,Ndbar,-1.9342167790592608
11,alphadb,2.285773343442405
12,betadb,0.030867184476669994
13,Ns,-0.4959190980996631
14,alphas,1.7638811795733331
15,betas,0.49592851457485726
16,Nsbar,0.1101639195360803
17,alphasb,0.4608017775506462
18,betasb,0.12029970157366883
