,parameter,value,error,chi2,N_data
0,m1,37.08799947506401,1.9223310845709003,88.62089951706197,357
1,Nu,3.521862673314163,0.08229071184410112,88.62089951706197,357
2,alphau,2.6933627288191127,0.22927903375543002,88.62089951706197,357
3,betau,17.0628824225748,1.8004863801338533,88.62089951706197,357
4,Nubar,-0.13370159666791884,0.06818853960636012,88.62089951706197,357
5,Nd,-5.401409986665514,0.7948786397779937,88.62089951706197,357
6,alphad,1.0377519788065053,0.24452255514742618,88.62089951706197,357
7,betad,5.2034951028550775,1.5295549957904857,88.62089951706197,357
8,Ndbar,0.548267903216007,1.1367681003707453,88.62089951706197,357
9,Ns,18.161137503342506,0.9834663442972033,88.62089951706197,357
10,alphas,3.6164970096435303,0.08838211635906648,88.62089951706197,357
11,betas,26.57215315865901,0.5951379108104814,88.62089951706197,357
12,Nsbar,-0.09801523624333865,2.928616153731459,88.62089951706197,357
