,hadron,Q2,x,y,z,phT,Siv,tot_err,1D_dependence
0,pi+,3.43,0.037,0.36,0.2237,0.43,-0.003518478598661828,0.0068,z
1,pi+,3.37,0.039,0.34,0.2737,0.45,-0.0030950436232600395,0.008,z
2,pi+,3.33,0.041,0.32,0.3237,0.48,-0.0017850095742174056,0.0094,z
3,pi+,3.28,0.042,0.3,0.3737,0.49,0.0015065632949099398,0.011,z
4,pi+,3.19,0.044,0.28,0.4448,0.52,0.009487285046884075,0.01,z
5,pi+,3.03,0.046,0.25,0.5646,0.54,0.026207158007528823,0.0117,z
6,pi+,2.74,0.046,0.22,0.7164,0.54,0.049943428460082116,0.0171,z
7,pi+,2.4,0.045,0.19,0.8787,0.47,0.05951212801447322,0.0234,z
8,pi+,1.24,0.006469,0.65,0.29,0.53,0.024280223712507695,0.0156,x
9,pi+,1.45,0.01059,0.46,0.33,0.52,0.0039341873945560055,0.0101,x
10,pi+,1.67,0.01643,0.34,0.35,0.49,0.0062647255032865345,0.0084,x
11,pi+,1.99,0.02556,0.26,0.37,0.46,0.00922721307450593,0.0074,x
12,pi+,2.79,0.03967,0.23,0.39,0.45,0.011553124348384992,0.0083,x
13,pi+,4.54,0.06255,0.24,0.38,0.46,0.015946566233326957,0.0104,x
14,pi+,7.4,0.1005,0.25,0.37,0.46,0.020014033454681536,0.0137,x
15,pi+,11.8,0.1609,0.24,0.37,0.47,0.019118435382784956,0.0203,x
16,pi+,23.8,0.2781,0.28,0.36,0.51,0.013344922784364083,0.0343,x
17,pi+,3.18,0.043,0.29,0.35,0.1547,0.003642977178729232,0.0104,phT
18,pi+,3.14,0.042,0.29,0.35,0.2519,0.0055738707062440674,0.0087,phT
19,pi+,3.14,0.041,0.3,0.35,0.3496,0.00724846152176624,0.0084,phT
20,pi+,3.23,0.041,0.31,0.35,0.4482,0.009299753196082526,0.0089,phT
21,pi+,3.29,0.041,0.32,0.36,0.5475,0.011681656587461807,0.0102,phT
22,pi+,3.36,0.04,0.33,0.37,0.6681,0.013706389057433937,0.0102,phT
23,pi+,3.46,0.04,0.34,0.39,0.817,0.017702242806687984,0.0138,phT
24,pi+,3.61,0.039,0.36,0.41,1.042,0.022202459040455133,0.0151,phT
25,pi+,4.08,0.038,0.43,0.43,1.549,0.03229885640683239,0.0327,phT
26,pi-,3.31,0.036,0.37,0.2236,0.44,-0.004327223527673294,0.0071,z
27,pi-,3.25,0.038,0.35,0.2736,0.46,-0.0048033686835516915,0.0084,z
28,pi-,3.19,0.039,0.33,0.3236,0.48,-0.0053173667292686026,0.01,z
29,pi-,3.13,0.04,0.31,0.3736,0.5,-0.005626680291255739,0.0118,z
30,pi-,3.02,0.041,0.28,0.4446,0.52,-0.004960538082081146,0.0109,z
31,pi-,2.81,0.042,0.25,0.5643,0.54,-0.0006997175897333567,0.013,z
32,pi-,2.51,0.042,0.22,0.7171,0.52,0.011095552907249189,0.019,z
33,pi-,2.21,0.041,0.19,0.8794,0.43,0.015715607490646512,0.0247,z
34,pi-,1.24,0.006453,0.65,0.29,0.54,0.0008001435486715844,0.0159,x
35,pi-,1.46,0.01057,0.47,0.32,0.52,-0.0009629428198788345,0.0104,x
36,pi-,1.68,0.01641,0.35,0.35,0.49,-0.0016486508097283295,0.0088,x
37,pi-,2.02,0.02552,0.27,0.37,0.46,-0.0030175644590360456,0.0079,x
38,pi-,2.82,0.03964,0.24,0.38,0.45,-0.005148379446140615,0.0089,x
39,pi-,4.59,0.06247,0.25,0.38,0.45,-0.009585097896655582,0.0113,x
40,pi-,7.42,0.1004,0.25,0.36,0.46,-0.01596752373256531,0.0153,x
41,pi-,11.9,0.1607,0.25,0.36,0.47,-0.01623211105356601,0.0232,x
42,pi-,23.9,0.2781,0.28,0.35,0.51,-0.008838577040068723,0.0411,x
43,pi-,3.05,0.041,0.29,0.35,0.1545,-0.0011781531830736506,0.0112,phT
44,pi-,3.0,0.04,0.3,0.35,0.252,-0.0020207793351705162,0.0092,phT
45,pi-,3.01,0.039,0.31,0.35,0.3497,-0.002937830831242569,0.0089,phT
46,pi-,3.08,0.039,0.32,0.35,0.4483,-0.003770212620157352,0.0095,phT
47,pi-,3.15,0.038,0.33,0.35,0.5475,-0.00480715373592108,0.0109,phT
48,pi-,3.23,0.038,0.34,0.36,0.668,-0.006438153107673545,0.0109,phT
49,pi-,3.29,0.037,0.35,0.38,0.8168,-0.009603066077348807,0.0149,phT
50,pi-,3.42,0.036,0.38,0.4,1.042,-0.014469295257957742,0.0159,phT
51,pi-,3.83,0.035,0.43,0.42,1.554,-0.024667462872738008,0.0349,phT
52,k-,3.65,0.51,0.026,0.2248,0.51,-0.003210532252430806,0.023,z
53,k-,3.51,0.46,0.028,0.2743,0.53,-0.0031536997332208797,0.0242,z
54,k-,3.49,0.43,0.03,0.3242,0.54,-0.0027535174701915853,0.0256,z
55,k-,3.35,0.4,0.032,0.3742,0.56,-0.0012766050069626688,0.0297,z
56,k-,3.13,0.35,0.034,0.4454,0.56,0.0053608624013046025,0.0251,z
57,k-,2.85,0.29,0.037,0.5641,0.57,0.022306245161700232,0.0291,z
58,k-,2.68,0.25,0.04,0.7111,0.6,0.046686906098042213,0.0487,z
59,k-,2.45,0.23,0.039,0.8679,0.55,0.04896055855424822,0.0868,z
60,k-,1.25,0.006431,0.66,0.3,0.57,0.006152406953611143,0.0319,x
61,k-,1.51,0.01051,0.48,0.34,0.56,-0.0005219954385433245,0.0226,x
