,hadron,Q2,x,y,z,phT,Siv,tot_err,1D_dependence
0,pi+,1.29,0.036,0.702,0.336,0.486,0.006404285229118229,0.00875557,x
1,pi+,1.64,0.056,0.567,0.356,0.408,0.01754097672748337,0.007397973,x
2,pi+,1.98,0.074,0.516,0.366,0.375,0.027066409701928626,0.008782369,x
3,pi+,2.34,0.093,0.489,0.374,0.358,0.035449052235872726,0.007749194,x
4,pi+,2.34,0.093,0.489,0.374,0.358,0.035449052235872726,0.007749194,x
5,pi+,2.87,0.118,0.469,0.379,0.348,0.04242287175804285,0.007595393,x
6,pi+,3.69,0.157,0.456,0.379,0.342,0.043569088371066475,0.007640026,x
7,pi+,5.71,0.254,0.437,0.375,0.343,0.02202758590557067,0.009352005,x
8,pi+,2.44,0.087,0.594,0.229,0.344,0.022539849651325692,0.005491812,z
9,pi+,2.46,0.094,0.556,0.289,0.371,0.03174414010340008,0.006020797,z
10,pi+,2.45,0.098,0.533,0.349,0.394,0.03966637757409938,0.007340981,z
11,pi+,2.45,0.1,0.52,0.413,0.418,0.04690927613176894,0.00813941,z
12,pi+,2.44,0.101,0.508,0.483,0.441,0.05290245170704247,0.011552056,z
13,pi+,2.44,0.101,0.508,0.483,0.441,0.05290245170704247,0.011552056,z
14,pi+,2.43,0.102,0.499,0.558,0.46,0.056344629387411777,0.012384668,z
15,pi+,2.41,0.104,0.481,0.647,0.466,0.056696224844519104,0.015425304,z
16,pi+,2.41,0.107,0.457,0.729,0.453,0.05383019196768339,0.021260292,z
17,pi+,2.35,0.108,0.434,0.798,0.433,0.04870681291266035,0.023052115,z
18,pi+,2.31,0.116,0.394,0.916,0.376,0.03948573413475227,0.021890866,z
19,pi+,2.56,0.11,0.46,0.341,0.11,0.012084054269609916,0.006911584,phT
20,pi+,2.56,0.108,0.489,0.35,0.211,0.02319955434336886,0.00741485,phT
21,pi+,2.52,0.103,0.514,0.354,0.28,0.02978311294326181,0.008372574,phT
22,pi+,2.46,0.097,0.54,0.355,0.345,0.03471358623011714,0.009291394,phT
23,pi+,2.46,0.097,0.54,0.355,0.345,0.03471358623011714,0.009291394,phT
24,pi+,2.39,0.09,0.57,0.356,0.446,0.04141196819112269,0.009700515,phT
25,pi+,2.34,0.084,0.601,0.373,0.594,0.05204875223676149,0.012816006,phT
26,pi+,2.3,0.076,0.642,0.429,0.849,0.07005140808700508,0.010870603,phT
27,pi0,1.3,0.036,0.712,0.325,0.492,0.001934322564493499,0.036200829,x
28,pi0,1.72,0.056,0.597,0.352,0.406,0.010192448981505802,0.031942761,x
29,pi0,2.14,0.074,0.558,0.366,0.374,0.01769481730214537,0.035141144,x
30,pi0,2.58,0.093,0.538,0.372,0.353,0.023916003842046986,0.030734996,x
31,pi0,2.58,0.093,0.538,0.372,0.353,0.023916003842046986,0.030734996,x
32,pi0,3.19,0.118,0.522,0.378,0.338,0.029359338693611296,0.031110288,x
33,pi0,4.1,0.156,0.507,0.38,0.323,0.030314990002558502,0.02973096,x
34,pi0,6.14,0.249,0.479,0.386,0.326,0.015809251059584528,0.033160217,x
35,pi0,2.45,0.078,0.648,0.229,0.337,0.014728427752806954,0.034340646,z
36,pi0,2.49,0.085,0.609,0.289,0.372,0.020809324399987495,0.031331294,z
37,pi0,2.52,0.09,0.581,0.348,0.401,0.025700682666483274,0.030972569,z
38,pi0,2.53,0.095,0.558,0.413,0.427,0.02992314275601299,0.030304125,z
39,pi0,2.55,0.099,0.537,0.483,0.45,0.032816154387865434,0.031590505,z
40,pi0,2.55,0.099,0.537,0.483,0.45,0.032816154387865434,0.031590505,z
41,pi0,2.57,0.102,0.517,0.557,0.469,0.03445714752034796,0.032557641,z
42,pi0,2.59,0.106,0.496,0.645,0.483,0.03543661433755479,0.03246244,z
43,pi0,2.61,0.112,0.472,0.728,0.494,0.0365151283128876,0.043488504,z
44,pi0,2.66,0.116,0.457,0.796,0.488,0.03585938067788526,0.043887698,z
45,pi0,2.56,0.121,0.418,0.908,0.478,0.03394693528683292,0.049152213,z
46,pi0,2.82,0.114,0.481,0.338,0.111,0.00918167000537263,0.032318725,phT
47,pi0,2.69,0.103,0.529,0.34,0.211,0.015900069381873622,0.03242607,phT
48,pi0,2.59,0.095,0.563,0.343,0.28,0.01923409354437482,0.03375574,phT
49,pi0,2.49,0.088,0.591,0.347,0.345,0.021398279870220596,0.033147096,phT
50,pi0,2.49,0.088,0.591,0.347,0.345,0.021398279870220596,0.033147096,phT
51,pi0,2.39,0.081,0.624,0.353,0.446,0.02438917499917043,0.027658814,phT
