,hadron,1D_dependence,z,QQ,sbar,ubar,dbar,d,u,s
78,k+,z,0.2249,3.97,0.7770530420078003,-0.21285735885799908,-0.21285695615683708,-0.21285695615683708,0.7770530420078003,-0.21285735885799908
79,k+,z,0.2747,4.0,0.6479339859958541,-0.140709922366753,-0.14070987590405626,-0.14070987590405626,0.6479339859958541,-0.140709922366753
80,k+,z,0.3245,3.92,0.5074245037414293,-0.07792014932678822,-0.0779201720229582,-0.0779201720229582,0.5074245037414293,-0.07792014932678822
81,k+,z,0.3742,3.87,0.37779498160277764,-0.033769901148836774,-0.03376992476255306,-0.03376992476255306,0.37779498160277764,-0.033769901148836774
82,k+,z,0.4463,3.74,0.23351013687563282,0.010553506269216775,0.010553495482122933,0.010553495482122933,0.23351013687563282,0.010553506269216775
83,k+,z,0.5659,3.44,0.09268238048489627,0.04096303705916112,0.04096303603390206,0.04096303603390206,0.09268238048489627,0.04096303705916112
84,k+,z,0.7142,3.25,0.022823779215416746,0.036028902579958076,0.03602890257997224,0.03602890257997224,0.022823779215416746,0.036028902579958076
85,k+,z,0.8732,2.93,0.00258202999347789,0.013049338136425009,0.013049338136425009,0.013049338136425009,0.00258202999347789,0.013049338136425009
86,k+,x,0.3,1.24,0.671912982721151,-0.18857654931912135,-0.18857654931912135,-0.18857654931912135,0.671912982721151,-0.18857654931912135
87,k+,x,0.35,1.49,0.5049549599981159,-0.10679305291160832,-0.10679306501466627,-0.10679306501466627,0.5049549599981159,-0.10679305291160832
88,k+,x,0.39,1.82,0.38543837378387025,-0.05195570158051077,-0.05195571556235807,-0.05195571556235807,0.38543837378387025,-0.05195570158051077
89,k+,x,0.44,2.39,0.2637467219259163,-0.0034803319569028353,-0.003480342045259549,-0.003480342045259549,0.2637467219259163,-0.0034803319569028353
90,k+,x,0.46,3.61,0.21270270966778798,0.015782048733565847,0.015782040100428208,0.015782040100428208,0.21270270966778798,0.015782048733565847
91,k+,x,0.45,5.74,0.21208861117193922,0.018898281621861007,0.01889827068116502,0.01889827068116502,0.21208861117193922,0.018898281621861007
92,k+,x,0.45,9.1,0.19773060182723845,0.023948043120009765,0.023948032182033854,0.023948032182033854,0.19773060182723845,0.023948043120009765
93,k+,x,0.45,14.5,0.1850127678941087,0.027501558964386195,0.0275015474710784,0.0275015474710784,0.1850127678941087,0.027501558964386195
94,k+,x,0.44,28.7,0.18258228412656521,0.02870864483825393,0.028708632295583604,0.028708632295583604,0.18258228412656521,0.02870864483825393
95,k+,phT,0.39,3.75,0.3431149637690534,-0.02257210917732867,-0.02257213017533531,-0.02257213017533531,0.3431149637690534,-0.02257210917732867
96,k+,phT,0.39,3.75,0.3431149637690534,-0.02257210917732867,-0.02257213017533531,-0.02257213017533531,0.3431149637690534,-0.02257210917732867
97,k+,phT,0.39,3.77,0.34284288551649833,-0.022408270348736707,-0.022408291371284448,-0.022408291371284448,0.34284288551649833,-0.022408270348736707
98,k+,phT,0.4,3.77,0.3211024236947332,-0.015336130738928228,-0.015336149595126266,-0.015336149595126266,0.3211024236947332,-0.015336130738928228
99,k+,phT,0.41,3.76,0.30044032182610475,-0.008855356233067394,-0.008855373194387325,-0.008855373194387325,0.30044032182610475,-0.008855356233067394
100,k+,phT,0.42,3.68,0.2816138461677752,-0.003348952934951321,-0.0033489680157258823,-0.0033489680157258823,0.2816138461677752,-0.003348952934951321
101,k+,phT,0.43,3.71,0.2624271164408303,0.002399115077871451,0.0023991015552964567,0.0023991015552964567,0.2624271164408303,0.002399115077871451
102,k+,phT,0.44,3.75,0.24414615654820235,0.007666701079657736,0.007666689185192105,0.007666689185192105,0.24414615654820235,0.007666701079657736
103,k+,phT,0.44,4.12,0.24041474929192488,0.009513596871515392,0.00951358472490465,0.00951358472490465,0.24041474929192488,0.009513596871515392
