,hadron,1D_dependence,x,z,phT,QQ,sbar,ubar,dbar,d,u,s
0,pi+,x,0.036,0.336,0.486,1.29,0.05719923590994664,0.14020750066476687,0.16791009457530923,0.33029736783971225,0.41188437441903203,0.05719923590994664
1,pi+,x,0.056,0.356,0.408,1.64,0.062245674490124005,0.13909849794756815,0.17450025675344627,0.3976064812502297,0.5245032601549934,0.062245674490124005
2,pi+,x,0.074,0.366,0.375,1.98,0.059713602044923396,0.12442259756430861,0.163921575150395,0.4214102803611282,0.5838813284547809,0.059713602044923396
3,pi+,x,0.093,0.374,0.358,2.34,0.05419072282668457,0.10604159565498049,0.14919039591583025,0.4326016983449133,0.6287643723922597,0.05419072282668457
4,pi+,x,0.093,0.374,0.358,2.34,0.05419072282668457,0.10604159565498049,0.14919039591583025,0.4326016983449133,0.6287643723922597,0.05419072282668457
5,pi+,x,0.118,0.379,0.348,2.87,0.04570000116788128,0.08281923231290879,0.12795864621835787,0.43219863326632285,0.6676078904196737,0.04570000116788128
6,pi+,x,0.157,0.379,0.342,3.69,0.03325411939910686,0.05516644218656433,0.09496265969061587,0.408673531610029,0.6949814492010656,0.03325411939910686
7,pi+,x,0.254,0.375,0.343,5.71,0.013379477838746476,0.023061514824672207,0.03405020221090046,0.29863018527184265,0.6420760970006093,0.013379477838746476
8,pi+,z,0.087,0.229,0.344,2.44,0.05701982638609107,0.1120761353614568,0.154049689379818,0.43041448702275364,0.6179852300762665,0.05701982638609107
9,pi+,z,0.094,0.289,0.371,2.46,0.05419901556885471,0.10507078968487277,0.1482853543869575,0.43276039823214185,0.6312834604259124,0.05419901556885471
10,pi+,z,0.098,0.349,0.394,2.45,0.052563716828354756,0.10119096486719696,0.14503339928345962,0.43371063123663994,0.6382044730039415,0.052563716828354756
11,pi+,z,0.1,0.413,0.418,2.45,0.0517733311717524,0.09927654813820169,0.14341146975746294,0.43408532490590945,0.6415603323605714,0.0517733311717524
12,pi+,z,0.101,0.483,0.441,2.44,0.05135336973507834,0.098329413166522,0.14261729298904346,0.43427815935219316,0.6431707057697389,0.05135336973507834
13,pi+,z,0.101,0.483,0.441,2.44,0.05135336973507834,0.098329413166522,0.14261729298904346,0.43427815935219316,0.6431707057697389,0.05135336973507834
14,pi+,z,0.102,0.558,0.46,2.43,0.050936538278027424,0.09738843571576804,0.14182610367137666,0.4344596789352726,0.6447645957156769,0.050936538278027424
15,pi+,z,0.104,0.647,0.466,2.41,0.05011250409114518,0.09552701247657962,0.14025225433217417,0.434787252044448,0.6479023130963605,0.05011250409114518
16,pi+,z,0.107,0.729,0.453,2.41,0.048975559497309404,0.09277494566943906,0.1378508104985083,0.43506092263695806,0.6525489863751356,0.048975559497309404
17,pi+,z,0.108,0.798,0.433,2.35,0.0484545941340699,0.0919118468854759,0.13717829821306093,0.43537928969503803,0.6539325483646813,0.0484545941340699
18,pi+,z,0.116,0.916,0.376,2.31,0.04547876111721339,0.08498103836629732,0.13096258220756174,0.4356318531040353,0.66539786148148,0.04547876111721339
19,pi+,phT,0.11,0.341,0.11,2.56,0.0481822178335912,0.08998986906161324,0.13513142069547912,0.43448428740988065,0.6571771604442326,0.0481822178335912
20,pi+,phT,0.108,0.35,0.211,2.56,0.0489395530836274,0.09177831117378578,0.13674853593004713,0.434482730538948,0.6543071686855959,0.0489395530836274
21,pi+,phT,0.103,0.354,0.28,2.52,0.05078065593309065,0.0964100591456547,0.1408735996239881,0.4343069183252875,0.6466415021089851,0.05078065593309065
22,pi+,phT,0.097,0.355,0.345,2.46,0.052991642441731934,0.10215201204869649,0.14583533633550774,0.43348216058729366,0.6365415889191645,0.052991642441731934
23,pi+,phT,0.097,0.355,0.345,2.46,0.052991642441731934,0.10215201204869649,0.14583533633550774,0.43348216058729366,0.6365415889191645,0.052991642441731934
24,pi+,phT,0.09,0.356,0.446,2.39,0.055586058230604266,0.10902802418715173,0.15159731536363266,0.43155369945703964,0.623452379006968,0.055586058230604266
25,pi+,phT,0.084,0.373,0.594,2.34,0.05785675068644559,0.11504499162160828,0.15650370368711117,0.4290248618567034,0.6111220836906676,0.05785675068644559
26,pi+,phT,0.076,0.429,0.849,2.3,0.0610345813506248,0.12319656592626782,0.1630410644835961,0.424420626237757,0.5931800654091219,0.0610345813506248
27,pi0,x,0.036,0.325,0.492,1.3,0.057528895636719604,0.14080221303793178,0.16860413295640367,0.331601865686836,0.41353420585137496,0.057528895636719604
28,pi0,x,0.056,0.352,0.406,1.72,0.06335403651611808,0.13988855753555957,0.17534080861977566,0.39916676817495117,0.5271066555467784,0.06335403651611808
29,pi0,x,0.074,0.366,0.374,2.14,0.06087299077458858,0.12487615488432566,0.16433802085243943,0.4223146409562609,0.5863492413690039,0.06087299077458858
30,pi0,x,0.093,0.372,0.353,2.58,0.05498644009967457,0.1060666489530297,0.14901704489878637,0.43235046523171333,0.630118430317735,0.05498644009967457
31,pi0,x,0.093,0.372,0.353,2.58,0.05498644009967457,0.1060666489530297,0.14901704489878637,0.43235046523171333,0.630118430317735,0.05498644009967457
32,pi0,x,0.118,0.378,0.338,3.19,0.04608942745114952,0.08257964626052404,0.12727582612333724,0.43059348068660847,0.6672132198451954,0.04608942745114952
33,pi0,x,0.156,0.38,0.323,4.1,0.03363974557488204,0.05545200513125198,0.09482355152267707,0.40655866092942666,0.6919895815593828,0.03363974557488204
34,pi0,x,0.249,0.386,0.326,6.14,0.014029524675889618,0.023849266455311154,0.03577565920918437,0.3017442152966842,0.6429468438844622,0.014029524675889618
35,pi0,z,0.078,0.229,0.337,2.45,0.06094038935836031,0.12136354745388461,0.16157440668535597,0.42610843716611757,0.5993061202769376,0.06094038935836031
36,pi0,z,0.085,0.289,0.372,2.49,0.058063225353424,0.11414743980084296,0.1557144000284766,0.42962440920503736,0.6143858949139014,0.058063225353424
37,pi0,z,0.09,0.348,0.401,2.52,0.05605004870535849,0.10906900040773962,0.15154445405335343,0.4315071470658986,0.6242904244494797,0.05605004870535849
38,pi0,z,0.095,0.413,0.427,2.53,0.054009386593999634,0.104088522376532,0.14740303356322237,0.432914444563845,0.6334071113165183,0.054009386593999634
39,pi0,z,0.099,0.483,0.45,2.55,0.052445590513115516,0.10020611301542012,0.1440929966419365,0.43366817177580314,0.6402822410573078,0.052445590513115516
40,pi0,z,0.099,0.483,0.45,2.55,0.052445590513115516,0.10020611301542012,0.1440929966419365,0.43366817177580314,0.6402822410573078,0.052445590513115516
41,pi0,z,0.102,0.557,0.469,2.57,0.051298291758167226,0.0973326749000778,0.141609897743405,0.43403969847613805,0.6452042124901967,0.051298291758167226
42,pi0,z,0.106,0.645,0.483,2.59,0.0497739297812275,0.09358389907877537,0.13831522202109378,0.43430027100957097,0.6514077751938712,0.0497739297812275
43,pi0,z,0.112,0.728,0.494,2.61,0.047528213644573526,0.0881876244309249,0.133408633343682,0.43418873910982386,0.659998354256109,0.047528213644573526
44,pi0,z,0.116,0.796,0.488,2.66,0.046129713410843695,0.0846823074348331,0.13006610033445157,0.433611210405281,0.6653051945725164,0.046129713410843695
45,pi0,z,0.121,0.908,0.478,2.56,0.044171504386851516,0.08060370501282055,0.1263176507349556,0.43349606437640736,0.6716479107979982,0.044171504386851516
46,pi0,phT,0.114,0.338,0.111,2.82,0.04712859309824787,0.08628373269694511,0.13133091017743914,0.433021409233447,0.662663361971133,0.04712859309824787
47,pi0,phT,0.103,0.34,0.211,2.69,0.051178125747412,0.09633479164531458,0.14060613851425485,0.4337738790782018,0.6470741144091489,0.051178125747412
48,pi0,phT,0.095,0.343,0.28,2.59,0.054185444019839234,0.1040852655413674,0.14734800116614571,0.4328223846736673,0.6336854528170824,0.054185444019839234
49,pi0,phT,0.088,0.347,0.345,2.49,0.05678672498607898,0.11108517485943062,0.15321454471770538,0.4308106611018707,0.6202885985983198,0.05678672498607898
50,pi0,phT,0.088,0.347,0.345,2.49,0.05678672498607898,0.11108517485943062,0.15321454471770538,0.4308106611018707,0.6202885985983198,0.05678672498607898
51,pi0,phT,0.081,0.353,0.446,2.39,0.059351540140779625,0.11816445629834588,0.1590071978553385,0.4276116182122375,0.6052620829327992,0.059351540140779625
52,pi0,phT,0.074,0.371,0.595,2.3,0.061893043804693515,0.12526627670031892,0.16469039048602394,0.4230810772263969,0.5885014129973719,0.061893043804693515
53,pi0,phT,0.071,0.428,0.849,2.27,0.06299843435157221,0.12829387521240118,0.167094086309278,0.42075531229473484,0.5808523617400013,0.06299843435157221
54,pi-,x,0.036,0.33,0.481,1.29,0.05719923590994664,0.14020750066476687,0.16791009457530923,0.33029736783971225,0.41188437441903203,0.05719923590994664
55,pi-,x,0.056,0.35,0.402,1.64,0.062245674490124005,0.13909849794756815,0.17450025675344627,0.3976064812502297,0.5245032601549934,0.062245674490124005
56,pi-,x,0.074,0.359,0.369,1.98,0.059713602044923396,0.12442259756430861,0.163921575150395,0.4214102803611282,0.5838813284547809,0.059713602044923396
57,pi-,x,0.093,0.366,0.354,2.33,0.0541542491400127,0.10603995144937269,0.1491974424617517,0.43261109665160724,0.6287006720383682,0.0541542491400127
58,pi-,x,0.093,0.366,0.354,2.33,0.0541542491400127,0.10603995144937269,0.1491974424617517,0.43261109665160724,0.6287006720383682,0.0541542491400127
59,pi-,x,0.118,0.369,0.348,2.86,0.04568658339063779,0.0828271193549497,0.1279813755155619,0.43225175681461586,0.6676194983110387,0.04568658339063779
60,pi-,x,0.156,0.369,0.342,3.66,0.0335411120167267,0.05574077147339904,0.0957973437518612,0.40959463680544833,0.6947568043783116,0.0335411120167267
61,pi-,x,0.253,0.364,0.349,5.66,0.01351430128793581,0.023252105078729882,0.034503935764312745,0.30004939800576524,0.6435736574101789,0.01351430128793581
62,pi-,z,0.084,0.229,0.35,2.39,0.05807673450984607,0.11508993290117439,0.156521772926951,0.4290880397277282,0.611556674574446,0.05807673450984607
63,pi-,z,0.091,0.289,0.379,2.38,0.05514134435002708,0.10802700324112638,0.15078685079140347,0.4319103881174272,0.6252849275357767,0.05514134435002708
64,pi-,z,0.094,0.348,0.403,2.36,0.05386361229657856,0.10506500847531446,0.14836758648178944,0.4328849559736068,0.630720349248504,0.05386361229657856
65,pi-,z,0.097,0.413,0.422,2.37,0.05271182373240217,0.10216371396296137,0.14593630797147544,0.43365612423122407,0.6361095196977345,0.05271182373240217
66,pi-,z,0.098,0.483,0.437,2.35,0.052256669437136735,0.10120931274173743,0.14515551458121195,0.4339262856352503,0.6377436303375279,0.052256669437136735
67,pi-,z,0.098,0.483,0.437,2.35,0.052256669437136735,0.10120931274173743,0.14515551458121195,0.4339262856352503,0.6377436303375279,0.052256669437136735
68,pi-,z,0.098,0.558,0.449,2.31,0.052126417791935276,0.10121577979946791,0.14520483746048946,0.4340117593863079,0.6375433364561757,0.052126417791935276
69,pi-,z,0.099,0.646,0.438,2.27,0.051608110251027586,0.10027254370867195,0.14446026117288857,0.4343324782285777,0.6390684225274585,0.051608110251027586
70,pi-,z,0.099,0.729,0.416,2.19,0.051326643461311175,0.1002866827693084,0.14456818992299522,0.43451788400899766,0.6386298932303708,0.051326643461311175
71,pi-,z,0.101,0.798,0.389,2.15,0.05043736610487072,0.09842106683419585,0.143063798117378,0.4350991431227165,0.6418791965305506,0.05043736610487072
72,pi-,z,0.104,0.906,0.338,2.08,0.049095455389039255,0.09568015338226059,0.14086616516670405,0.43596706809374025,0.646619556796013,0.049095455389039255
73,pi-,phT,0.107,0.337,0.11,2.48,0.04914224580204883,0.09273286378695264,0.13771238333810643,0.43477550630858175,0.6526933285575075,0.04914224580204883
74,pi-,phT,0.103,0.345,0.211,2.47,0.05065420835802499,0.09643214130084145,0.14095504491513458,0.434467400896959,0.6464963455709359,0.05065420835802499
75,pi-,phT,0.098,0.35,0.28,2.43,0.052504178751859885,0.10119482469119749,0.1450576477640551,0.4337538270002028,0.6381162129846732,0.052504178751859885
76,pi-,phT,0.092,0.349,0.345,2.36,0.05466381858925171,0.10703022945834025,0.14998587982175743,0.4322608040588671,0.62703299474349,0.05466381858925171
77,pi-,phT,0.092,0.349,0.345,2.36,0.05466381858925171,0.10703022945834025,0.14998587982175743,0.4322608040588671,0.62703299474349,0.05466381858925171
78,pi-,phT,0.086,0.347,0.446,2.3,0.05685415200717863,0.11299368331068231,0.15486235547128116,0.4299017488878922,0.6148686406600268,0.05685415200717863
79,pi-,phT,0.081,0.359,0.594,2.28,0.05881713481351881,0.11802592159941826,0.15891756286923997,0.42737343489728696,0.6041764478804786,0.05881713481351881
80,pi-,phT,0.076,0.409,0.846,2.26,0.060804228909631025,0.12311672651853368,0.16297305763524125,0.4242668538988944,0.5926984210954128,0.060804228909631025
81,k+,x,0.036,0.363,0.527,1.29,0.05719923590994664,0.14020750066476687,0.16791009457530923,0.33029736783971225,0.41188437441903203,0.05719923590994664
82,k+,x,0.056,0.384,0.436,1.65,0.062394203661468806,0.13922491497509126,0.1746404150387019,0.3978823703422676,0.524933983108488,0.062394203661468806
83,k+,x,0.074,0.392,0.398,2.01,0.05994107686575223,0.12451208586735209,0.16400406734633746,0.4215893533432912,0.5843666097079399,0.05994107686575223
84,k+,x,0.093,0.401,0.378,2.39,0.05436844495482062,0.10604890436553967,0.14915478665763043,0.4325529026207089,0.6290724404853589,0.05436844495482062
85,k+,x,0.093,0.401,0.378,2.39,0.05436844495482062,0.10604890436553967,0.14915478665763043,0.4325529026207089,0.6290724404853589,0.05436844495482062
86,k+,x,0.118,0.404,0.366,2.93,0.04577875341481889,0.08277243860511425,0.1278241516284395,0.4318838581998616,0.6675370540556601,0.04577875341481889
87,k+,x,0.157,0.408,0.358,3.79,0.033277720280016465,0.05509836106940956,0.094730157165389,0.4079456610274656,0.6943162362037604,0.033277720280016465
