,hadron,Q2,x,y,z,phT,Siv,tot_err,1D_dependence
0,pi+,1.24,0.0065,0.65,0.285,0.54,-0.0035708321492268135,0.0117,x
1,pi+,1.47,0.0106,0.47,0.321,0.52,-0.0031126579251056588,0.0074,x
2,pi+,1.72,0.0164,0.36,0.347,0.51,-0.001894427389833005,0.0061,x
3,pi+,2.05,0.0257,0.27,0.363,0.49,0.001567604651671059,0.0053,x
4,pi+,2.71,0.0399,0.23,0.37,0.48,0.009728971645123765,0.0055,x
5,pi+,4.22,0.0628,0.23,0.367,0.48,0.026875263558106426,0.0063,x
6,pi+,6.68,0.1009,0.22,0.365,0.48,0.05184925370991274,0.0075,x
7,pi+,10.54,0.1621,0.22,0.362,0.48,0.05985767621861489,0.0096,x
8,pi+,21.02,0.2881,0.24,0.361,0.52,0.02165726972697729,0.0126,x
9,pi+,3.75,0.0467,0.33,0.223,0.45,0.008671450798267711,0.0044,z
10,pi+,3.75,0.0483,0.32,0.274,0.47,0.01201169542284733,0.0053,z
11,pi+,3.72,0.0498,0.31,0.324,0.5,0.015844870145199544,0.0063,z
12,pi+,3.68,0.0511,0.29,0.374,0.52,0.01956534916636466,0.0074,z
13,pi+,3.58,0.0527,0.27,0.445,0.54,0.02443256409162405,0.0067,z
14,pi+,3.4,0.0545,0.24,0.565,0.57,0.02949814150667272,0.0077,z
15,pi+,3.1,0.0548,0.21,0.716,0.56,0.027801029025251972,0.0113,z
16,pi+,2.71,0.0527,0.19,0.878,0.47,0.018450777054110436,0.0152,z
17,pi+,3.57,0.052,0.28,0.346,0.15,0.005514483598524788,0.0072,phT
18,pi+,3.52,0.051,0.28,0.344,0.25,0.008764321364061153,0.006,phT
19,pi+,3.48,0.0497,0.29,0.344,0.35,0.011575747980650168,0.0056,phT
20,pi+,3.55,0.0495,0.3,0.344,0.45,0.014755059133714473,0.0059,phT
21,pi+,3.62,0.0493,0.3,0.35,0.55,0.018127772439847433,0.0066,phT
22,pi+,3.71,0.0489,0.31,0.363,0.67,0.022338808710132742,0.0066,phT
23,pi+,3.84,0.0487,0.32,0.382,0.82,0.02826414116977725,0.0087,phT
24,pi+,4.06,0.0486,0.34,0.404,1.04,0.03735201194207191,0.0091,phT
25,pi+,4.77,0.0492,0.39,0.415,1.56,0.05891818249562687,0.0186,phT
26,pi-,1.24,0.0064,0.65,0.285,0.54,-0.004286641575191762,0.0115,x
27,pi-,1.48,0.0106,0.48,0.32,0.52,-0.004811174631936349,0.0075,x
28,pi-,1.73,0.0164,0.36,0.344,0.5,-0.005363184771234316,0.0063,x
29,pi-,2.05,0.0257,0.27,0.358,0.49,-0.005710536824168203,0.0054,x
30,pi-,2.72,0.0398,0.23,0.365,0.48,-0.004530017304460134,0.0057,x
31,pi-,4.22,0.0627,0.23,0.359,0.48,0.0013157203074335834,0.0068,x
32,pi-,6.66,0.1007,0.22,0.353,0.48,0.01268110164221819,0.0083,x
33,pi-,10.54,0.1619,0.22,0.349,0.48,0.01782595138978184,0.0109,x
34,pi-,20.85,0.2873,0.24,0.345,0.51,0.00019441575897521937,0.0147,x
35,pi-,3.61,0.0447,0.34,0.223,0.45,0.0013463887162548705,0.0045,z
36,pi-,3.58,0.0458,0.33,0.273,0.48,0.0004936756989387857,0.0054,z
37,pi-,3.52,0.0468,0.31,0.323,0.5,-0.0011111448316553666,0.0065,z
38,pi-,3.45,0.0475,0.3,0.373,0.52,-0.0039037409661831497,0.0078,z
39,pi-,3.34,0.0488,0.27,0.444,0.54,-0.009783740334830008,0.0071,z
40,pi-,3.11,0.0499,0.24,0.564,0.55,-0.018244726033016193,0.0086,z
41,pi-,2.77,0.0491,0.21,0.716,0.53,-0.018739156582414693,0.0127,z
42,pi-,2.43,0.0473,0.19,0.879,0.43,-0.009390115834933646,0.0168,z
43,pi-,3.38,0.0487,0.28,0.346,0.15,-0.0005350381295717054,0.0075,phT
44,pi-,3.32,0.0477,0.29,0.344,0.25,-0.0009688802673362792,0.0062,phT
45,pi-,3.29,0.0464,0.29,0.342,0.35,-0.0015209082018337544,0.0058,phT
46,pi-,3.36,0.0464,0.3,0.34,0.45,-0.0018647811906262273,0.0062,phT
47,pi-,3.46,0.0464,0.31,0.342,0.55,-0.0024002904392275625,0.0069,phT
48,pi-,3.53,0.0461,0.32,0.351,0.67,-0.00367693333643166,0.0069,phT
49,pi-,3.65,0.0458,0.33,0.366,0.82,-0.006047810884858723,0.0092,phT
50,pi-,3.83,0.0452,0.34,0.386,1.04,-0.010627241358108485,0.0096,phT
51,pi-,4.34,0.0442,0.4,0.4,1.56,-0.019509755998757736,0.0197,phT
52,k-,1.24,0.0065,0.65,0.296,0.64,-0.0035459844785538284,0.0295,x
53,k-,1.49,0.0105,0.48,0.341,0.59,-0.003342650376899372,0.0183,x
54,k-,1.88,0.0163,0.39,0.375,0.57,-0.0029559255033317186,0.0168,x
55,k-,2.57,0.0253,0.34,0.405,0.56,-0.0012391802479990717,0.0169,x
56,k-,3.83,0.0398,0.33,0.42,0.56,0.0057392628178203195,0.0202,x
57,k-,5.91,0.0626,0.32,0.418,0.56,0.023406753465853445,0.0245,x
58,k-,9.32,0.1002,0.31,0.418,0.56,0.04914228893621491,0.0315,x
59,k-,15.09,0.1613,0.31,0.411,0.56,0.05117297371267751,0.0439,x
60,k-,29.47,0.2984,0.33,0.4,0.61,0.010377543148628779,0.0571,x
61,k-,4.12,0.0292,0.51,0.225,0.55,0.005432241842459928,0.0175,z
62,k-,3.97,0.0323,0.46,0.274,0.56,0.004111008423182471,0.0184,z
63,k-,3.85,0.035,0.41,0.324,0.57,0.004111831788061091,0.02,z
64,k-,3.69,0.0372,0.37,0.374,0.58,0.0047429565596814275,0.0222,z
65,k-,3.45,0.0397,0.33,0.446,0.58,0.005573709878342459,0.0185,z
66,k-,3.14,0.0428,0.28,0.564,0.58,0.006859088853404069,0.0205,z
67,k-,3.04,0.0462,0.24,0.712,0.62,0.00887746242796487,0.0347,z
68,k-,2.92,0.0459,0.24,0.869,0.56,0.007042980357929898,0.0596,z
69,k-,3.55,0.0364,0.36,0.394,0.15,0.001040732253344484,0.0249,phT
70,k-,3.68,0.0371,0.38,0.381,0.25,0.0019841147651395363,0.0217,phT
71,k-,3.67,0.0367,0.39,0.376,0.35,0.0026682733652814293,0.0206,phT
72,k-,3.66,0.0364,0.39,0.375,0.45,0.0033032333935646553,0.0207,phT
73,k-,3.68,0.0363,0.39,0.376,0.55,0.003979667241437948,0.0218,phT
74,k-,3.67,0.0361,0.4,0.382,0.67,0.004638514347803991,0.0201,phT
75,k-,3.69,0.0359,0.4,0.39,0.82,0.0054112014880746805,0.0247,phT
76,k-,3.75,0.0356,0.41,0.398,1.06,0.006578587226529434,0.0231,phT
77,k-,4.03,0.0349,0.45,0.402,1.59,0.008889731638679189,0.0409,phT
78,k+,4.51,0.0324,0.5,0.225,0.55,0.0003966964059644458,0.0155,z
79,k+,4.49,0.0372,0.45,0.275,0.56,0.0008576721233359974,0.0156,z
80,k+,4.46,0.0417,0.4,0.324,0.57,0.0023534555106896836,0.0164,z
