,hadron,1D_dependence,z,QQ,sbar,ubar,dbar,d,u,s
0,pi+,x,0.336,1.281,0.2311889494587311,0.19189720573942623,0.3702026805422304,0.19187700843186384,0.36847919135388935,0.2311889494587311
1,pi+,x,0.356,1.631,0.20519594081394676,0.1739490424883888,0.34649059410603184,0.173949943918616,0.34495408492437146,0.20519594081394676
2,pi+,x,0.367,2.017,0.19050705473526688,0.1633696817885709,0.33012446486255426,0.16336822063722772,0.3286831742036779,0.19050705473526688
3,pi+,x,0.376,2.467,0.17853457349013438,0.1545840179622525,0.31534160197048716,0.154582347546416,0.3139497935740918,0.17853457349013438
4,pi+,x,0.379,3.203,0.17124761784221454,0.14918249904732547,0.30439361408404986,0.14918382527730636,0.30311119426451694,0.17124761784221454
5,pi+,x,0.379,4.321,0.16616235876703583,0.14549872918491893,0.29549102615132483,0.145500919890044,0.2943013897793891,0.16616235876703583
6,pi+,x,0.375,6.179,0.16380493691759102,0.1439498152137512,0.28953633409283136,0.1439515293588623,0.28833132589951144,0.16380493691759102
7,pi+,z,0.234,2.423,0.3893643367453757,0.3155669918468506,0.48341623984800436,0.3155966174727076,0.4812752121396108,0.3893643367453757
8,pi+,z,0.303,2.428,0.2725589883190212,0.22891949952933185,0.39646311681387864,0.22891835210860517,0.39468384999699885,0.2725589883190212
9,pi+,z,0.373,2.425,0.18182688533119404,0.15719248568267577,0.318978844932548,0.15718969810171862,0.3175704779284392,0.18182688533119404
10,pi+,z,0.447,2.418,0.12223885347215149,0.10817951077916892,0.24527546240288625,0.10814617891909369,0.24420734512478007,0.12223885347215149
11,pi+,z,0.523,2.411,0.08519914378381058,0.07692745753364161,0.18750395985815635,0.07692528917945135,0.18669121083076934,0.08519914378381058
12,pi+,z,0.593,2.4,0.059966473868729324,0.055220599856348196,0.1518921307109841,0.05520750408231411,0.15124348544881877,0.059966473868729324
13,pi+,z,0.663,2.385,0.03866995669038854,0.0362896562303732,0.1279481459541653,0.036302112310659135,0.12740171259006366,0.03866995669038854
14,pi+,phT,0.341,2.533,0.21773864047237393,0.18618689577350786,0.3522286621946772,0.18618626993875662,0.3506943021595023,0.21773864047237393
15,pi+,phT,0.35,2.53,0.20651075027310345,0.17719804383085017,0.34217949060570824,0.17719731373373976,0.34068204572606214,0.20651075027310345
16,pi+,phT,0.355,2.486,0.20089398869838052,0.1726197770736496,0.3372235549151467,0.17261954165029134,0.335744053114765,0.20089398869838052
17,pi+,phT,0.355,2.415,0.20130236632944803,0.17282210941817794,0.33795649408519,0.17282187461977555,0.33647145627148406,0.20130236632944803
18,pi+,phT,0.36,2.342,0.196074979127325,0.1685007215236625,0.3334456436671008,0.1685006747613039,0.33197730126147224,0.196074979127325
19,pi+,phT,0.388,2.303,0.16782825583450348,0.14562660360460197,0.3046965324622161,0.14563716002447907,0.3033570839094818,0.16782825583450348
20,pi+,phT,0.453,2.262,0.11980776508713366,0.10607329927324954,0.2423730254295502,0.10603793436437511,0.24131498275116814,0.11980776508713366
