,hadron,1D_dependence,x,z,phT,QQ,sbar,ubar,dbar,d,u,s
0,pi+,x,0.0065,0.285,0.54,1.24,0.05222768189600567,0.15099754654811368,0.15907512046955818,0.2154909810295249,0.24621516470690044,0.05222768189600567
1,pi+,x,0.0106,0.321,0.52,1.47,0.06261892319262818,0.16317247180880304,0.17627090425298114,0.25905515748224245,0.3010851684664573,0.06261892319262818
2,pi+,x,0.0164,0.347,0.51,1.72,0.07271216883892433,0.17051914463093673,0.18940586306886684,0.3013077594384482,0.35633318278769543,0.07271216883892433
3,pi+,x,0.0257,0.363,0.49,2.05,0.07989956266828539,0.17152471314412124,0.197010598697329,0.3454727211997331,0.4200040986625051,0.07989956266828539
4,pi+,x,0.0399,0.37,0.48,2.71,0.08266331771537565,0.16481475532175105,0.1964305982123672,0.38952338536036035,0.495676302752464,0.08266331771537565
5,pi+,x,0.0628,0.367,0.48,4.22,0.07578876891008597,0.1415200057879437,0.17847779938657327,0.4223335424816345,0.5781436586479672,0.07578876891008597
6,pi+,x,0.1009,0.365,0.48,6.68,0.05623229956223257,0.09712220936192677,0.13878604369836364,0.4260653922093891,0.6466254887252179,0.05623229956223257
7,pi+,x,0.1621,0.362,0.48,10.54,0.03205897365950213,0.04998085239456481,0.0831305517346654,0.3783437345486976,0.6693705110224839,0.03205897365950213
8,pi+,x,0.2881,0.361,0.52,21.02,0.009107494752703931,0.01622802133595588,0.018528420586482294,0.2239132617004448,0.5327115260144442,0.009107494752703931
9,pi+,z,0.0467,0.223,0.45,3.75,0.08563254873210104,0.16183867913471112,0.19545326147414982,0.40787140596478244,0.5321400557014202,0.08563254873210104
10,pi+,z,0.0483,0.274,0.47,3.75,0.08439454729713898,0.1596476332488606,0.19363452142726156,0.4095015361793564,0.5368487235503706,0.08439454729713898
11,pi+,z,0.0498,0.324,0.5,3.72,0.08311032202890739,0.15751850959319919,0.19184048213664714,0.41079289659501184,0.5408897699967965,0.08311032202890739
12,pi+,z,0.0511,0.374,0.52,3.68,0.08195545278082271,0.15565478125814192,0.1902599647043279,0.4117935812737251,0.5441983554709564,0.08195545278082271
13,pi+,z,0.0527,0.445,0.54,3.58,0.08032133458529526,0.15323852530339668,0.18818474425507037,0.41270421947421343,0.5477094200038691,0.08032133458529526
14,pi+,z,0.0545,0.565,0.57,3.4,0.07819199679287066,0.1503674713494269,0.18569170943569183,0.4133161334739644,0.5508887540265657,0.07819199679287066
15,pi+,z,0.0548,0.716,0.56,3.1,0.0763637902777595,0.14898560728308372,0.18436045719957714,0.41181399177840705,0.5484898706792928,0.0763637902777595
16,pi+,z,0.0527,0.878,0.47,2.71,0.07502419118671323,0.14982888569822464,0.18470884885098776,0.40678217917845483,0.5373456918317524,0.07502419118671323
17,pi+,phT,0.052,0.346,0.15,3.57,0.08076183894387846,0.15411624330773424,0.1889107627235232,0.4120125376228447,0.5456618885981891,0.08076183894387846
18,pi+,phT,0.051,0.344,0.25,3.52,0.08120626156623116,0.15524810560755886,0.1898213252724402,0.4107800006410285,0.5423310599120649,0.08120626156623116
19,pi+,phT,0.0497,0.344,0.35,3.48,0.08190785924041893,0.1567954612081554,0.19107696434703822,0.4092466479937048,0.53815907863372,0.08190785924041893
20,pi+,phT,0.0495,0.344,0.45,3.55,0.08243833193547834,0.15731834794307625,0.19156070412216178,0.40948606325642206,0.5383175021249753,0.08243833193547834
21,pi+,phT,0.0493,0.35,0.55,3.62,0.08296168562212038,0.15783785436514364,0.19204085318482902,0.40971638235557534,0.5384576949261063,0.08296168562212038
22,pi+,phT,0.0489,0.363,0.67,3.71,0.08373220692512447,0.15869376511575284,0.19281366627634355,0.4098593466869666,0.5381989392172729,0.08373220692512447
23,pi+,phT,0.0487,0.382,0.82,3.84,0.08454342508474369,0.15941287879924657,0.19349731802862608,0.41041492443548405,0.5388730763203583,0.08454342508474369
24,pi+,phT,0.0486,0.404,1.04,4.06,0.08566829223572327,0.16026129361349392,0.1943379654229334,0.41150898162612626,0.5405710984014963,0.08566829223572327
25,pi+,phT,0.0492,0.415,1.56,4.77,0.0880250650768784,0.16131316764673684,0.1955559418576107,0.41522949637927437,0.5476535109608803,0.0880250650768784
26,pi-,x,0.0064,0.285,0.54,1.24,0.05225500926649722,0.1512085830865565,0.1591836584632323,0.2150618260556513,0.24557032285984956,0.05225500926649722
27,pi-,x,0.0106,0.32,0.52,1.48,0.06307383420559268,0.16380617982536913,0.17693840716578615,0.25993000392928184,0.30207388568897353,0.06307383420559268
28,pi-,x,0.0164,0.344,0.5,1.73,0.0730935666245238,0.17087530255195624,0.18977539830208645,0.30176571476690334,0.3568581292088809,0.0730935666245238
29,pi-,x,0.0257,0.358,0.49,2.05,0.07989956266828539,0.17152471314412124,0.197010598697329,0.3454727211997331,0.4200040986625051,0.07989956266828539
30,pi-,x,0.0398,0.365,0.48,2.72,0.08283288017768231,0.16501778107508427,0.19660656590064995,0.38949259840230166,0.49551004185947006,0.08283288017768231
31,pi-,x,0.0627,0.359,0.48,4.22,0.07585665795174575,0.1416490484411966,0.17858792058888537,0.4222798060477219,0.577913186396401,0.07585665795174575
32,pi-,x,0.1007,0.353,0.48,6.66,0.056326461507174616,0.09733434755220216,0.1389930085858537,0.4261462177955487,0.6464060836460616,0.056326461507174616
33,pi-,x,0.1619,0.349,0.48,10.54,0.032120157033521064,0.0500821985676763,0.08328110541993912,0.37853205019693836,0.6693866117785884,0.032120157033521064
34,pi-,x,0.2873,0.345,0.51,20.85,0.009184557464607295,0.01633797747504656,0.01874962803798667,0.22495580203824736,0.5342233408357002,0.009184557464607295
35,pi-,z,0.0447,0.223,0.45,3.61,0.0864014850646068,0.164025529366415,0.19713399311206614,0.40476118910890946,0.5246080552430996,0.0864014850646068
36,pi-,z,0.0458,0.273,0.48,3.58,0.08536518746251594,0.16238729779612623,0.19576659925548054,0.40577766415355393,0.5276306605203489,0.08536518746251594
37,pi-,z,0.0468,0.323,0.5,3.52,0.08425034228728832,0.16078363658259956,0.19439856974931308,0.40645749629496064,0.5299887747856669,0.08425034228728832
38,pi-,z,0.0475,0.373,0.52,3.45,0.08331532362885097,0.15955969074386184,0.19333309508545013,0.40673218410086526,0.5313082236712301,0.08331532362885097
39,pi-,z,0.0488,0.444,0.54,3.34,0.08172207867084189,0.15740462647045067,0.19146862496260994,0.4073656565183515,0.533936866979507,0.08172207867084189
40,pi-,z,0.0499,0.564,0.55,3.11,0.07952478227051979,0.15502507995634393,0.18931626812950994,0.4068839120079547,0.5344351719145551,0.07952478227051979
41,pi-,z,0.0491,0.716,0.53,2.77,0.07755989890721125,0.1543061883082656,0.18836806468273842,0.40309852031383836,0.5272589674859908,0.07755989890721125
42,pi-,z,0.0473,0.879,0.43,2.43,0.07548201288061458,0.1541736174239995,0.18773357315836192,0.39707939339135645,0.5155942800609639,0.07548201288061458
43,pi-,phT,0.0487,0.346,0.15,3.38,0.08203478842331227,0.15770013915917597,0.1917452626012574,0.4075385645153345,0.534101314524746,0.08203478842331227
44,pi-,phT,0.0477,0.344,0.25,3.32,0.0823681605330244,0.15873719982733342,0.1925430885477417,0.40601600272561744,0.5303913760202769,0.0823681605330244
45,pi-,phT,0.0464,0.342,0.35,3.29,0.08309373316621396,0.16028481802901456,0.19377513365085924,0.4043078537044474,0.526048175579505,0.08309373316621396
46,pi-,phT,0.0464,0.34,0.45,3.36,0.08355278026981981,0.16061161880760025,0.19411105313713262,0.40484820209511024,0.5269095498390841,0.08355278026981981
47,pi-,phT,0.0464,0.342,0.55,3.46,0.08418435107921207,0.16106054821785973,0.19457228813979915,0.4055900746969101,0.5280939816509403,0.08418435107921207
48,pi-,phT,0.0461,0.351,0.67,3.53,0.08483649888213958,0.16176671390342617,0.19521369456736273,0.4057575889029979,0.5279818215866976,0.08483649888213958
