,parameter,value,error,chi2,N_data
0,m1,6.464731808337599,0.038910128221718576,152.47833019277667,3900
1,Nu,0.7299317044784431,0.005628728134825982,152.47833019277667,3900
2,alphau,1.798300770494412,0.015637966454362107,152.47833019277667,3900
3,betau,13.194093722355944,0.15631995786767927,152.47833019277667,3900
4,Nubar,-0.091532677229016,0.017433366647876022,152.47833019277667,3900
5,alphaub,0.3981597019987282,0.06385893349526384,152.47833019277667,3900
6,betaub,1.3698932533318342,0.15376556431987598,152.47833019277667,3900
7,Nd,-1.2864776847827144,0.03894342632920734,152.47833019277667,3900
8,alphad,0.2661546270982307,0.027039662318302793,152.47833019277667,3900
9,betad,0.49743659406571106,0.1348974362997063,152.47833019277667,3900
10,Ndbar,-0.3150297888116771,0.039508398189896855,152.47833019277667,3900
11,alphadb,1.8200522658492946,0.14851832008648758,152.47833019277667,3900
12,betadb,19.999759462695668,0.02910629725917424,152.47833019277667,3900
13,Ns,-8.163937283258434,1.450348185460813,152.47833019277667,3900
14,alphas,1.9890294944874154,0.23567051499763403,152.47833019277667,3900
15,betas,0.12799140948546395,0.08838583438580239,152.47833019277667,3900
16,Nsbar,8.549217928205191,4.020119424044777,152.47833019277667,3900
17,alphasb,12.09406702004925,1.2300279556785298,152.47833019277667,3900
18,betasb,19.730594633191263,2.607678344687594,152.47833019277667,3900
