,hadron,Q2,x,z,phT,Siv,tot_err,1D_dependence
0,pi+,5.738888888888889,0.0065,0.349,0.5,-0.0033558058,0.004287621,x
1,pi+,5.738888888888889,0.0093444444444444,0.349,0.5,-0.0017244524,0.0039484547,x
2,pi+,5.738888888888889,0.0121888888888888,0.349,0.5,-0.00018684998,0.0036816217,x
3,pi+,5.738888888888889,0.0150333333333333,0.349,0.5,0.0013116638,0.003459203,x
4,pi+,5.738888888888889,0.0178777777777777,0.349,0.5,0.002812144,0.0032664884,x
5,pi+,5.738888888888889,0.0207222222222222,0.349,0.5,0.0043397117,0.0030975852,x
6,pi+,5.738888888888889,0.0235666666666666,0.349,0.5,0.005886104,0.002951122,x
7,pi+,5.738888888888889,0.0264111111111111,0.349,0.5,0.0074587814,0.0028307175,x
8,pi+,5.738888888888889,0.0292555555555555,0.349,0.5,0.009101555,0.002727692,x
9,pi+,5.738888888888889,0.0321,0.349,0.5,0.010814739,0.0026407628,x
10,pi+,5.738888888888889,0.0349444444444444,0.349,0.5,0.012586432,0.0025729868,x
11,pi+,5.738888888888889,0.0377888888888888,0.349,0.5,0.014486693,0.0024528666,x
12,pi+,5.738888888888889,0.0406333333333333,0.349,0.5,0.01648701,0.0022959036,x
13,pi+,5.738888888888889,0.0434777777777777,0.349,0.5,0.018510161,0.0021634954,x
14,pi+,5.738888888888889,0.0463222222222222,0.349,0.5,0.020542264,0.002069552,x
15,pi+,5.738888888888889,0.0491666666666666,0.349,0.5,0.022586651,0.002006551,x
16,pi+,5.738888888888889,0.0520111111111111,0.349,0.5,0.024636116,0.0019906051,x
17,pi+,5.738888888888889,0.0548555555555555,0.349,0.5,0.026687734,0.0020213209,x
18,pi+,5.738888888888889,0.0577,0.349,0.5,0.028741896,0.0020977685,x
19,pi+,5.738888888888889,0.0605444444444444,0.349,0.5,0.030795218,0.0022114236,x
20,pi+,5.738888888888889,0.0633888888888889,0.349,0.5,0.032833185,0.0023439834,x
21,pi+,5.738888888888889,0.0662333333333333,0.349,0.5,0.034844395,0.0024813483,x
22,pi+,5.738888888888889,0.0690777777777778,0.349,0.5,0.036836915,0.002627867,x
23,pi+,5.738888888888889,0.0719222222222222,0.349,0.5,0.038782787,0.0027390632,x
24,pi+,5.738888888888889,0.0747666666666666,0.349,0.5,0.04064929,0.0028085725,x
25,pi+,5.738888888888889,0.0776111111111111,0.349,0.5,0.042467114,0.0028898795,x
26,pi+,5.738888888888889,0.0804555555555555,0.349,0.5,0.044232138,0.0029688138,x
27,pi+,5.738888888888889,0.0833,0.349,0.5,0.0459363,0.0030493524,x
28,pi+,5.738888888888889,0.0861444444444444,0.349,0.5,0.04759199,0.0031535057,x
29,pi+,5.738888888888889,0.0889888888888889,0.349,0.5,0.049194567,0.0032822776,x
30,pi+,5.738888888888889,0.0918333333333333,0.349,0.5,0.050712287,0.0034222612,x
31,pi+,5.738888888888889,0.0946777777777777,0.349,0.5,0.052151114,0.003623676,x
32,pi+,5.738888888888889,0.0975222222222222,0.349,0.5,0.053487986,0.0038569702,x
33,pi+,5.738888888888889,0.1003666666666666,0.349,0.5,0.05470602,0.0041547245,x
34,pi+,5.738888888888889,0.1032111111111111,0.349,0.5,0.055696048,0.00442827,x
35,pi+,5.738888888888889,0.1060555555555555,0.349,0.5,0.056365147,0.0047233487,x
36,pi+,5.738888888888889,0.1089,0.349,0.5,0.056705307,0.0048895166,x
37,pi+,5.738888888888889,0.1117444444444444,0.349,0.5,0.05690785,0.005043846,x
38,pi+,5.738888888888889,0.1145888888888889,0.349,0.5,0.05703049,0.0052212654,x
39,pi+,5.738888888888889,0.1174333333333333,0.349,0.5,0.057087857,0.0054218294,x
40,pi+,5.738888888888889,0.1202777777777777,0.349,0.5,0.05708457,0.00564288,x
41,pi+,5.738888888888889,0.1231222222222222,0.349,0.5,0.057026632,0.005879734,x
42,pi+,5.738888888888889,0.1259666666666666,0.349,0.5,0.056920577,0.006125407,x
43,pi+,5.738888888888889,0.1288111111111111,0.349,0.5,0.056772646,0.006373567,x
44,pi+,5.738888888888889,0.1316555555555555,0.349,0.5,0.056587614,0.0066262265,x
45,pi+,5.738888888888889,0.1345,0.349,0.5,0.056361463,0.0068684355,x
46,pi+,5.738888888888889,0.1373444444444444,0.349,0.5,0.056084134,0.0070888884,x
47,pi+,5.738888888888889,0.1401888888888889,0.349,0.5,0.055772528,0.0073060077,x
48,pi+,5.738888888888889,0.1430333333333333,0.349,0.5,0.05543046,0.0075224745,x
49,pi+,5.738888888888889,0.1458777777777778,0.349,0.5,0.055059526,0.0077375323,x
50,pi+,5.738888888888889,0.1487222222222222,0.349,0.5,0.054660056,0.007948711,x
51,pi+,5.738888888888889,0.1515666666666666,0.349,0.5,0.054231,0.008149035,x
52,pi+,5.738888888888889,0.1544111111111111,0.349,0.5,0.053770877,0.008330391,x
53,pi+,5.738888888888889,0.1572555555555555,0.349,0.5,0.05327604,0.0084834965,x
54,pi+,5.738888888888889,0.1601,0.349,0.5,0.052737802,0.008587415,x
55,pi+,5.738888888888889,0.1629444444444444,0.349,0.5,0.0521557,0.0086334795,x
56,pi+,5.738888888888889,0.1657888888888889,0.349,0.5,0.05154985,0.008663976,x
57,pi+,5.738888888888889,0.1686333333333333,0.349,0.5,0.050930504,0.008697996,x
58,pi+,5.738888888888889,0.1714777777777777,0.349,0.5,0.05029965,0.008737655,x
59,pi+,5.738888888888889,0.1743222222222222,0.349,0.5,0.04965852,0.0087838685,x
60,pi+,5.738888888888889,0.1771666666666667,0.349,0.5,0.049007777,0.008836347,x
61,pi+,5.738888888888889,0.1800111111111111,0.349,0.5,0.048348,0.008896351,x
62,pi+,5.738888888888889,0.1828555555555555,0.349,0.5,0.047679573,0.008964264,x
63,pi+,5.738888888888889,0.1857,0.349,0.5,0.04700371,0.0090383375,x
64,pi+,5.738888888888889,0.1885444444444444,0.349,0.5,0.046315823,0.0091086235,x
65,pi+,5.738888888888889,0.1913888888888889,0.349,0.5,0.04560973,0.009181931,x
