,hadron,Q2,x,z,phT,Siv,tot_err,1D_dependence
0,pi+,2.7325,0.036,0.367375,0.37725,0.010763816,0.002008103,x
1,pi+,2.7325,0.0382020202020202,0.367375,0.37725,0.011899186,0.0019235106,x
2,pi+,2.7325,0.0404040404040404,0.367375,0.37725,0.013070427,0.001829217,x
3,pi+,2.7325,0.0426060606060606,0.367375,0.37725,0.014252601,0.0017453581,x
4,pi+,2.7325,0.0448080808080808,0.367375,0.37725,0.0154391555,0.0016796245,x
5,pi+,2.7325,0.047010101010101,0.367375,0.37725,0.01663211,0.0016275251,x
6,pi+,2.7325,0.0492121212121212,0.367375,0.37725,0.01782945,0.0015914857,x
7,pi+,2.7325,0.0514141414141414,0.367375,0.37725,0.01902957,0.0015770553,x
8,pi+,2.7325,0.0536161616161616,0.367375,0.37725,0.020231176,0.0015838904,x
9,pi+,2.7325,0.0558181818181818,0.367375,0.37725,0.021433951,0.0016121377,x
10,pi+,2.7325,0.058020202020202,0.367375,0.37725,0.022637965,0.0016607225,x
11,pi+,2.7325,0.0602222222222222,0.367375,0.37725,0.023841554,0.00172604,x
12,pi+,2.7325,0.0624242424242424,0.367375,0.37725,0.025039976,0.0018014944,x
13,pi+,2.7325,0.0646262626262626,0.367375,0.37725,0.026224593,0.0018793156,x
14,pi+,2.7325,0.0668282828282828,0.367375,0.37725,0.02740021,0.0019614745,x
15,pi+,2.7325,0.069030303030303,0.367375,0.37725,0.028567104,0.0020474833,x
16,pi+,2.7325,0.0712323232323232,0.367375,0.37725,0.029714387,0.0021182098,x
17,pi+,2.7325,0.0734343434343434,0.367375,0.37725,0.030820671,0.0021590341,x
18,pi+,2.7325,0.0756363636363636,0.367375,0.37725,0.031903125,0.0022042454,x
19,pi+,2.7325,0.0778383838383838,0.367375,0.37725,0.03296174,0.0022510542,x
20,pi+,2.7325,0.080040404040404,0.367375,0.37725,0.033996865,0.0022971053,x
21,pi+,2.7325,0.0822424242424242,0.367375,0.37725,0.035003513,0.0023428185,x
22,pi+,2.7325,0.0844444444444444,0.367375,0.37725,0.03598545,0.0023941614,x
23,pi+,2.7325,0.0866464646464646,0.367375,0.37725,0.03694772,0.0024609761,x
24,pi+,2.7325,0.0888484848484848,0.367375,0.37725,0.037883613,0.0025370372,x
25,pi+,2.7325,0.091050505050505,0.367375,0.37725,0.038780417,0.0026152416,x
26,pi+,2.7325,0.0932525252525252,0.367375,0.37725,0.03964022,0.0027195143,x
27,pi+,2.7325,0.0954545454545454,0.367375,0.37725,0.04045939,0.0028445371,x
28,pi+,2.7325,0.0976565656565656,0.367375,0.37725,0.041232787,0.002986925,x
29,pi+,2.7325,0.0998585858585858,0.367375,0.37725,0.041953214,0.003164041,x
30,pi+,2.7325,0.102060606060606,0.367375,0.37725,0.04257358,0.0033230165,x
31,pi+,2.7325,0.1042626262626262,0.367375,0.37725,0.043063663,0.0034942448,x
32,pi+,2.7325,0.1064646464646464,0.367375,0.37725,0.04340128,0.003663825,x
