,hadron,Q2,x,z,phT,Siv,tot_err,1D_dependence
0,pi+,2.7325,0.036,0.367375,0.37725,0.021970663,0.0066749407,x
1,pi+,2.7325,0.0382020202020202,0.367375,0.37725,0.017709414,0.007158746,x
2,pi+,2.7325,0.0404040404040404,0.367375,0.37725,0.023333345,0.0060458593,x
3,pi+,2.7325,0.0426060606060606,0.367375,0.37725,0.031464666,0.01163559,x
4,pi+,2.7325,0.0448080808080808,0.367375,0.37725,0.023337895,0.008069817,x
5,pi+,2.7325,0.047010101010101,0.367375,0.37725,0.019918926,0.005881152,x
6,pi+,2.7325,0.0492121212121212,0.367375,0.37725,0.010248427,0.0019338285,x
7,pi+,2.7325,0.0514141414141414,0.367375,0.37725,0.014243983,0.0045340736,x
8,pi+,2.7325,0.0536161616161616,0.367375,0.37725,0.015889976,0.0044557373,x
9,pi+,2.7325,0.0558181818181818,0.367375,0.37725,0.026088547,0.0051379655,x
10,pi+,2.7325,0.058020202020202,0.367375,0.37725,0.029501554,0.0064665643,x
11,pi+,2.7325,0.0602222222222222,0.367375,0.37725,0.029299354,0.007622638,x
12,pi+,2.7325,0.0624242424242424,0.367375,0.37725,0.026823388,0.005400057,x
13,pi+,2.7325,0.0646262626262626,0.367375,0.37725,0.028320553,0.0061108023,x
14,pi+,2.7325,0.0668282828282828,0.367375,0.37725,0.031540483,0.0076459125,x
15,pi+,2.7325,0.069030303030303,0.367375,0.37725,0.034925196,0.008805611,x
16,pi+,2.7325,0.0712323232323232,0.367375,0.37725,0.038452342,0.009346618,x
17,pi+,2.7325,0.0734343434343434,0.367375,0.37725,0.047658768,0.009018457,x
18,pi+,2.7325,0.0756363636363636,0.367375,0.37725,0.028795538,0.0043649236,x
19,pi+,2.7325,0.0778383838383838,0.367375,0.37725,0.021702783,0.014056676,x
20,pi+,2.7325,0.080040404040404,0.367375,0.37725,0.023311695,0.012768671,x
21,pi+,2.7325,0.0822424242424242,0.367375,0.37725,0.029610367,0.011669308,x
22,pi+,2.7325,0.0844444444444444,0.367375,0.37725,0.03374317,0.008065352,x
23,pi+,2.7325,0.0866464646464646,0.367375,0.37725,0.041206356,0.0075066644,x
24,pi+,2.7325,0.0888484848484848,0.367375,0.37725,0.049127948,0.010208243,x
25,pi+,2.7325,0.091050505050505,0.367375,0.37725,0.055296935,0.009359525,x
26,pi+,2.7325,0.0932525252525252,0.367375,0.37725,0.04814216,0.004608054,x
27,pi+,2.7325,0.0954545454545454,0.367375,0.37725,0.05280066,0.0076275878,x
28,pi+,2.7325,0.0976565656565656,0.367375,0.37725,0.04673949,0.0048367726,x
29,pi+,2.7325,0.0998585858585858,0.367375,0.37725,0.031427555,0.0063189156,x
30,pi+,2.7325,0.102060606060606,0.367375,0.37725,0.04271535,0.0065975823,x
31,pi+,2.7325,0.1042626262626262,0.367375,0.37725,0.051388253,0.008963032,x
32,pi+,2.7325,0.1064646464646464,0.367375,0.37725,0.062889196,0.015416659,x
33,pi+,2.7325,0.1086666666666666,0.367375,0.37725,0.031884268,0.012668553,x
34,pi+,2.7325,0.1108686868686868,0.367375,0.37725,0.013381992,0.020659558,x
35,pi+,2.7325,0.113070707070707,0.367375,0.37725,0.016458942,0.029863652,x
36,pi+,2.7325,0.1152727272727272,0.367375,0.37725,0.022168165,0.022582784,x
37,pi+,2.7325,0.1174747474747474,0.367375,0.37725,0.033190418,0.008516949,x
38,pi+,2.7325,0.1196767676767676,0.367375,0.37725,0.05470415,0.021471666,x
39,pi+,2.7325,0.1218787878787878,0.367375,0.37725,0.07230806,0.038952243,x
40,pi+,2.7325,0.124080808080808,0.367375,0.37725,0.07558128,0.040868327,x
41,pi+,2.7325,0.1262828282828282,0.367375,0.37725,0.07701361,0.041364145,x
42,pi+,2.7325,0.1284848484848484,0.367375,0.37725,0.0775441,0.040416464,x
43,pi+,2.7325,0.1306868686868686,0.367375,0.37725,0.077172406,0.03887288,x
44,pi+,2.7325,0.1328888888888889,0.367375,0.37725,0.076153465,0.036784686,x
45,pi+,2.7325,0.1350909090909091,0.367375,0.37725,0.074742466,0.03434832,x
46,pi+,2.7325,0.1372929292929293,0.367375,0.37725,0.072912134,0.031717073,x
47,pi+,2.7325,0.1394949494949495,0.367375,0.37725,0.070636,0.028973266,x
48,pi+,2.7325,0.1416969696969697,0.367375,0.37725,0.06799787,0.02623139,x
49,pi+,2.7325,0.1438989898989899,0.367375,0.37725,0.06504985,0.023472834,x
50,pi+,2.7325,0.1461010101010101,0.367375,0.37725,0.061812934,0.020649292,x
51,pi+,2.7325,0.1483030303030303,0.367375,0.37725,0.058345173,0.017805884,x
52,pi+,2.7325,0.1505050505050505,0.367375,0.37725,0.05467351,0.015051721,x
53,pi+,2.7325,0.1527070707070707,0.367375,0.37725,0.05077119,0.012326051,x
54,pi+,2.7325,0.1549090909090909,0.367375,0.37725,0.046871014,0.00969171,x
55,pi+,2.7325,0.1571111111111111,0.367375,0.37725,0.04288837,0.007918879,x
56,pi+,2.7325,0.1593131313131313,0.367375,0.37725,0.034509394,0.006345679,x
57,pi+,2.7325,0.1615151515151515,0.367375,0.37725,0.026787756,0.0076279463,x
58,pi+,2.7325,0.1637171717171717,0.367375,0.37725,0.025121521,0.009022386,x
59,pi+,2.7325,0.1659191919191919,0.367375,0.37725,0.025536198,0.010877532,x
