,parameter,value,error,chi2,N_data
0,m1,4.989006441481651,0.2788763646220649,572.1980792655268,900
1,Nu,1.0843609872389832,0.06823417176426648,572.1980792655268,900
2,alphau,1.9585357356332278,0.13007999786267221,572.1980792655268,900
3,betau,9.070143753387224,0.8483369353771311,572.1980792655268,900
4,Nubar,4.315899537114144,0.5493940638314081,572.1980792655268,900
5,alphaub,3.963496956945586,0.20283625938594763,572.1980792655268,900
6,betaub,0.11370319669868678,0.2020024700968337,572.1980792655268,900
7,Nd,-1.782205170168363,0.13406577510742695,572.1980792655268,900
8,alphad,1.1272144954032914,0.2190827414663432,572.1980792655268,900
9,betad,5.375965479259559,1.8595110833801187,572.1980792655268,900
10,Ndbar,-25.928954392575513,1.9434233472137226,572.1980792655268,900
11,alphadb,6.139833713100763,0.1965412290230777,572.1980792655268,900
12,betadb,19.352844053209274,0.37269615193762107,572.1980792655268,900
13,Ns,-5.737777376963095,0.7611587894867045,572.1980792655268,900
14,alphas,6.281281232753441,1.4286779074344809,572.1980792655268,900
15,betas,6.547561884146926,2.3482275542526345,572.1980792655268,900
16,Nsbar,-16.723765396114654,2.0986743859309804,572.1980792655268,900
17,alphasb,7.416382203940914,0.542061868870328,572.1980792655268,900
18,betasb,19.91716215584465,0.662612265605345,572.1980792655268,900
