,hadron,Q2,x,z,phT,Siv,tot_err,1D_dependence
0,pi+,2.7325,0.036,0.367375,0.37725,0.021909455,0.0062675,x
1,pi+,2.7325,0.0382020202020202,0.367375,0.37725,0.019128688,0.006136106,x
2,pi+,2.7325,0.0404040404040404,0.367375,0.37725,0.022037165,0.004606485,x
3,pi+,2.7325,0.0426060606060606,0.367375,0.37725,0.028051488,0.008766895,x
4,pi+,2.7325,0.0448080808080808,0.367375,0.37725,0.026943356,0.0076638022,x
5,pi+,2.7325,0.047010101010101,0.367375,0.37725,0.021501517,0.0055419356,x
6,pi+,2.7325,0.0492121212121212,0.367375,0.37725,0.0135826245,0.0019115661,x
7,pi+,2.7325,0.0514141414141414,0.367375,0.37725,0.014522044,0.0043345285,x
8,pi+,2.7325,0.0536161616161616,0.367375,0.37725,0.015773108,0.0044331895,x
9,pi+,2.7325,0.0558181818181818,0.367375,0.37725,0.025096804,0.0055083754,x
10,pi+,2.7325,0.058020202020202,0.367375,0.37725,0.027429292,0.0064215814,x
11,pi+,2.7325,0.0602222222222222,0.367375,0.37725,0.027697591,0.0059389365,x
12,pi+,2.7325,0.0624242424242424,0.367375,0.37725,0.026374463,0.0053681103,x
13,pi+,2.7325,0.0646262626262626,0.367375,0.37725,0.027759612,0.006686511,x
14,pi+,2.7325,0.0668282828282828,0.367375,0.37725,0.031027768,0.00993264,x
15,pi+,2.7325,0.069030303030303,0.367375,0.37725,0.03412407,0.012548342,x
16,pi+,2.7325,0.0712323232323232,0.367375,0.37725,0.03747825,0.0138117615,x
17,pi+,2.7325,0.0734343434343434,0.367375,0.37725,0.046811156,0.009590062,x
18,pi+,2.7325,0.0756363636363636,0.367375,0.37725,0.031358592,0.004580169,x
19,pi+,2.7325,0.0778383838383838,0.367375,0.37725,0.025256228,0.016251216,x
20,pi+,2.7325,0.080040404040404,0.367375,0.37725,0.026910964,0.01507543,x
21,pi+,2.7325,0.0822424242424242,0.367375,0.37725,0.034622423,0.012195643,x
22,pi+,2.7325,0.0844444444444444,0.367375,0.37725,0.03616696,0.0082914075,x
23,pi+,2.7325,0.0866464646464646,0.367375,0.37725,0.040435668,0.0071283267,x
24,pi+,2.7325,0.0888484848484848,0.367375,0.37725,0.04890048,0.008217958,x
25,pi+,2.7325,0.091050505050505,0.367375,0.37725,0.05289804,0.0068852147,x
26,pi+,2.7325,0.0932525252525252,0.367375,0.37725,0.047648575,0.0045573027,x
27,pi+,2.7325,0.0954545454545454,0.367375,0.37725,0.05094312,0.006923528,x
28,pi+,2.7325,0.0976565656565656,0.367375,0.37725,0.046282075,0.0052792937,x
29,pi+,2.7325,0.0998585858585858,0.367375,0.37725,0.032229546,0.0058008577,x
30,pi+,2.7325,0.102060606060606,0.367375,0.37725,0.04195722,0.006521665,x
31,pi+,2.7325,0.1042626262626262,0.367375,0.37725,0.054222997,0.0103660915,x
32,pi+,2.7325,0.1064646464646464,0.367375,0.37725,0.06533461,0.015827829,x
33,pi+,2.7325,0.1086666666666666,0.367375,0.37725,0.031516217,0.012853274,x
34,pi+,2.7325,0.1108686868686868,0.367375,0.37725,0.013795394,0.01992124,x
35,pi+,2.7325,0.113070707070707,0.367375,0.37725,0.019163854,0.022056501,x
36,pi+,2.7325,0.1152727272727272,0.367375,0.37725,0.027558256,0.021921853,x
37,pi+,2.7325,0.1174747474747474,0.367375,0.37725,0.03443336,0.008338427,x
38,pi+,2.7325,0.1196767676767676,0.367375,0.37725,0.04841175,0.021570237,x
39,pi+,2.7325,0.1218787878787878,0.367375,0.37725,0.061041106,0.03733595,x
40,pi+,2.7325,0.124080808080808,0.367375,0.37725,0.06370185,0.03793297,x
41,pi+,2.7325,0.1262828282828282,0.367375,0.37725,0.06539557,0.03724624,x
42,pi+,2.7325,0.1284848484848484,0.367375,0.37725,0.066607445,0.03643881,x
43,pi+,2.7325,0.1306868686868686,0.367375,0.37725,0.06726208,0.035289153,x
44,pi+,2.7325,0.1328888888888889,0.367375,0.37725,0.06743437,0.033726696,x
45,pi+,2.7325,0.1350909090909091,0.367375,0.37725,0.06705805,0.031962954,x
46,pi+,2.7325,0.1372929292929293,0.367375,0.37725,0.06628399,0.03014971,x
47,pi+,2.7325,0.1394949494949495,0.367375,0.37725,0.06511338,0.028009307,x
48,pi+,2.7325,0.1416969696969697,0.367375,0.37725,0.06352511,0.025299354,x
49,pi+,2.7325,0.1438989898989899,0.367375,0.37725,0.06154099,0.02241883,x
50,pi+,2.7325,0.1461010101010101,0.367375,0.37725,0.059091203,0.019547123,x
51,pi+,2.7325,0.1483030303030303,0.367375,0.37725,0.056302436,0.01682946,x
52,pi+,2.7325,0.1505050505050505,0.367375,0.37725,0.05325827,0.014301409,x
53,pi+,2.7325,0.1527070707070707,0.367375,0.37725,0.049998544,0.011954301,x
54,pi+,2.7325,0.1549090909090909,0.367375,0.37725,0.046441585,0.009710502,x
55,pi+,2.7325,0.1571111111111111,0.367375,0.37725,0.042087395,0.007508182,x
56,pi+,2.7325,0.1593131313131313,0.367375,0.37725,0.033156317,0.0062824623,x
57,pi+,2.7325,0.1615151515151515,0.367375,0.37725,0.025328971,0.0075621316,x
58,pi+,2.7325,0.1637171717171717,0.367375,0.37725,0.024252053,0.008358937,x
59,pi+,2.7325,0.1659191919191919,0.367375,0.37725,0.024348387,0.009584337,x
60,pi+,2.7325,0.1681212121212121,0.367375,0.37725,0.02486205,0.011323587,x
61,pi+,2.7325,0.1703232323232323,0.367375,0.37725,0.025650186,0.013376943,x
62,pi+,2.7325,0.1725252525252525,0.367375,0.37725,0.026666122,0.015602259,x
63,pi+,2.7325,0.1747272727272727,0.367375,0.37725,0.027834138,0.017872445,x
64,pi+,2.7325,0.1769292929292929,0.367375,0.37725,0.029096121,0.020144725,x
65,pi+,2.7325,0.1791313131313131,0.367375,0.37725,0.030444685,0.022337098,x
66,pi+,2.7325,0.1813333333333333,0.367375,0.37725,0.031868473,0.024408793,x
67,pi+,2.7325,0.1835353535353535,0.367375,0.37725,0.033376027,0.026348358,x
68,pi+,2.7325,0.1857373737373737,0.367375,0.37725,0.034932964,0.028182516,x
69,pi+,2.7325,0.1879393939393939,0.367375,0.37725,0.036522854,0.029863134,x
70,pi+,2.7325,0.1901414141414141,0.367375,0.37725,0.038139105,0.031419214,x
71,pi+,2.7325,0.1923434343434343,0.367375,0.37725,0.03976848,0.032847308,x
72,pi+,2.7325,0.1945454545454545,0.367375,0.37725,0.041408572,0.03408957,x
73,pi+,2.7325,0.1967474747474747,0.367375,0.37725,0.043045823,0.035232518,x
74,pi+,2.7325,0.1989494949494949,0.367375,0.37725,0.044678617,0.03628291,x
75,pi+,2.7325,0.2011515151515151,0.367375,0.37725,0.046281427,0.03725592,x
76,pi+,2.7325,0.2033535353535353,0.367375,0.37725,0.047867555,0.03813698,x
77,pi+,2.7325,0.2055555555555555,0.367375,0.37725,0.04943548,0.038822882,x
78,pi+,2.7325,0.2077575757575757,0.367375,0.37725,0.05096402,0.039325062,x
79,pi+,2.7325,0.2099595959595959,0.367375,0.37725,0.052465245,0.03968355,x
80,pi+,2.7325,0.2121616161616161,0.367375,0.37725,0.053942025,0.039879464,x
81,pi+,2.7325,0.2143636363636363,0.367375,0.37725,0.055426378,0.03993486,x
82,pi+,2.7325,0.2165656565656565,0.367375,0.37725,0.05691959,0.03986732,x
83,pi+,2.7325,0.2187676767676767,0.367375,0.37725,0.058400743,0.03975166,x
84,pi+,2.7325,0.2209696969696969,0.367375,0.37725,0.059876163,0.039572794,x
85,pi+,2.7325,0.2231717171717172,0.367375,0.37725,0.06131796,0.039296694,x
86,pi+,2.7325,0.2253737373737374,0.367375,0.37725,0.06270148,0.038903076,x
87,pi+,2.7325,0.2275757575757575,0.367375,0.37725,0.0640612,0.03839527,x
88,pi+,2.7325,0.2297777777777777,0.367375,0.37725,0.06539502,0.0377713,x
89,pi+,2.7325,0.2319797979797979,0.367375,0.37725,0.066667505,0.03701256,x
90,pi+,2.7325,0.2341818181818181,0.367375,0.37725,0.067843184,0.036181554,x
91,pi+,2.7325,0.2363838383838384,0.367375,0.37725,0.06891987,0.03528416,x
92,pi+,2.7325,0.2385858585858586,0.367375,0.37725,0.06990844,0.034367166,x
