,hadron,Q2,x,z,phT,Siv,tot_err,1D_dependence
0,pi+,2.7325,0.036,0.367375,0.37725,0.010049397744667093,0.0062675,x
1,pi+,2.7325,0.0382020202020202,0.367375,0.37725,0.011371834548200685,0.006136106,x
2,pi+,2.7325,0.0404040404040404,0.367375,0.37725,0.012736846765168938,0.004606485,x
3,pi+,2.7325,0.0426060606060606,0.367375,0.37725,0.014137036503252282,0.008766895,x
4,pi+,2.7325,0.0448080808080808,0.367375,0.37725,0.0155652417505258,0.0076638022,x
5,pi+,2.7325,0.047010101010101,0.367375,0.37725,0.017014360955285347,0.0055419356,x
6,pi+,2.7325,0.0492121212121212,0.367375,0.37725,0.01847726321420658,0.0019115661,x
7,pi+,2.7325,0.0514141414141414,0.367375,0.37725,0.019946857286138462,0.0043345285,x
8,pi+,2.7325,0.0536161616161616,0.367375,0.37725,0.02141623323671852,0.0044331895,x
9,pi+,2.7325,0.0558181818181818,0.367375,0.37725,0.022878960761374117,0.0055083754,x
10,pi+,2.7325,0.058020202020202,0.367375,0.37725,0.02432872532704106,0.0064215814,x
11,pi+,2.7325,0.0602222222222222,0.367375,0.37725,0.025759086102079075,0.0059389365,x
12,pi+,2.7325,0.0624242424242424,0.367375,0.37725,0.027163874864701582,0.0053681103,x
13,pi+,2.7325,0.0646262626262626,0.367375,0.37725,0.028537517678640923,0.006686511,x
14,pi+,2.7325,0.0668282828282828,0.367375,0.37725,0.029875182748936243,0.00993264,x
15,pi+,2.7325,0.069030303030303,0.367375,0.37725,0.031171676165217536,0.012548342,x
16,pi+,2.7325,0.0712323232323232,0.367375,0.37725,0.032422129521792166,0.0138117615,x
17,pi+,2.7325,0.0734343434343434,0.367375,0.37725,0.03362205025001401,0.009590062,x
18,pi+,2.7325,0.0756363636363636,0.367375,0.37725,0.034768019872979325,0.004580169,x
19,pi+,2.7325,0.0778383838383838,0.367375,0.37725,0.03585683952251157,0.016251216,x
20,pi+,2.7325,0.080040404040404,0.367375,0.37725,0.036885238332693485,0.01507543,x
21,pi+,2.7325,0.0822424242424242,0.367375,0.37725,0.037850348207807846,0.012195643,x
22,pi+,2.7325,0.0844444444444444,0.367375,0.37725,0.038749706072759786,0.0082914075,x
23,pi+,2.7325,0.0866464646464646,0.367375,0.37725,0.03958185454807889,0.0071283267,x
24,pi+,2.7325,0.0888484848484848,0.367375,0.37725,0.040345751402545656,0.008217958,x
25,pi+,2.7325,0.091050505050505,0.367375,0.37725,0.0410402369016716,0.0068852147,x
26,pi+,2.7325,0.0932525252525252,0.367375,0.37725,0.04166456719430421,0.0045573027,x
27,pi+,2.7325,0.0954545454545454,0.367375,0.37725,0.0422184068940073,0.006923528,x
28,pi+,2.7325,0.0976565656565656,0.367375,0.37725,0.042701974543135374,0.0052792937,x
29,pi+,2.7325,0.0998585858585858,0.367375,0.37725,0.043116518114430756,0.0058008577,x
30,pi+,2.7325,0.102060606060606,0.367375,0.37725,0.043462942091353374,0.006521665,x
31,pi+,2.7325,0.1042626262626262,0.367375,0.37725,0.04374238989721433,0.0103660915,x
32,pi+,2.7325,0.1064646464646464,0.367375,0.37725,0.04395634611124423,0.015827829,x
33,pi+,2.7325,0.1086666666666666,0.367375,0.37725,0.04410661835612129,0.012853274,x
34,pi+,2.7325,0.1108686868686868,0.367375,0.37725,0.04419562769001855,0.01992124,x
35,pi+,2.7325,0.113070707070707,0.367375,0.37725,0.0442265904006212,0.022056501,x
36,pi+,2.7325,0.1152727272727272,0.367375,0.37725,0.04420204881269176,0.021921853,x
37,pi+,2.7325,0.1174747474747474,0.367375,0.37725,0.04412472025008502,0.008338427,x
38,pi+,2.7325,0.1196767676767676,0.367375,0.37725,0.04399753576608905,0.021570237,x
39,pi+,2.7325,0.1218787878787878,0.367375,0.37725,0.04382361786509408,0.03733595,x
40,pi+,2.7325,0.124080808080808,0.367375,0.37725,0.043606517648703526,0.03793297,x
