,hadron,1D_dependence,z,QQ,sbar,ubar,dbar,d,u,s
26,pi-,z,0.2236,3.31,0.614372207118965,1.0205246144292008,0.6143696891408158,1.0205246144292008,0.6143696891408158,0.614372207118965
27,pi-,z,0.2736,3.25,0.44173334007972254,0.8596371759617688,0.4417322622936508,0.8596371759617688,0.4417322622936508,0.44173334007972254
28,pi-,z,0.3236,3.19,0.31570647157307674,0.7361326987246206,0.31570600712065267,0.7361326987246206,0.31570600712065267,0.31570647157307674
29,pi-,z,0.3736,3.13,0.20746344510308418,0.6123387139585803,0.20746325489797252,0.6123387139585803,0.20746325489797252,0.20746344510308418
30,pi-,z,0.4446,3.02,0.10100722037623693,0.4706087063613441,0.10100716542203227,0.4706087063613441,0.10100716542203227,0.10100722037623693
31,pi-,z,0.5643,2.81,0.028300604708986675,0.2894598735755508,0.028300599172539926,0.2894598735755508,0.028300599172539926,0.028300604708986675
32,pi-,z,0.7171,2.51,0.008755013518065602,0.13201908376417423,0.008755013423733627,0.13201908376417423,0.008755013423733627,0.008755013518065602
33,pi-,z,0.8794,2.21,0.005717988039659675,0.040063853631066286,0.005717988039659675,0.040063853631066286,0.005717988039659675,0.005717988039659675
34,pi-,x,0.29,1.24,0.4673288863104869,0.9141077205664933,0.4673286052119648,0.9141077205664933,0.4673286052119648,0.4673288863104869
35,pi-,x,0.32,1.46,0.36863229213172305,0.8174437013017676,0.3686320283981125,0.8174437013017676,0.3686320283981125,0.36863229213172305
36,pi-,x,0.35,1.68,0.28628434567823013,0.7258977440481169,0.28628414909182603,0.7258977440481169,0.28628414909182603,0.28628434567823013
37,pi-,x,0.37,2.02,0.23361049285693275,0.659200078969941,0.23361033364998737,0.659200078969941,0.23361033364998737,0.23361049285693275
38,pi-,x,0.38,2.82,0.19918858526475963,0.6059300447156558,0.19918841829050316,0.6059300447156558,0.19918841829050316,0.19918858526475963
39,pi-,x,0.38,4.59,0.18159530446817054,0.5681276154367291,0.18159511628347869,0.5681276154367291,0.18159511628347869,0.18159530446817054
40,pi-,x,0.36,7.42,0.20285583776766966,0.5818485472155334,0.20285555152116203,0.5818485472155334,0.20285555152116203,0.20285583776766966
41,pi-,x,0.36,11.9,0.18861447591834107,0.5528070288434767,0.18861419082987768,0.5528070288434767,0.18861419082987768,0.18861447591834107
42,pi-,x,0.35,23.9,0.1881395700005416,0.5385782553592953,0.18813923272901126,0.5385782553592953,0.18813923272901126,0.1881395700005416
43,pi-,phT,0.35,3.05,0.2568142164927838,0.6715896867630026,0.25681392956467797,0.6715896867630026,0.25681392956467797,0.2568142164927838
44,pi-,phT,0.35,3.0,0.25754844716832564,0.6729597716427668,0.25754816203911907,0.6729597716427668,0.25754816203911907,0.25754844716832564
45,pi-,phT,0.35,3.01,0.25740033455531564,0.6726834569020363,0.25740004906087277,0.6726834569020363,0.25740004906087277,0.25740033455531564
46,pi-,phT,0.35,3.08,0.25638114773506976,0.6707811895753891,0.2563808597611607,0.6707811895753891,0.2563808597611607,0.25638114773506976
47,pi-,phT,0.35,3.15,0.2553916618254329,0.6689328247015092,0.2553913715136711,0.6689328247015092,0.2553913715136711,0.2553916618254329
48,pi-,phT,0.36,3.23,0.23342607931745832,0.6423968491780067,0.23342583191978497,0.6423968491780067,0.23342583191978497,0.23342607931745832
49,pi-,phT,0.38,3.29,0.19329322144839345,0.5933742606222489,0.19329305204481542,0.5933742606222489,0.19329305204481542,0.19329322144839345
50,pi-,phT,0.4,3.42,0.1572059060775089,0.5466855828627813,0.1572057824723315,0.5466855828627813,0.1572057824723315,0.1572059060775089
51,pi-,phT,0.42,3.83,0.1254127164317916,0.4989813548835759,0.12541262946629395,0.4989813548835759,0.12541262946629395,0.1254127164317916
