,hadron,Q2,x,y,z,phT,Siv,tot_err,1D_dependence
0,pi+,1.24,0.0065,0.65,0.285,0.54,0.0002734328190641516,0.0117,x
1,pi+,1.47,0.0106,0.47,0.321,0.52,0.0007609737458579812,0.0074,x
2,pi+,1.72,0.0164,0.36,0.347,0.51,0.0018604260301736488,0.0061,x
3,pi+,2.05,0.0257,0.27,0.363,0.49,0.004348607315440649,0.0053,x
4,pi+,2.71,0.0399,0.23,0.37,0.48,0.00988638740507824,0.0055,x
5,pi+,4.22,0.0628,0.23,0.367,0.48,0.022643037835043806,0.0063,x
6,pi+,6.68,0.1009,0.22,0.365,0.48,0.05139823729560184,0.0075,x
7,pi+,10.54,0.1621,0.22,0.362,0.48,0.10670331442157491,0.0096,x
8,pi+,21.02,0.2881,0.24,0.361,0.52,0.23101496365524893,0.0126,x
9,pi+,3.75,0.0467,0.33,0.223,0.45,0.007730227184846701,0.0044,z
10,pi+,3.75,0.0483,0.32,0.274,0.47,0.010614278793259843,0.0053,z
11,pi+,3.72,0.0498,0.31,0.324,0.5,0.014200466190919825,0.0063,z
12,pi+,3.68,0.0511,0.29,0.374,0.52,0.017683658502538505,0.0074,z
13,pi+,3.58,0.0527,0.27,0.445,0.54,0.022179657212460843,0.0067,z
14,pi+,3.4,0.0545,0.24,0.565,0.57,0.028057652250148734,0.0077,z
15,pi+,3.1,0.0548,0.21,0.716,0.56,0.02754561417876845,0.0113,z
16,pi+,2.71,0.0527,0.19,0.878,0.47,0.018878072708571884,0.0152,z
17,pi+,3.57,0.052,0.28,0.346,0.15,0.00405805553670454,0.0072,phT
18,pi+,3.52,0.051,0.28,0.344,0.25,0.0067126852028490894,0.006,phT
19,pi+,3.48,0.0497,0.29,0.344,0.35,0.009403069697486537,0.0056,phT
20,pi+,3.55,0.0495,0.3,0.344,0.45,0.012794944441487295,0.0059,phT
21,pi+,3.62,0.0493,0.3,0.35,0.55,0.017063510462847577,0.0066,phT
22,pi+,3.71,0.0489,0.31,0.363,0.67,0.02382820726562324,0.0066,phT
23,pi+,3.84,0.0487,0.32,0.382,0.82,0.03661635067230988,0.0087,phT
24,pi+,4.06,0.0486,0.34,0.404,1.04,0.06977998821284008,0.0091,phT
25,pi+,4.77,0.0492,0.39,0.415,1.56,0.36848827874956025,0.0186,phT
26,pi-,1.24,0.0064,0.65,0.285,0.54,0.00026516427300064664,0.0115,x
27,pi-,1.48,0.0106,0.48,0.32,0.52,0.0007588741329750664,0.0075,x
28,pi-,1.73,0.0164,0.36,0.344,0.5,0.001796427943618705,0.0063,x
29,pi-,2.05,0.0257,0.27,0.358,0.49,0.004302515796423783,0.0054,x
30,pi-,2.72,0.0398,0.23,0.365,0.48,0.009740766855894006,0.0057,x
31,pi-,4.22,0.0627,0.23,0.359,0.48,0.022204918773013522,0.0068,x
32,pi-,6.66,0.1007,0.22,0.353,0.48,0.0499324617294495,0.0083,x
33,pi-,10.54,0.1619,0.22,0.349,0.48,0.10353728422561288,0.0109,x
34,pi-,20.85,0.2873,0.24,0.345,0.51,0.2161769949766324,0.0147,x
35,pi-,3.61,0.0447,0.34,0.223,0.45,0.007126956317933617,0.0045,z
36,pi-,3.58,0.0458,0.33,0.273,0.48,0.009850365292108766,0.0054,z
37,pi-,3.52,0.0468,0.31,0.323,0.5,0.012626444403186351,0.0065,z
38,pi-,3.45,0.0475,0.3,0.373,0.52,0.015423378768517272,0.0078,z
39,pi-,3.34,0.0488,0.27,0.444,0.54,0.019230527216854434,0.0071,z
40,pi-,3.11,0.0499,0.24,0.564,0.55,0.0225477539341429,0.0086,z
41,pi-,2.77,0.0491,0.21,0.716,0.53,0.02073175174352873,0.0127,z
42,pi-,2.43,0.0473,0.19,0.879,0.43,0.013788230370184007,0.0168,z
43,pi-,3.38,0.0487,0.28,0.346,0.15,0.003596637761550544,0.0075,phT
44,pi-,3.32,0.0477,0.29,0.344,0.25,0.005933560879105091,0.0062,phT
45,pi-,3.29,0.0464,0.29,0.342,0.35,0.00824579085611571,0.0058,phT
46,pi-,3.36,0.0464,0.3,0.34,0.45,0.011248194466025823,0.0062,phT
47,pi-,3.46,0.0464,0.31,0.342,0.55,0.014959555030327632,0.0069,phT
48,pi-,3.53,0.0461,0.32,0.351,0.67,0.020731311387467286,0.0069,phT
49,pi-,3.65,0.0458,0.33,0.366,0.82,0.03137335754849639,0.0092,phT
50,pi-,3.83,0.0452,0.34,0.386,1.04,0.05815959832616855,0.0096,phT
51,pi-,4.34,0.0442,0.4,0.4,1.56,0.2857202975587578,0.0197,phT
52,k-,1.24,0.0065,0.65,0.296,0.64,0.00036518151805001756,0.0295,x
53,k-,1.49,0.0105,0.48,0.341,0.59,0.0009496933217122158,0.0183,x
54,k-,1.88,0.0163,0.39,0.375,0.57,0.0023061522136204314,0.0168,x
55,k-,2.57,0.0253,0.34,0.405,0.56,0.005560284048023775,0.0169,x
56,k-,3.83,0.0398,0.33,0.42,0.56,0.013471757489865717,0.0202,x
57,k-,5.91,0.0626,0.32,0.418,0.56,0.030915977233422966,0.0245,x
58,k-,9.32,0.1002,0.31,0.418,0.56,0.07005398973466238,0.0315,x
59,k-,15.09,0.1613,0.31,0.411,0.56,0.14541106986550353,0.0439,x
60,k-,29.47,0.2984,0.33,0.4,0.61,0.3280362510857707,0.0571,x
61,k-,4.12,0.0292,0.51,0.225,0.55,0.004141193875486894,0.0175,z
62,k-,3.97,0.0323,0.46,0.274,0.56,0.006314009001614682,0.0184,z
63,k-,3.85,0.035,0.41,0.324,0.57,0.008868982962287272,0.02,z
64,k-,3.69,0.0372,0.37,0.374,0.58,0.011548132438183032,0.0222,z
65,k-,3.45,0.0397,0.33,0.446,0.58,0.014692346759913119,0.0185,z
66,k-,3.14,0.0428,0.28,0.564,0.58,0.018459235506715823,0.0205,z
67,k-,3.04,0.0462,0.24,0.712,0.62,0.02366754044610184,0.0347,z
68,k-,2.92,0.0459,0.24,0.869,0.56,0.018709009042720992,0.0596,z
69,k-,3.55,0.0364,0.36,0.394,0.15,0.0022661091370932535,0.0249,phT
70,k-,3.68,0.0371,0.38,0.381,0.25,0.003971736667191811,0.0217,phT
71,k-,3.67,0.0367,0.39,0.376,0.35,0.005685830541515718,0.0206,phT
72,k-,3.66,0.0364,0.39,0.375,0.45,0.007690820973050595,0.0207,phT
73,k-,3.68,0.0363,0.39,0.376,0.55,0.010201455508584797,0.0218,phT
74,k-,3.67,0.0361,0.4,0.382,0.67,0.014113502666077608,0.0201,phT
75,k-,3.69,0.0359,0.4,0.39,0.82,0.021104258356749322,0.0247,phT
76,k-,3.75,0.0356,0.41,0.398,1.06,0.04062019470061192,0.0231,phT
77,k-,4.03,0.0349,0.45,0.402,1.59,0.20477867216473777,0.0409,phT
78,k+,4.51,0.0324,0.5,0.225,0.55,0.005048334887582588,0.0155,z
79,k+,4.49,0.0372,0.45,0.275,0.56,0.008278816436206992,0.0156,z
80,k+,4.46,0.0417,0.4,0.324,0.57,0.012329128137539993,0.0164,z
