,hadron,1D_dependence,z,QQ,sbar,ubar,dbar,d,u,s
52,k-,x,0.296,1.24,-0.19457766807291116,0.683862298232536,-0.19457766553681774,-0.19457766553681774,-0.19457766807291116,0.683862298232536
53,k-,x,0.341,1.49,-0.11736324837668019,0.5306092451626467,-0.11736325799076402,-0.11736325799076402,-0.11736324837668019,0.5306092451626467
54,k-,x,0.375,1.88,-0.06460028094246321,0.4201954234657301,-0.06460029715002996,-0.06460029715002996,-0.06460028094246321,0.4201954234657301
55,k-,x,0.405,2.57,-0.024148143589118667,0.33012651547457234,-0.02414815958024561,-0.02414815958024561,-0.024148143589118667,0.33012651547457234
56,k-,x,0.42,3.83,-0.0023776494231138277,0.2798328085772923,-0.0023776647510102607,-0.0023776647510102607,-0.0023776494231138277,0.2798328085772923
57,k-,x,0.418,5.91,0.005523517615353468,0.26554931078653704,0.005523500744623268,0.005523500744623268,0.005523517615353468,0.26554931078653704
58,k-,x,0.418,9.32,0.01248574186148048,0.2488365054371286,0.012485724522976863,0.012485724522976863,0.01248574186148048,0.2488365054371286
59,k-,x,0.411,15.09,0.015178178238117653,0.24536747994593183,0.015178158738118744,0.015178158738118744,0.015178178238117653,0.24536747994593183
60,k-,x,0.4,29.47,0.016999998160083376,0.2449518100865174,0.016999977160083377,0.016999977160083377,0.016999998160083376,0.2449518100865174
61,k-,z,0.225,4.12,-0.21059115166921155,0.7746424837788158,-0.21059074841227077,-0.21059074841227077,-0.21059115166921155,0.7746424837788158
62,k-,z,0.274,3.97,-0.14234199477530757,0.6502474829972683,-0.142341946031695,-0.142341946031695,-0.14234199477530757,0.6502474829972683
63,k-,z,0.324,3.85,-0.07921965954610745,0.5100142474230083,-0.07921968184049231,-0.07921968184049231,-0.07921965954610745,0.5100142474230083
64,k-,z,0.374,3.69,-0.03556758925143206,0.38086480975003284,-0.03556761261081805,-0.03556761261081805,-0.03556758925143206,0.38086480975003284
65,k-,z,0.446,3.45,0.008810197941577539,0.23720405011383264,0.008810187246654212,0.008810187246654212,0.008810197941577539,0.23720405011383264
66,k-,z,0.564,3.14,0.04047906293132574,0.09597518874347827,0.040479061958913695,0.040479061958913695,0.04047906293132574,0.09597518874347827
67,k-,z,0.712,3.04,0.03674056114731862,0.02369585005623861,0.03674056115540654,0.03674056115540654,0.03674056114731862,0.02369585005623861
68,k-,z,0.869,2.92,0.013717705556342266,0.002888762409646291,0.013717705556342266,0.013717705556342266,0.013717705556342266,0.002888762409646291
69,k-,phT,0.394,3.55,-0.021347125799301245,0.33707825413941117,-0.02134714565613094,-0.02134714565613094,-0.021347125799301245,0.33707825413941117
70,k-,phT,0.381,3.68,-0.03002431255961777,0.36454002712255507,-0.030024335030392073,-0.030024335030392073,-0.03002431255961777,0.36454002712255507
71,k-,phT,0.376,3.67,-0.03412383004028625,0.37640991800416074,-0.03412385312813029,-0.03412385312813029,-0.03412383004028625,0.37640991800416074
72,k-,phT,0.375,3.66,-0.035033631689098135,0.37893184415958414,-0.03503365488686208,-0.03503365488686208,-0.035033631689098135,0.37893184415958414
73,k-,phT,0.376,3.68,-0.0340299923941456,0.3762615387911936,-0.03403001549439573,-0.03403001549439573,-0.0340299923941456,0.3762615387911936
74,k-,phT,0.382,3.67,-0.029328321720539667,0.3623700341382631,-0.029328344041360834,-0.029328344041360834,-0.029328321720539667,0.3623700341382631
75,k-,phT,0.39,3.69,-0.023072379631905365,0.3439427242404718,-0.023072400556429246,-0.023072400556429246,-0.023072379631905365,0.3439427242404718
76,k-,phT,0.398,3.75,-0.016862114078759295,0.3256344131328187,-0.016862133317821496,-0.016862133317821496,-0.016862114078759295,0.3256344131328187
77,k-,phT,0.402,4.03,-0.012154409626499225,0.31366968929162353,-0.012154428433160504,-0.012154428433160504,-0.012154409626499225,0.31366968929162353
