,hadron,1D_dependence,z,QQ,sbar,ubar,dbar,d,u,s
0,pi+,x,0.285,1.24,0.4830374904083687,0.4830371848982305,0.9272049475550987,0.4830371848982305,0.9272049475550987,0.4830374904083687
1,pi+,x,0.321,1.47,0.3655152608880628,0.3655149997515495,0.8140879330978252,0.3655149997515495,0.8140879330978252,0.3655152608880628
2,pi+,x,0.347,1.72,0.2917665221102895,0.2917663063540072,0.7309649014581809,0.2917663063540072,0.7309649014581809,0.2917665221102895
3,pi+,x,0.363,2.05,0.24756380456017585,0.24756361792134196,0.6746915333453876,0.24756361792134196,0.6746915333453876,0.24756380456017585
4,pi+,x,0.37,2.71,0.22044195341054795,0.2204417586838701,0.6328390604023062,0.2204417586838701,0.6328390604023062,0.22044195341054795
5,pi+,x,0.367,4.22,0.20889437234851288,0.20889413946518473,0.6046179497687928,0.20889413946518473,0.6046179497687928,0.20889437234851288
6,pi+,x,0.365,6.68,0.19682366365638343,0.19682340637443543,0.5768986959711365,0.19682340637443543,0.5768986959711365,0.19682366365638343
7,pi+,x,0.362,10.54,0.18844233634897775,0.18844206163917443,0.555255369828348,0.18844206163917443,0.555255369828348,0.18844233634897775
8,pi+,x,0.361,21.02,0.1721309664578776,0.1721306918354439,0.5196873120790564,0.1721306918354439,0.5196873120790564,0.1721309664578776
9,pi+,z,0.223,3.75,0.6066381894165985,0.6066355441130532,1.0112241407959168,0.6066355441130532,1.0112241407959168,0.6066381894165985
10,pi+,z,0.274,3.75,0.4326033695343689,0.4326022468245062,0.8476121688019583,0.4326022468245062,0.8476121688019583,0.4326033695343689
11,pi+,z,0.324,3.72,0.3073933702204254,0.30739289575460965,0.7226772960789968,0.30739289575460965,0.7226772960789968,0.3073933702204254
12,pi+,z,0.374,3.68,0.20050223912780818,0.20050204056418544,0.5985485399262583,0.20050204056418544,0.5985485399262583,0.20050223912780818
13,pi+,z,0.445,3.58,0.0967633207789203,0.09676326295134319,0.4572116930570011,0.09676326295134319,0.4572116930570011,0.0967633207789203
14,pi+,z,0.565,3.4,0.02690061754297709,0.026900612214059587,0.27704985612910216,0.026900612214059587,0.27704985612910216,0.02690061754297709
15,pi+,z,0.716,3.1,0.008509361218522062,0.00850936112311818,0.12516573802315722,0.00850936112311818,0.12516573802315722,0.008509361218522062
16,pi+,z,0.878,2.71,0.005301921653597749,0.005301921653597749,0.0371502434490248,0.005301921653597749,0.0371502434490248,0.005301921653597749
17,pi+,phT,0.346,3.57,0.2585144679461167,0.2585141444226716,0.6687601222185672,0.2585141444226716,0.6687601222185672,0.2585144679461167
18,pi+,phT,0.344,3.52,0.26346402887557635,0.26346369539726217,0.6748990254288033,0.26346369539726217,0.6748990254288033,0.26346402887557635
19,pi+,phT,0.344,3.48,0.26396236626207364,0.263962034096267,0.6758122396196282,0.263962034096267,0.6758122396196282,0.26396236626207364
20,pi+,phT,0.344,3.55,0.2630950508602262,0.26309471641828935,0.6742226197449667,0.26309471641828935,0.6742226197449667,0.2630950508602262
21,pi+,phT,0.35,3.62,0.24941403452689634,0.24941373190899066,0.6577334608660146,0.24941373190899066,0.6577334608660146,0.24941403452689634
22,pi+,phT,0.363,3.71,0.22171561868807269,0.22171537814347728,0.6240842170244485,0.22171537814347728,0.6240842170244485,0.22171561868807269
23,pi+,phT,0.382,3.84,0.18403962105756005,0.18403944173337908,0.5767846703684638,0.18403944173337908,0.5767846703684638,0.18403962105756005
24,pi+,phT,0.404,4.06,0.1459037665462648,0.14590364526127067,0.5257523907154603,0.14590364526127067,0.5257523907154603,0.1459037665462648
25,pi+,phT,0.415,4.77,0.12632361156939093,0.12632351239724393,0.4930070762496751,0.12632351239724393,0.4930070762496751,0.12632361156939093
