,hadron,1D_dependence,z,QQ,sbar,ubar,dbar,d,u,s
0,pi+,x,0.336,1.29,0.33504594100345364,0.3350457961757874,0.7886425877000361,0.3350457961757874,0.7886425877000361,0.33504594100345364
1,pi+,x,0.356,1.64,0.27425692879485514,0.2742567595929872,0.7136250737529212,0.2742567595929872,0.7136250737529212,0.27425692879485514
2,pi+,x,0.366,1.98,0.2429194359509778,0.24291926697160326,0.6707133986739963,0.24291926697160326,0.6707133986739963,0.2429194359509778
3,pi+,x,0.374,2.34,0.21870861737595237,0.21870844497347122,0.6361037879954676,0.21870844497347122,0.6361037879954676,0.21870861737595237
4,pi+,x,0.374,2.34,0.21870861737595237,0.21870844497347122,0.6361037879954676,0.21870844497347122,0.6361037879954676,0.21870861737595237
5,pi+,x,0.379,2.87,0.20041495499992937,0.20041478502468177,0.6067925223199426,0.20041478502468177,0.6067925223199426,0.20041495499992937
6,pi+,x,0.379,3.69,0.19096450022209058,0.190964316302811,0.5866983528371106,0.190964316302811,0.5866983528371106,0.19096450022209058
7,pi+,x,0.375,5.71,0.18351179320546657,0.18351158751467528,0.5642225226614133,0.18351158751467528,0.5642225226614133,0.18351179320546657
8,pi+,z,0.229,2.44,0.6193945054496605,0.6193924923224949,1.0301963414446298,0.6193924923224949,1.0301963414446298,0.6193945054496605
9,pi+,z,0.289,2.46,0.4213837759319673,0.42138303237321323,0.8497036084792245,0.42138303237321323,0.8497036084792245,0.4213837759319673
10,pi+,z,0.349,2.45,0.26904970252624716,0.269049437005378,0.6927569843550705,0.269049437005378,0.6927569843550705,0.26904970252624716
11,pi+,z,0.413,2.45,0.1480460588965001,0.14804597258340194,0.5475449392877494,0.14804597258340194,0.5475449392877494,0.1480460588965001
12,pi+,z,0.483,2.44,0.06809801777405629,0.06809799369398203,0.4202914357850526,0.06809799369398203,0.4202914357850526,0.06809801777405629
13,pi+,z,0.483,2.44,0.06809801777405629,0.06809799369398203,0.4202914357850526,0.06809799369398203,0.4202914357850526,0.06809801777405629
14,pi+,z,0.558,2.43,0.03125282466191344,0.03125281879308706,0.30779681247039187,0.03125281879308706,0.30779681247039187,0.03125282466191344
15,pi+,z,0.647,2.41,0.013564253443418797,0.013564253054598603,0.19772315583668892,0.013564253054598603,0.19772315583668892,0.013564253443418797
16,pi+,z,0.729,2.41,0.008410287923531755,0.008410287824581891,0.12449170970019088,0.008410287824581891,0.12449170970019088,0.008410287923531755
17,pi+,z,0.798,2.35,0.008446949851138617,0.008446949851138617,0.07915994665756308,0.008446949851138617,0.07915994665756308,0.008446949851138617
18,pi+,z,0.916,2.31,0.004195751676689715,0.004195751676689715,0.022406269826178483,0.004195751676689715,0.022406269826178483,0.004195751676689715
19,pi+,phT,0.341,2.56,0.28480859227173855,0.2848082814141802,0.7090074731795121,0.2848082814141802,0.7090074731795121,0.28480859227173855
20,pi+,phT,0.35,2.56,0.26479312603480687,0.264792859242918,0.6864342804692837,0.264792859242918,0.6864342804692837,0.26479312603480687
21,pi+,phT,0.354,2.52,0.25693228981539934,0.2569320419204393,0.6779691846206647,0.2569320419204393,0.6779691846206647,0.25693228981539934
22,pi+,phT,0.355,2.46,0.25591852960608663,0.255918287406764,0.6776327124956179,0.255918287406764,0.6776327124956179,0.25591852960608663
23,pi+,phT,0.355,2.46,0.25591852960608663,0.255918287406764,0.6776327124956179,0.255918287406764,0.6776327124956179,0.25591852960608663
24,pi+,phT,0.356,2.39,0.2551250654166986,0.25512482869948727,0.6777226690413647,0.25512482869948727,0.6777226690413647,0.2551250654166986
25,pi+,phT,0.373,2.34,0.22072148309842043,0.2207213070812386,0.6384774367491032,0.2207213070812386,0.6384774367491032,0.22072148309842043
26,pi+,phT,0.429,2.3,0.12775010759264888,0.12775004751218788,0.5222188354191017,0.12775004751218788,0.5222188354191017,0.12775010759264888
