,hadron,Q2,x,y,z,phT,Siv,tot_err,1D_dependence
0,pi+,1.24,0.0065,0.65,0.285,0.54,0.0010508217,0.011001918,x
1,pi+,1.47,0.0106,0.47,0.321,0.52,0.00056899246,0.0070005385,x
2,pi+,1.72,0.0164,0.36,0.347,0.51,0.004086752,0.00670237,x
3,pi+,2.05,0.0257,0.27,0.363,0.49,0.013052492,0.007098183,x
4,pi+,2.71,0.0399,0.23,0.37,0.48,0.009811875,0.0063145575,x
5,pi+,4.22,0.0628,0.23,0.367,0.48,0.024274727,0.0064829746,x
6,pi+,6.68,0.1009,0.22,0.365,0.48,0.039053604,0.0097249355,x
7,pi+,10.54,0.1621,0.22,0.362,0.48,0.03160897,0.020723546,x
8,pi+,21.02,0.2881,0.24,0.361,0.52,0.02853414,0.01735618,x
9,pi+,3.75,0.0467,0.33,0.223,0.45,0.012357521,0.0064852303,z
10,pi+,3.75,0.0483,0.32,0.274,0.47,0.014324255,0.0044015246,z
11,pi+,3.72,0.0498,0.31,0.324,0.5,0.016509969,0.004724059,z
12,pi+,3.68,0.0511,0.29,0.374,0.52,0.020328011,0.008984351,z
13,pi+,3.58,0.0527,0.27,0.445,0.54,0.026879389,0.0070777857,z
14,pi+,3.4,0.0545,0.24,0.565,0.57,0.032074932,0.009138566,z
15,pi+,3.1,0.0548,0.21,0.716,0.56,0.036593538,0.009675395,z
16,pi+,2.71,0.0527,0.19,0.878,0.47,0.01981388,0.005747328,z
17,pi+,3.57,0.052,0.28,0.346,0.15,0.006499332,0.00240793,phT
18,pi+,3.52,0.051,0.28,0.344,0.25,0.009148378,0.0039367382,phT
19,pi+,3.48,0.0497,0.29,0.344,0.35,0.011178767,0.0032245987,phT
20,pi+,3.55,0.0495,0.3,0.344,0.45,0.014986753,0.0046699094,phT
21,pi+,3.62,0.0493,0.3,0.35,0.55,0.015523853,0.0046916646,phT
22,pi+,3.71,0.0489,0.31,0.363,0.67,0.018003846,0.005182091,phT
23,pi+,3.84,0.0487,0.32,0.382,0.82,0.024749264,0.0059496313,phT
24,pi+,4.06,0.0486,0.34,0.404,1.04,0.03673842,0.008978304,phT
25,pi+,4.77,0.0492,0.39,0.415,1.56,0.05919737,0.035705324,phT
26,pi-,1.24,0.0064,0.65,0.285,0.54,0.0027339945,0.0103474315,x
27,pi-,1.48,0.0106,0.48,0.32,0.52,-0.0047516185,0.006430737,x
28,pi-,1.73,0.0164,0.36,0.344,0.5,-0.015836732,0.005515824,x
