,hadron,Q2,x,y,z,phT,Siv,tot_err,1D_dependence
0,pi+,2.423,0.086,0.592,0.234,0.346,0.024597116,0.002247614,z
1,pi+,2.428,0.094,0.551,0.303,0.377,0.0399084,0.0030983258,z
2,pi+,2.425,0.097,0.528,0.373,0.403,0.04785586,0.003935223,z
3,pi+,2.418,0.099,0.514,0.447,0.429,0.05048015,0.006516239,z
4,pi+,2.411,0.1,0.504,0.523,0.453,0.04893627,0.008579164,z
5,pi+,2.4,0.101,0.494,0.593,0.465,0.048058897,0.010278349,z
6,pi+,2.385,0.103,0.478,0.663,0.465,0.06695246,0.010382948,z
7,pi+,1.281,0.036,0.707,0.336,0.489,0.023433086,0.0118108485,x
8,pi+,1.631,0.056,0.569,0.356,0.409,0.027070964,0.0049967184,x
9,pi+,2.017,0.076,0.513,0.367,0.372,0.029345127,0.0038367582,x
10,pi+,2.467,0.098,0.484,0.376,0.356,0.04086106,0.003752639,x
11,pi+,3.203,0.133,0.464,0.379,0.344,0.036913123,0.011449318,x
12,pi+,4.321,0.186,0.449,0.379,0.339,0.05106085,0.013241239,x
13,pi+,6.179,0.275,0.434,0.375,0.344,0.048456945,0.020635786,x
14,pi+,2.533,0.109,0.46,0.341,0.11,0.012766606,0.0046303193,phT
15,pi+,2.53,0.106,0.49,0.35,0.211,0.032587394,0.0057773436,phT
16,pi+,2.486,0.1,0.519,0.355,0.29,0.025323963,0.0042741755,phT
17,pi+,2.415,0.093,0.549,0.355,0.37,0.044303168,0.00404574,phT
18,pi+,2.342,0.086,0.58,0.36,0.488,0.052935895,0.00518801,phT
19,pi+,2.303,0.08,0.616,0.388,0.669,0.069154166,0.00860857,phT
20,pi+,2.262,0.073,0.658,0.453,0.954,0.085080564,0.017506795,phT
21,pi0,2.361,0.072,0.671,0.236,0.39,0.014905495,0.004496452,z
22,pi0,2.414,0.081,0.623,0.304,0.42,0.023115734,0.0028826417,z
23,pi0,2.447,0.087,0.587,0.374,0.446,0.031851526,0.0032624353,z
24,pi0,2.486,0.093,0.558,0.448,0.464,0.04107287,0.0046281894,z
25,pi0,2.531,0.098,0.531,0.523,0.472,0.040209327,0.0057906327,z
26,pi0,2.552,0.102,0.511,0.593,0.488,0.037592072,0.010550905,z
27,pi0,2.583,0.106,0.495,0.663,0.495,0.05648703,0.018098759,z
28,pi0,1.293,0.035,0.717,0.351,0.54,0.017556297,0.013643838,x
29,pi0,1.712,0.055,0.599,0.386,0.451,0.021774484,0.00638327,x
30,pi0,2.184,0.076,0.557,0.406,0.416,0.023046762,0.003407162,x
31,pi0,2.705,0.098,0.531,0.414,0.392,0.03352228,0.0037026247,x
32,pi0,3.549,0.133,0.514,0.421,0.372,0.018916465,0.011052475,x
33,pi0,4.716,0.185,0.491,0.428,0.364,0.04486088,0.023889886,x
34,pi0,6.631,0.273,0.47,0.432,0.378,0.076610506,0.040801745,x
35,pi0,2.731,0.111,0.475,0.391,0.113,0.01249777,0.005491618,phT
36,pi0,2.649,0.103,0.517,0.384,0.212,0.021264235,0.003997618,phT
37,pi0,2.553,0.095,0.553,0.381,0.29,0.025345674,0.002715844,phT
38,pi0,2.456,0.087,0.587,0.381,0.369,0.02606555,0.0026951397,phT
39,pi0,2.367,0.08,0.623,0.382,0.49,0.02939867,0.0046547693,phT
40,pi0,2.28,0.073,0.655,0.404,0.673,0.03333845,0.00838215,phT
41,pi0,2.263,0.07,0.677,0.463,0.959,0.033516925,0.023661535,phT
42,pi-,2.373,0.084,0.596,0.233,0.352,0.009972876,0.0022726243,z
43,pi-,2.356,0.091,0.553,0.303,0.385,0.011096979,0.0040809903,z
44,pi-,2.338,0.094,0.53,0.373,0.411,0.010255084,0.0044981157,z
45,pi-,2.332,0.096,0.515,0.447,0.43,0.0027205339,0.005497399,z
46,pi-,2.315,0.097,0.504,0.523,0.444,-0.00995585,0.0076406565,z
47,pi-,2.263,0.096,0.494,0.593,0.447,-0.021174198,0.00839298,z
48,pi-,2.247,0.098,0.475,0.663,0.435,-0.02214032,0.010421619,z
49,pi-,1.278,0.035,0.708,0.33,0.484,0.0036117418,0.0058478313,x
50,pi-,1.629,0.055,0.57,0.35,0.403,0.012020157,0.0074527403,x
51,pi-,2.011,0.076,0.512,0.36,0.367,0.005503393,0.0035943296,x
52,pi-,2.451,0.098,0.481,0.367,0.352,0.01395738,0.0044109286,x
53,pi-,3.192,0.133,0.462,0.369,0.344,-0.0031093708,0.011476497,x
54,pi-,4.291,0.186,0.447,0.367,0.34,0.022959959,0.026004937,x
55,pi-,6.125,0.275,0.43,0.363,0.354,-0.014901929,0.029096853,x
56,pi-,2.454,0.106,0.462,0.337,0.11,0.011827622,0.0052332887,phT
57,pi-,2.445,0.102,0.493,0.346,0.211,0.010705679,0.0051191584,phT
58,pi-,2.393,0.096,0.525,0.35,0.29,0.012033758,0.0027929435,phT
59,pi-,2.314,0.089,0.556,0.348,0.369,0.005254833,0.004727825,phT
60,pi-,2.269,0.083,0.586,0.349,0.488,0.004873526,0.0051857135,phT
61,pi-,2.265,0.079,0.619,0.371,0.67,0.0044006524,0.0067818686,phT
62,pi-,2.224,0.072,0.658,0.433,0.951,0.016684242,0.024208907,phT
63,k+,2.429,0.083,0.606,0.236,0.354,0.040912773,0.0064506694,z
64,k+,2.474,0.092,0.568,0.305,0.385,0.058662884,0.007613388,z
65,k+,2.528,0.097,0.545,0.374,0.415,0.07490519,0.0075443606,z
66,k+,2.521,0.099,0.531,0.448,0.443,0.08082768,0.010162087,z
67,k+,2.511,0.102,0.515,0.524,0.47,0.08921427,0.015964406,z
68,k+,2.552,0.103,0.515,0.593,0.497,0.08488074,0.015290468,z
69,k+,2.562,0.106,0.495,0.663,0.512,0.09258462,0.02413286,z
70,k+,1.285,0.036,0.709,0.364,0.53,0.03291931,0.020348957,x
71,k+,1.646,0.056,0.574,0.386,0.439,0.04046772,0.013253512,x
72,k+,2.061,0.076,0.524,0.398,0.399,0.04021304,0.006459524,x
73,k+,2.523,0.099,0.495,0.406,0.375,0.06971232,0.009003023,x
74,k+,3.3,0.134,0.477,0.412,0.363,0.07012718,0.02852525,x
75,k+,4.461,0.186,0.464,0.413,0.355,0.08408262,0.04922437,x
76,k+,6.374,0.274,0.45,0.416,0.355,0.06467227,0.031555556,x
77,k+,2.655,0.111,0.47,0.367,0.111,0.020038322,0.012202075,phT
78,k+,2.619,0.107,0.496,0.376,0.211,0.045078885,0.013376848,phT
79,k+,2.597,0.103,0.525,0.38,0.29,0.06132699,0.011392031,phT
80,k+,2.52,0.096,0.55,0.387,0.369,0.064678185,0.006107355,phT
81,k+,2.44,0.089,0.576,0.393,0.489,0.07621006,0.008979402,phT
82,k+,2.339,0.081,0.611,0.418,0.673,0.08994032,0.012372321,phT
83,k+,2.253,0.072,0.661,0.471,0.972,0.08391204,0.025405273,phT
84,k-,2.393,0.081,0.617,0.234,0.366,0.017634606,0.0032401327,z
85,k-,2.38,0.086,0.58,0.303,0.401,0.024491502,0.0043151933,z
86,k-,2.385,0.091,0.553,0.373,0.429,0.045835093,0.012823233,z
87,k-,2.32,0.091,0.536,0.448,0.45,0.03929648,0.004761786,z
88,k-,2.294,0.091,0.534,0.523,0.463,0.039929893,0.004792334,z
89,k-,2.325,0.092,0.53,0.591,0.479,0.041458625,0.0058915815,z
90,k-,2.329,0.094,0.513,0.662,0.493,0.047161546,0.005354767,z
91,k-,1.289,0.035,0.715,0.339,0.507,0.0046644583,0.04070723,x
92,k-,1.666,0.055,0.582,0.358,0.421,0.05751345,0.083105914,x
93,k-,2.088,0.076,0.532,0.363,0.381,0.017292373,0.019524248,x
94,k-,2.585,0.098,0.508,0.37,0.366,0.010702415,0.044029683,x
95,k-,3.375,0.133,0.489,0.37,0.363,0.066932656,0.78415096,x
96,k-,4.551,0.186,0.474,0.369,0.351,0.01803272,0.20183547,x
97,k-,6.301,0.275,0.444,0.37,0.364,0.01533509,0.23502451,x
98,k-,2.467,0.102,0.478,0.342,0.111,0.024884837,0.027593931,phT
99,k-,2.452,0.098,0.516,0.348,0.21,0.028669836,0.019119453,phT
100,k-,2.457,0.094,0.545,0.351,0.29,0.021427404,0.030330632,phT
101,k-,2.361,0.086,0.576,0.354,0.37,0.033695474,0.02982546,phT
102,k-,2.293,0.081,0.604,0.352,0.489,0.017816322,0.02950391,phT
103,k-,2.275,0.076,0.636,0.372,0.673,0.037514158,0.01944227,phT
104,k-,2.24,0.07,0.678,0.429,0.955,0.055704534,0.038508516,phT
