PT,CS,error,"sys,Normalisation error","sys,Point-to-point systematic error",QM,QM_Low,QM_High,SqrtS,xF,P CU --> MU+ MU- X | P NUCLEUS --> MU+ MU- X
0.1,0.785,0.115,15.00%,5.00%,7.5,7,8,38.8,-0.1,
0.3,0.973,0.0861,15.00%,5.00%,7.5,7,8,38.8,-0.1,
0.5,0.825,0.0616,15.00%,5.00%,7.5,7,8,38.8,-0.1,
0.7,0.805,0.057,15.00%,5.00%,7.5,7,8,38.8,-0.1,
0.9,0.569,0.0422,15.00%,5.00%,7.5,7,8,38.8,-0.1,
1.1,0.537,0.0447,15.00%,5.00%,7.5,7,8,38.8,-0.1,
1.3,0.388,0.039,15.00%,5.00%,7.5,7,8,38.8,-0.1,
1.5,0.312,0.038,15.00%,5.00%,7.5,7,8,38.8,-0.1,
1.7,0.229,0.0373,15.00%,5.00%,7.5,7,8,38.8,-0.1,
1.9,0.136,0.0307,15.00%,5.00%,7.5,7,8,38.8,-0.1,
2.1,0.137,0.0433,15.00%,5.00%,7.5,7,8,38.8,-0.1,
0.1,0.333,0.0246,15.00%,-15.00%,8.5,8,9,38.8,-0.1,
0.3,0.439,0.0201,15.00%,-15.00%,8.5,8,9,38.8,-0.1,
0.5,0.368,0.0139,15.00%,-15.00%,8.5,8,9,38.8,-0.1,
0.7,0.37,0.0136,15.00%,-15.00%,8.5,8,9,38.8,-0.1,
0.9,0.259,0.00988,15.00%,-15.00%,8.5,8,9,38.8,-0.1,
1.1,0.224,0.00933,15.00%,-15.00%,8.5,8,9,38.8,-0.1,
1.3,0.18,0.00895,15.00%,-15.00%,8.5,8,9,38.8,-0.1,
1.5,0.131,0.00802,15.00%,-15.00%,8.5,8,9,38.8,-0.1,
1.7,0.0875,0.00678,15.00%,-15.00%,8.5,8,9,38.8,-0.1,
1.9,0.0713,0.00703,15.00%,-15.00%,8.5,8,9,38.8,-0.1,
2.1,0.0482,0.00633,15.00%,-15.00%,8.5,8,9,38.8,-0.1,
2.3,0.0272,0.00542,15.00%,-15.00%,8.5,8,9,38.8,-0.1,
2.5,0.0217,0.00515,15.00%,-15.00%,8.5,8,9,38.8,-0.1,
2.7,0.0184,0.00571,15.00%,-15.00%,8.5,8,9,38.8,-0.1,
0.1,0.0701,0.0084,15.00%,5.00%,11,10.5,11.5,38.8,-0.1,
0.3,0.0784,0.00554,15.00%,5.00%,11,10.5,11.5,38.8,-0.1,
0.5,0.0712,0.00412,15.00%,5.00%,11,10.5,11.5,38.8,-0.1,
0.7,0.0624,0.00331,15.00%,5.00%,11,10.5,11.5,38.8,-0.1,
0.9,0.0503,0.00265,15.00%,5.00%,11,10.5,11.5,38.8,-0.1,
1.1,0.039,0.00207,15.00%,5.00%,11,10.5,11.5,38.8,-0.1,
1.3,0.0312,0.00176,15.00%,5.00%,11,10.5,11.5,38.8,-0.1,
1.5,0.0234,0.0015,15.00%,5.00%,11,10.5,11.5,38.8,-0.1,
1.7,0.0147,0.00103,15.00%,5.00%,11,10.5,11.5,38.8,-0.1,
1.9,0.0131,0.00106,15.00%,5.00%,11,10.5,11.5,38.8,-0.1,
2.1,0.00705,0.000719,15.00%,5.00%,11,10.5,11.5,38.8,-0.1,
2.3,0.005,0.000607,15.00%,5.00%,11,10.5,11.5,38.8,-0.1,
2.5,0.00459,0.000622,15.00%,5.00%,11,10.5,11.5,38.8,-0.1,
2.7,0.0033,0.000587,15.00%,5.00%,11,10.5,11.5,38.8,-0.1,
2.9,0.00215,0.000493,15.00%,5.00%,11,10.5,11.5,38.8,-0.1,
3.1,0.00159,0.000524,15.00%,5.00%,11,10.5,11.5,38.8,-0.1,
0.1,0.0508,0.00642,15.00%,5.00%,12.5,11.5,13.5,38.8,-0.1,
0.3,0.0679,0.00479,15.00%,5.00%,12.5,11.5,13.5,38.8,-0.1,
0.5,0.0646,0.00387,15.00%,5.00%,12.5,11.5,13.5,38.8,-0.1,
0.7,0.0492,0.00263,15.00%,5.00%,12.5,11.5,13.5,38.8,-0.1,
0.9,0.0417,0.00219,15.00%,5.00%,12.5,11.5,13.5,38.8,-0.1,
1.1,0.0323,0.00176,15.00%,5.00%,12.5,11.5,13.5,38.8,-0.1,
1.3,0.0247,0.00146,15.00%,5.00%,12.5,11.5,13.5,38.8,-0.1,
1.5,0.0194,0.00119,15.00%,5.00%,12.5,11.5,13.5,38.8,-0.1,
1.7,0.0137,0.000976,15.00%,5.00%,12.5,11.5,13.5,38.8,-0.1,
1.9,0.00866,0.000731,15.00%,5.00%,12.5,11.5,13.5,38.8,-0.1,
2.1,0.00679,0.000636,15.00%,5.00%,12.5,11.5,13.5,38.8,-0.1,
2.3,0.0044,0.00055,15.00%,5.00%,12.5,11.5,13.5,38.8,-0.1,
2.5,0.00334,0.000483,15.00%,5.00%,12.5,11.5,13.5,38.8,-0.1,
2.7,0.00262,0.00042,15.00%,5.00%,12.5,11.5,13.5,38.8,-0.1,
2.9,0.00165,0.00033,15.00%,5.00%,12.5,11.5,13.5,38.8,-0.1,
3.1,0.0012,0.000284,15.00%,5.00%,12.5,11.5,13.5,38.8,-0.1,
3.3,0.00111,0.000298,15.00%,5.00%,12.5,11.5,13.5,38.8,-0.1,
3.5,0.000654,0.000243,15.00%,5.00%,12.5,11.5,13.5,38.8,-0.1,
0.1,0.024,0.00546,15.00%,5.00%,15.75,13.5,18,38.8,-0.1,
0.3,0.0206,0.0029,15.00%,5.00%,15.75,13.5,18,38.8,-0.1,
0.5,0.0188,0.00213,15.00%,5.00%,15.75,13.5,18,38.8,-0.1,
0.7,0.0171,0.00172,15.00%,5.00%,15.75,13.5,18,38.8,-0.1,
0.9,0.00973,0.00116,15.00%,5.00%,15.75,13.5,18,38.8,-0.1,
1.1,0.0107,0.00109,15.00%,5.00%,15.75,13.5,18,38.8,-0.1,
1.3,0.00791,0.000879,15.00%,5.00%,15.75,13.5,18,38.8,-0.1,
1.5,0.00605,0.000697,15.00%,5.00%,15.75,13.5,18,38.8,-0.1,
1.7,0.0035,0.000509,15.00%,5.00%,15.75,13.5,18,38.8,-0.1,
1.9,0.00194,0.000359,15.00%,5.00%,15.75,13.5,18,38.8,-0.1,
2.1,0.002,0.000366,15.00%,5.00%,15.75,13.5,18,38.8,-0.1,
2.3,0.00136,0.000294,15.00%,5.00%,15.75,13.5,18,38.8,-0.1,
2.5,0.00136,0.000288,15.00%,5.00%,15.75,13.5,18,38.8,-0.1,
2.7,0.0006,0.000191,15.00%,5.00%,15.75,13.5,18,38.8,-0.1,
2.9,0.000435,0.000166,15.00%,5.00%,15.75,13.5,18,38.8,-0.1,
0.1,0.182,0.0114,15.00%,5.00%,9.92,9.36,10.48,38.8,0.1,
0.3,0.217,0.00846,15.00%,5.00%,9.92,9.36,10.48,38.8,0.1,
0.5,0.19,0.00637,15.00%,5.00%,9.92,9.36,10.48,38.8,0.1,
0.7,0.178,0.00528,15.00%,5.00%,9.92,9.36,10.48,38.8,0.1,
0.9,0.164,0.00463,15.00%,5.00%,9.92,9.36,10.48,38.8,0.1,
1.1,0.138,0.00403,15.00%,5.00%,9.92,9.36,10.48,38.8,0.1,
1.3,0.106,0.0034,15.00%,5.00%,9.92,9.36,10.48,38.8,0.1,
1.5,0.0909,0.00325,15.00%,5.00%,9.92,9.36,10.48,38.8,0.1,
1.7,0.0661,0.0028,15.00%,5.00%,9.92,9.36,10.48,38.8,0.1,
