PT,CS,error,"sys,Normalisation error","sys,Point-to-point systematic error",QM,QM_Low,QM_High,SqrtS,xF,xF_Low,xF_High,P DEUT --> MU+ MU- X
0.125,6.75,0.305,,,5.5,5,6,,0.2,0.1,0.3,
0.375,5.59,0.156,,,5.5,5,6,,0.2,0.1,0.3,
0.625,4.84,0.122,,,5.5,5,6,,0.2,0.1,0.3,
0.875,3.5,0.0903,,,5.5,5,6,,0.2,0.1,0.3,
1.125,2.56,0.0768,,,5.5,5,6,,0.2,0.1,0.3,
1.375,1.78,0.0672,,,5.5,5,6,,0.2,0.1,0.3,
1.625,1.12,0.0535,,,5.5,5,6,,0.2,0.1,0.3,
1.875,0.817,0.0627,,,5.5,5,6,,0.2,0.1,0.3,
2.125,0.259,0.0298,,,5.5,5,6,,0.2,0.1,0.3,
2.375,0.346,0.0575,,,5.5,5,6,,0.2,0.1,0.3,
2.625,0.147,0.0345,,,5.5,5,6,,0.2,0.1,0.3,
2.875,0.0457,0.0154,,,5.5,5,6,,0.2,0.1,0.3,
0.125,2.87,0.153,,,6.5,6,7,,0.2,0.1,0.3,
0.375,2.28,0.0765,,,6.5,6,7,,0.2,0.1,0.3,
0.625,2.08,0.0625,,,6.5,6,7,,0.2,0.1,0.3,
0.875,1.35,0.0413,,,6.5,6,7,,0.2,0.1,0.3,
1.125,1.05,0.0356,,,6.5,6,7,,0.2,0.1,0.3,
1.375,0.669,0.0275,,,6.5,6,7,,0.2,0.1,0.3,
1.625,0.397,0.0203,,,6.5,6,7,,0.2,0.1,0.3,
1.875,0.262,0.0172,,,6.5,6,7,,0.2,0.1,0.3,
2.125,0.213,0.0202,,,6.5,6,7,,0.2,0.1,0.3,
2.375,0.117,0.015,,,6.5,6,7,,0.2,0.1,0.3,
2.625,0.0979,0.0215,,,6.5,6,7,,0.2,0.1,0.3,
2.875,0.0376,0.00908,,,6.5,6,7,,0.2,0.1,0.3,
3.125,0.0229,0.00789,,,6.5,6,7,,0.2,0.1,0.3,
3.375,0.0345,0.0425,,,6.5,6,7,,0.2,0.1,0.3,
3.625,0.0106,0.00886,,,6.5,6,7,,0.2,0.1,0.3,
3.875,0.000501,0.000432,,,6.5,6,7,,0.2,0.1,0.3,
0.125,1.68,0.12,,,7.5,7,8,,0.2,0.1,0.3,
0.375,1.16,0.051,,,7.5,7,8,,0.2,0.1,0.3,
0.625,0.97,0.0362,,,7.5,7,8,,0.2,0.1,0.3,
0.875,0.73,0.0278,,,7.5,7,8,,0.2,0.1,0.3,
