,x1,x2,qT,QM,A,dA,A_rel_uncert
0,0.149660941,0.249660941,0.1,7.5,0.785,0.115,0.1464968152866242
1,0.149660941,0.249660941,0.3,7.5,0.973,0.0861,0.08848920863309352
2,0.149660941,0.249660941,0.5,7.5,0.825,0.0616,0.07466666666666667
3,0.149660941,0.249660941,0.7,7.5,0.805,0.057,0.07080745341614907
4,0.149660941,0.249660941,0.9,7.5,0.569,0.0422,0.0741652021089631
5,0.149660941,0.249660941,1.1,7.5,0.537,0.0447,0.08324022346368715
6,0.149660941,0.249660941,1.3,7.5,0.388,0.039,0.10051546391752578
7,0.149660941,0.249660941,1.5,7.5,0.312,0.038,0.12179487179487179
8,0.149660941,0.249660941,1.7,7.5,0.229,0.0373,0.16288209606986898
9,0.149660941,0.249660941,1.9,7.5,0.136,0.0307,0.22573529411764706
10,0.149660941,0.249660941,2.1,7.5,0.137,0.0433,0.3160583941605839
11,0.174705615,0.274705615,0.1,8.5,0.333,0.0246,0.07387387387387387
12,0.174705615,0.274705615,0.3,8.5,0.439,0.0201,0.04578587699316629
13,0.174705615,0.274705615,0.5,8.5,0.368,0.0139,0.03777173913043478
14,0.174705615,0.274705615,0.7,8.5,0.37,0.0136,0.036756756756756756
15,0.174705615,0.274705615,0.9,8.5,0.259,0.00988,0.03814671814671815
16,0.174705615,0.274705615,1.1,8.5,0.224,0.00933,0.04165178571428571
17,0.174705615,0.274705615,1.3,8.5,0.18,0.00895,0.04972222222222222
18,0.174705615,0.274705615,1.5,8.5,0.131,0.00802,0.06122137404580152
19,0.174705615,0.274705615,1.7,8.5,0.0875,0.00678,0.07748571428571428
20,0.174705615,0.274705615,1.9,8.5,0.0713,0.00703,0.09859747545582047
21,0.174705615,0.274705615,2.1,8.5,0.0482,0.00633,0.13132780082987552
22,0.174705615,0.274705615,2.3,8.5,0.0272,0.00542,0.19926470588235295
23,0.174705615,0.274705615,2.5,8.5,0.0217,0.00515,0.23732718894009217
24,0.174705615,0.274705615,2.7,8.5,0.0184,0.00571,0.31032608695652175
25,0.237880483,0.337880483,0.1,11.0,0.0701,0.0084,0.11982881597717546
26,0.237880483,0.337880483,0.3,11.0,0.0784,0.00554,0.07066326530612245
27,0.237880483,0.337880483,0.5,11.0,0.0712,0.00412,0.05786516853932585
28,0.237880483,0.337880483,0.7,11.0,0.0624,0.00331,0.0530448717948718
29,0.237880483,0.337880483,0.9,11.0,0.0503,0.00265,0.05268389662027833
30,0.237880483,0.337880483,1.1,11.0,0.039,0.00207,0.05307692307692307
31,0.237880483,0.337880483,1.3,11.0,0.0312,0.00176,0.05641025641025642
32,0.237880483,0.337880483,1.5,11.0,0.0234,0.0015,0.0641025641025641
33,0.237880483,0.337880483,1.7,11.0,0.0147,0.00103,0.07006802721088436
34,0.237880483,0.337880483,1.9,11.0,0.0131,0.00106,0.08091603053435113
35,0.237880483,0.337880483,2.1,11.0,0.00705,0.000719,0.10198581560283689
36,0.237880483,0.337880483,2.3,11.0,0.005,0.000607,0.1214
37,0.237880483,0.337880483,2.5,11.0,0.00459,0.000622,0.1355119825708061
38,0.237880483,0.337880483,2.7,11.0,0.0033,0.000587,0.17787878787878786
39,0.237880483,0.337880483,2.9,11.0,0.00215,0.000493,0.22930232558139532
40,0.237880483,0.337880483,3.1,11.0,0.00159,0.000524,0.329559748427673
41,0.276021861,0.376021861,0.1,12.5,0.0508,0.00642,0.12637795275590552
42,0.276021861,0.376021861,0.3,12.5,0.0679,0.00479,0.07054491899852725
